,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the total population affected,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Papua Conflict,"Socio-political,Violence,Conflict",IDN002,Indonesia,IDN,4.4,0.21780814353925157,1,2.7,2.5,0.020312777614608375,0.1,1.3,2.1,3.7,1,5,4.35,2.9,0.01785076758300607,0.6,1.8,2.4,8.925383791503035e-06,0.4,1.4,1.6,3.3
2024 Monsoon Floods in India,Floods,IND006,India,IND,2.8,0.01582139049303946,0,1.4,4.1,0.011918513290730948,0,2.05,1.7,2.5,0.06013994101659631,0.3,1.4,2.7,0.07596153846153846,2.5,2.6,2.9,0.00010096153846153846,5,4,3.4,2.5
Afghan Refugees in Iran,Displacement,IRN004,Iran,IRN,4,0.14764930662557782,0.7,2.35,4.6,0.27108815306657347,1.3,2.9499999999999997,2.7,3.6,0.18035692704346776,0.9,2.25,5,1,5,5,x,x,x,x,5,4
Multiple crises in Iraq,"Violence,Displacement,Socio-political,Conflict",IRQ001,Iraq,IRQ,4.3,0.8829423580142263,4.4,4.35,5,0.9886825623557851,4.9,4.95,4.7,4,0.16581462547232717,0.8,2.4,5,0.8376675603217159,5,5,3.8,6.219839142091153e-05,3.1,3.5,4.4,3.6
Conflict  in Iraq,"Conflict,Socio-political,Violence",IRQ002,Iraq,IRQ,4.3,0.8829423580142263,4.4,4.35,5,0.9821118558400176,4.9,4.95,4.7,3.8,0.13313642567854825,0.6,2.1999999999999997,5,1,5,5,3.8,7.798319327731092e-05,3.9,3.9,4.5,3.6
Syrian and Palestinian refugees in iraq,Displacement,IRQ003,Iraq,IRQ,2.6,0.08292485165665425,0.3,1.45,2.7,0.14218217778266123,0.7,1.7000000000000002,1.6,2.8,0.23338485316846985,1.1,1.95,3.5,0.19801324503311257,5,4.3,0,0,0,0,2.8,2.4
Mixed migration flows in Italy,Displacement,ITA002,Italy,ITA,2.7,0.13883205902940987,0.6,1.6500000000000001,5,1,5,5,3.9,1.3,0.0034401349072512646,0,0.65,3.3,1,5,4.2,4.2,0.004112745098039216,5,4.6,4.4,3
Syrian refugees in Jordan,Displacement,JOR002,Jordan,JOR,2.7,0.45569520463094354,2.2,2.45,3.2,0.7954740270872621,4,3.6,3.1,2.9,0.19827586206896552,1,1.95,4.5,0.717391304347826,5,4.8,0,0,0,0,3.2,2.6
Multiple crisis in Kenya ,"Drought,Displacement",KEN001,Kenya,KEN,4.6,0.9551779878413045,4.8,4.699999999999999,4.9,0.5244717513140947,2.6,3.75,4.3,5,0.9814489098330734,4.9,4.95,4.4,0.03807398390478123,1.3,2.9,4,2.245215391898289e-05,1.1,2.6,2.8,4.1
Refugee situation in Kenya,Displacement,KEN002,Kenya,KEN,2.6,0.06719612046245212,0.2,1.4000000000000001,0.4,0.023584084659031574,0.1,0.25,0.9,2.3,0.5874538745387454,2.9,2.5999999999999996,4.1,1,5,4.6,0,0,0,0,3,2.8
Drought in Kenya,Drought,KEN003,Kenya,KEN,4.6,0.9551779878413045,4.8,4.699999999999999,4.9,0.5008876666550632,2.5,3.7,4.3,4.9,1,5,4.95,3.6,0.011467092918201404,0.4,2,3.6,1.0945861421919521e-05,0.5,2.1,2.1,3.9
Typhoon Yagi in Laos,"Cyclone,Floods",LAO004,Laos,LAO,3.3,0.4293587521663778,2.1,2.7,1.7,0.42154783991518685,2.1,1.9,2.3,1.3,0.06287331027978624,0.3,0.8,x,x,x,x,0.9,2e-05,1,1,1,0.9
Syrian refugees in Lebanon,Displacement,LBN002,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.5,1,5,3.75,3.6,3.8,1,5,4.4,4.5,0.26666666666666666,5,4.8,0,0,0,0,3.2,3.9
Complex crisis in Lebanon,"Socio-political,Violence,Tecnological Disaster,Displacement",LBN006,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.5,1,5,3.75,3.6,3.8,1,5,4.4,3.3,0.03543859649122807,1.2,2.3,3.7,6.68421052631579e-05,3.3,3.5,3,3.8
Complex crisis in Libya,"Conflict,Displacement,Socio-political",LBY001,Libya,LBY,5,1,5,5,2.9,1,5,3.95,4.6,3.9,1,5,4.45,4.2,0.11842638907665269,3.9,4.1,4.2,0.00011923752872786265,5,4.6,4.4,4.4
Mixed migration flows in Libya,Displacement,LBY002,Libya,LBY,5,1,5,5,2.9,1,5,3.95,4.6,2.4,0.1119372718669731,0.5,1.45,4.2,1,5,4.6,4.2,0.0010132850241545894,5,4.6,4.6,3.4
Storm Daniel and floods in Libya,"Floods,Other seasonal event",LBY003,Libya,LBY,3.1,0.038548143264716915,0.1,1.6,1,0.27173178315533325,1.3,1.15,1.4,2.4,0.43980099502487563,2.2,2.3,2.4,0.05090497737556561,1.7,2.1,0,0,0,0,1.2,1.8
Refugees from Sudan in Libya,Conflict,LBY004,Libya,LBY,4.9,0.4936983529786194,2.4,3.6500000000000004,1.6,0.3994862782209004,2,1.8,2.8,1.3,0.06598984771573604,0.3,0.8,3.3,1,5,4.2,1.4,5.128205128205128e-05,2.6,2,3.3,2.2
2024 Floods and Monsoon Rain,Floods,LKA004,Sri Lanka,LKA,1.9,0.2096023278370514,1,1.45,3.4,0.46290329899714117,2.3,2.8499999999999996,2.2,1.5,0.02489951965493579,0.1,0.8,0,0,0,0,2.2,0.0001299212598425197,5,3.6,2.2,1.6
Food security crisis in Lesotho,Drought,LSO004,Lesotho,LSO,2.5,0.9998353096179183,5,3.75,0.6,0.6423388817755015,3.2,1.9000000000000001,3,2.4,0.5581395348837209,2.8,2.5999999999999996,x,x,x,x,0,1.1904761904761904e-06,0.1,0.1,0.1,1.5
Displacement from Russia-Ukraine conflict in Lithuania,"Conflict,Displacement",LTU002,Lithuania,LTU,3,1,5,4,1.5,1,5,3.25,3.7,0.3,0.01564129301355579,0,0.15,2.4,1,5,3.7,0,0,0,0,2.3,1.3
Displacement from Russia-Ukraine conflict in Latvia,"Conflict,Displacement",LVA002,Latvia,LVA,3,1,5,4,0.9,1,5,2.95,3.5,0.3,0.024402907580477674,0.1,0.2,2.4,1,5,3.7,0,0,0,0,2.3,1.4
Multiple crises in Morocco,"Displacement,Earthquake",MAR001,Morocco,MAR,4.4,1,5,4.7,5,1,5,5,4.9,3.2,0.07385663740007863,0.3,1.75,3.9,0.18381831085876507,5,4.5,2.7,2.8388928317955997e-05,1.4,2.1,3.6,2.8
Mixed migration flows in Morocco,Displacement,MAR002,Morocco,MAR,4.4,1,5,4.7,5,1,5,5,4.9,0,0.0004717599266151225,0,0,1.8,1,5,3.4,2.7,0.004166666666666667,5,3.9,3.7,2.3
Al Haouz Earthquake in Morocco,Earthquake,MAR003,Morocco,MAR,2.9,0.11946224512659646,0.5,1.7,2.7,0.17297863975887826,0.8,1.75,1.7,3.2,0.42424242424242425,2.1,2.6500000000000004,3.9,0.17857142857142858,5,4.5,0,0,0,0,2.9,2.8
DIsplacement from Russia-Ukraine conflict in Moldova,"Displacement,Conflict",MDA002,Moldova,MDA,2.5,1,5,3.75,1.4,1,5,3.2,3.5,1,0.04620586025544703,0.2,0.6,3,1,5,4,0,0,0,0,2.5,1.6
Multiple crisis in Madagascar,"Drought,Cyclone",MDG001,Madagascar,MDG,4,0.409762805087659,2,3,3.9,0.46488606649234215,2.3,3.0999999999999996,3.1,3.9,0.4466318467925539,2.2,3.05,2.1,0.0046476761619190406,0.2,1.2,1.8,2.848575712143928e-06,0.1,1,1.1,2.2
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,3.6,0.2573942935716741,1.2,2.4,3.4,0.31969866766280663,1.6,2.5,2.5,3.8,0.5973709834469328,3,3.4,1.3,0.0013039934800325999,0,0.7,x,x,x,x,0.7,2.3
Cyclone Gamane in Madagascar,"Cyclone,Floods",MDG009,Madagascar,MDG,3.2,0.15236851151598488,0.7,1.9500000000000002,2.2,0.14521852820321254,0.7,1.4500000000000002,1.7,2,0.11468381564844587,0.5,1.25,1.9,0.04299065420560748,1.4,1.7,1.8,3.551401869158878e-05,1.8,1.8,1.8,1.5
Multiple crisis in Mexico,"Violence,Displacement",MEX001,Mexico,MEX,5,1,5,5,5,1,5,5,5,2.1,0.004779846795789998,0,1.05,3.9,0.8648208469055375,5,4.5,5,0.006293159609120521,5,5,4.8,3.5
Criminal Violence in Mexico,"Violence,Displacement",MEX002,Mexico,MEX,5,1,5,5,5,0.5490673849411472,2.7,3.85,4.5,1.8,0.005472770838354766,0,0.9,3.7,1.0155440414507773,5,4.4,5,0.00977720207253886,5,5,4.7,3.4
Mixed Migration in Mexico,Displacement,MEX003,Mexico,MEX,5,0.5966979603384861,2.9,3.95,5,0.45093261505885285,2.2,3.6,3.8,1.4,0.003936124298662063,0,0.7,3.1,0.6096491228070176,5,4.1,2.8,0.00039473684210526315,5,3.9,4,2.7
Complex crisis in Mali,Conflict,MLI001,Mali,MLI,5,1.0163908899433696,5,5,4.5,0.9911923519518456,5,4.75,4.9,3.9,0.31703505246706853,1.6,2.75,4.6,0.23647887323943662,5,4.8,4.8,0.00030985915492957747,5,4.9,4.9,4.1
Multiple crises in Myanmar,"Socio-political,Conflict,Violence",MMR001,Myanmar,MMR,4.7,1.0366295371320882,5,4.85,5,1,5,5,4.9,5,1,5,5,5,0.0942637598284489,3.1,4.1,5,0.0001714796283059328,5,5,4.6,4.8
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,2.6,0.056350069713637825,0.2,1.4000000000000001,1.8,0.06204431736954968,0.3,1.05,1.2,3.4,1,5,4.2,4.5,0.37644009216589863,5,4.8,4.9,0.0008130760368663595,5,5,4.9,4.6
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,3.6,0.22921384466882191,1.1,2.35,2.3,0.08708005718370264,0.4,1.3499999999999999,1.9,3.6,1,5,4.3,3.4,0.04801970038990355,1.6,2.5,4.4,0.00025959367945823926,5,4.7,3.8,4.1
Post-coup conflict in Myanmar,"Violence,Socio-political,Conflict",MMR004,Myanmar,MMR,4.7,1.0366295371320882,5,4.85,5,1,5,5,4.9,5,1,5,5,5,0.0590421729807005,2,3.5,5,9.303073624017155e-05,4.7,4.9,4.3,4.7
2024 Monsoon Floods,Floods,MMR006,Myanmar,MMR,4.7,0.9814423828274625,4.9,4.800000000000001,2.8,0.12687634024303074,0.6,1.7,3.7,2.7,0.18028169014084508,0.9,1.8,3.8,0.3359375,5,4.4,3.5,0.0002359375,5,4.3,4.4,3.4
Multiple Crises in Mozambique,"Conflict,Displacement,Cyclone",MOZ001,Mozambique,MOZ,4.8,1,5,4.9,5,1,5,5,5,5,1,5,5,4.2,0.023996785119696884,0.8,2.5,3.6,9.271485159882886e-06,0.5,2.1,2.3,4
Cabo Delgado Islamist Insurgency,"Conflict,Displacement",MOZ004,Mozambique,MOZ,4.1,0.3568440194308095,1.7,2.9,3.5,0.33251047706527354,1.6,2.55,2.7,4.3,1,5,4.65,4.1,0.0612914364640884,2,3.1,3.2,1.5279696132596683e-05,0.8,2,2.6,3.8
2024 Rainy and Cyclone season,"Floods,Displacement,Cyclone",MOZ011,Mozambique,MOZ,4.8,1,5,4.9,5,1,5,5,5,5,1,5,5,3,0.0036167403410069464,0.1,1.6,3.1,4.190826109420748e-06,0.2,1.7,1.7,3.9
Drought in Mozambique,Drought,MOZ012,Mozambique,MOZ,4.5,0.6078354739438948,3,3.75,4.2,0.5153567943050692,2.6,3.4000000000000004,3.6,4.6,1,5,4.8,0,0,0,0,x,x,x,x,0,3.2
Refugees from Mali in Mauritania,Displacement,MRT002,Mauritania,MRT,3.9,0.19986416998156592,0.9,2.4,1,0.38990560585628975,1.9,1.45,2,1.1,0.06768774703557312,0.3,0.7000000000000001,3.1,1,5,4.1,1.1,4.37956204379562e-05,2.2,1.7,3.1,2.1
