,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Papua Conflict,"Socio-political,Violence,Conflict",IDN002,Indonesia,IDN,0,5.502,0.1,x,x,1.7,0,0.9821492324169939,0.01785076758300607,x,x,2,1.85
2024 Monsoon Floods in India,Floods,IND006,India,IND,16.253,0.961,0.079,x,x,1.5,0.9398600589834036,0.05557161857398948,0.004568322442606835,x,x,2,1.75
Afghan Refugees in Iran,Displacement,IRN004,Iran,IRN,20.346,0,1.377,3.1,0,4.4,0.8196430729565323,0,0.05547274704910768,0.12488417999436006,0,4,4.2
Multiple crises in Iraq,"Violence,Displacement,Socio-political,Conflict",IRQ001,Iraq,IRQ,37.529,7.335,0.093,0.033,0,1.8,0.8341631473660813,0.1630362302733941,0.0020671260280062235,0.0007334963325183374,0,2,1.9
Conflict  in Iraq,"Conflict,Socio-political,Violence",IRQ002,Iraq,IRQ,38.74,5.861,0.06,0.03,0,1.6,0.8668411984515898,0.13114497326083552,0.001342552191716453,0.0006712760958582265,0,2,1.8
Syrian and Palestinian refugees in iraq,Displacement,IRQ003,Iraq,IRQ,4.96,1.474,0.033,0.003,0,0.9,0.7666151468315301,0.2278207109737249,0.005100463678516229,0.0004636785162287481,0,2,1.45
Mixed migration flows in Italy,Displacement,ITA002,Italy,ITA,59.096,0,0.204,x,x,2.2,0.9965598650927487,0,0.0034401349072512646,x,x,1,1.6
Syrian refugees in Jordan,Displacement,JOR002,Jordan,JOR,7.44,0.488,1.325,0.026,0,3.6,0.8017241379310345,0.052586206896551725,0.1427801724137931,0.0028017241379310344,0,3,3.3
Multiple crisis in Kenya ,"Drought,Displacement",KEN001,Kenya,KEN,0.559,27.841,1.691,0.043,0,3.7,0.018551090166926625,0.9239372116948197,0.05611787741014834,0.0014270069359174327,0,3,3.35
Refugee situation in Kenya,Displacement,KEN002,Kenya,KEN,0.559,0,0.796,x,x,3.2,0.41254612546125463,0,0.5874538745387454,x,x,3,3.1
Drought in Kenya,Drought,KEN003,Kenya,KEN,0,27.841,0.895,0.043,0,3.3,0,0.9674404058655918,0.03110014594481896,0.0014941969560080617,0,2,2.65
Typhoon Yagi in Laos,"Cyclone,Floods",LAO004,Laos,LAO,2.981,0.108,0.092,x,x,1.6,0.9371266897202137,0.033951587551084565,0.028921722728701665,x,x,2,1.8
Syrian refugees in Lebanon,Displacement,LBN002,Lebanon,LBN,0,4.18,1.48,0.041,0,3.6,0,0.7333333333333333,0.2596491228070175,0.007192982456140351,0,3,3.3
Complex crisis in Lebanon,"Socio-political,Violence,Tecnological Disaster,Displacement",LBN006,Lebanon,LBN,0,1.8,3.427,0.473,x,4.3,0,0.3157894736842105,0.6012280701754386,0.08298245614035088,x,4,4.15
Complex crisis in Libya,"Conflict,Displacement,Socio-political",LBY001,Libya,LBY,0,6.232,0.292,0.873,0,3.4,0,0.8425037177234014,0.0394754630255509,0.11802081925104772,0,4,3.7
Mixed migration flows in Libya,Displacement,LBY002,Libya,LBY,6.569,0,0.828,x,x,3.2,0.8880627281330269,0,0.1119372718669731,x,x,3,3.1
Storm Daniel and floods in Libya,"Floods,Other seasonal event",LBY003,Libya,LBY,1.126,0,0.884,0,0,3.2,0.5601990049751244,0,0.43980099502487563,0,0,3,3.1
Refugees from Sudan in Libya,Conflict,LBY004,Libya,LBY,2.76,0,0.085,0.11,x,2.2,0.934010152284264,0,0.028764805414551606,0.03722504230118443,x,3,2.6
2024 Floods and Monsoon Rain,Floods,LKA004,Sri Lanka,LKA,9.947,0.177,0.077,x,x,1.5,0.9751004803450642,0.0173512400745025,0.007548279580433291,x,x,1,1.25
Food security crisis in Lesotho,Drought,LSO004,Lesotho,LSO,0.665,0.547,0.293,0,0,2.4,0.4418604651162791,0.36345514950166113,0.1946843853820598,0,0,3,2.7
Displacement from Russia-Ukraine conflict in Lithuania,"Conflict,Displacement",LTU002,Lithuania,LTU,2.832,0,0.045,0,0,1.1,0.9843587069864442,0,0.01564129301355579,0,0,1,1.05
Displacement from Russia-Ukraine conflict in Latvia,"Conflict,Displacement",LVA002,Latvia,LVA,1.879,0,0.047,0,0,1.1,0.9755970924195223,0,0.024402907580477674,0,0,1,1.05
Multiple crises in Morocco,"Displacement,Earthquake",MAR001,Morocco,MAR,35.337,2.3,0.518,x,x,2.9,0.9261433625999214,0.06028043506748788,0.013576202332590749,x,x,2,2.45
Mixed migration flows in Morocco,Displacement,MAR002,Morocco,MAR,38.137,0,0.018,x,x,0.4,0.9995282400733849,0,0.0004717599266151225,x,x,1,0.7
Al Haouz Earthquake in Morocco,Earthquake,MAR003,Morocco,MAR,3.8,2.3,0.5,x,x,2.8,0.5757575757575758,0.3484848484848485,0.07575757575757576,x,x,3,2.9
DIsplacement from Russia-Ukraine conflict in Moldova,"Displacement,Conflict",MDA002,Moldova,MDA,2.539,0,0.123,0,0,1.8,0.953794139744553,0,0.04620586025544703,0,0,1,1.4
Multiple crisis in Madagascar,"Drought,Cyclone",MDG001,Madagascar,MDG,8.264,5.283,1.388,0,0,3.6,0.553368153207446,0.3537565287263961,0.09294227936252845,0,0,3,3.3
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,4.134,4.916,1.22,0,0,3.5,0.4025316455696203,0.47867575462512174,0.11879259980525804,0,0,3,3.25
Cyclone Gamane in Madagascar,"Cyclone,Floods",MDG009,Madagascar,MDG,4.13,0.367,0.168,x,x,2,0.8853161843515541,0.07867095391211147,0.0360128617363344,x,x,2,2
Multiple crisis in Mexico,"Violence,Displacement",MEX001,Mexico,MEX,127.841,0.472,0.142,x,x,1.9,0.9952123684374417,0.0036744099146789563,0.001105436881111042,x,x,1,1.45
Criminal Violence in Mexico,"Violence,Displacement",MEX002,Mexico,MEX,70.145,0.386,x,x,x,x,0.9945272291616453,0.005472770838354766,x,x,x,x,x
Mixed Migration in Mexico,Displacement,MEX003,Mexico,MEX,57.696,0.093,0.142,x,x,1.9,0.9960466119982736,0.0016055243849805783,0.0024514458351316357,x,x,1,1.45
Complex crisis in Mali,Conflict,MLI001,Mali,MLI,15.295,0,5.467,1.491,0.142,4.8,0.6829649475329315,0,0.24411699039964277,0.0665773610180844,0.006340701049341371,4,4.4
Multiple crises in Myanmar,"Socio-political,Conflict,Violence",MMR001,Myanmar,MMR,0,37.294,13.553,5.113,x,5,0,0.6664403145103646,0.24219085060757684,0.09136883488205862,x,4,4.5
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,0,1.794,0.436,1.242,x,3.7,0,0.5167050691244239,0.12557603686635946,0.3577188940092166,x,4,3.85
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,0,3.065,1.429,0.379,x,3.8,0,0.6289759901498051,0.2932485122101375,0.07777549764005746,x,4,3.9
Post-coup conflict in Myanmar,"Violence,Socio-political,Conflict",MMR004,Myanmar,MMR,0,40.855,11.613,3.492,x,5,0,0.7300750536097212,0.20752323087919944,0.06240171551107934,x,4,4.5
2024 Monsoon Floods,Floods,MMR006,Myanmar,MMR,5.82,1.205,0.075,x,x,1.5,0.819718309859155,0.16971830985915493,0.01056338028169014,x,x,2,1.75
Multiple Crises in Mozambique,"Conflict,Displacement,Cyclone",MOZ001,Mozambique,MOZ,0,29.284,3.876,1.678,0,4.6,0,0.8405763821114874,0.11125782191859464,0.04816579596991791,0,3,3.8
Cabo Delgado Islamist Insurgency,"Conflict,Displacement",MOZ004,Mozambique,MOZ,0,9.884,0.54,1.16,x,3.7,0,0.8532458563535912,0.04661602209944751,0.10013812154696132,x,4,3.85
2024 Rainy and Cyclone season,"Floods,Displacement,Cyclone",MOZ011,Mozambique,MOZ,0,34.284,0.546,0.008,x,2.9,0,0.9840978242149377,0.01567254147769677,0.0002296343073655204,x,2,2.45
Drought in Mozambique,Drought,MOZ012,Mozambique,MOZ,0,14.654,2.79,0.51,0,4.2,0,0.8161969477553749,0.15539712598863764,0.028405926255987524,0,3,3.6
Refugees from Mali in Mauritania,Displacement,MRT002,Mauritania,MRT,1.887,0,0.137,x,x,1.9,0.9323122529644269,0,0.06768774703557312,x,x,3,2.45
Food Security in Mauritania,"Drought,Floods",MRT003,Mauritania,MRT,3.194,1.023,0.358,0.007,0,2.6,0.6970755128764732,0.2232649498035792,0.07813182016586644,0.0015277171540811873,0,3,2.8
Complex crisis in Malawi,"Drought,Socio-political,Cyclone",MWI002,Malawi,MWI,12.77,0,8.944,0.056,0,4.9,0.5865870463941204,0,0.4108406063389986,0.002572347266881029,0,3,3.95
International Refugees in Malaysia,Displacement,MYS001,Malaysia,MYS,0,11.041,0.19,x,x,2.1,0,0.9830825393998753,0.016917460600124654,x,x,2,2.05
Food Security Crisis in Namibia,Drought,NAM002,Namibia,NAM,1.111,0.766,1.057,0.088,0,3.4,0.36763732627399076,0.25347452018530775,0.3497683653209795,0.02911978821972204,0,3,3.2
Lake Chad basin crisis in Niger,Conflict,NER002,Niger,NER,0.02,0,0.532,0.288,0,3.2,0.023809523809523808,0,0.6333333333333333,0.34285714285714286,0,4,3.6
