Crisis ID,GlideNumber,SeverityGlideNumber,Country,Crisis,ISO3 code,Region,Drivers,First country,Website name,Crisis description,Connected crises,Starting date,Duration (days),Geoscope,ADM1,ADM1 name
LBY002,,,Libya,Mixed migration flows in Libya,LBY,Africa,Displacement,Libya,Mixed Migration,https://www.acaps.org/country/Libya/crisis/Mixed-Migration,,Before 2019,More than 2 years,National,,
LKA002,,,Sri Lanka,Socio-economic crisis in Sri Lanka,LKA,Asia,"Socio-political,Food Security",Sri Lanka,Socio-economic crisis,https://www.acaps.org/country/Sri Lanka/crisis/Socio-economic-crisis,,20/06/2022,163,National,,
LSO003,,,Lesotho,Food security crisis in Lesotho,LSO,Africa,Food Security,Lesotho,Food security crisis,https://www.acaps.org/country/Lesotho/crisis/Food-security-crisis,,28/11/2022,2,Subnational,"LSO.1_1,LSO.4_1,LSO.5_1,LSO.9_1,LSO.8_1,LSO.7_1,LSO.10_1,LSO.6_1","Berea,Mafeteng,Maseru,Quthing,Qacha's Nek,Mokhotlong,Thaba-Tseka,Mohale's Hoek"
MAR002,,,Morocco,Mixed migration flows in Morocco,MAR,Africa,Displacement,Morocco,Mixed Migration,https://www.acaps.org/country/Morocco/crisis/Mixed-Migration,,Before 2019,More than 2 years,National,,
MDA002,,,Moldova,DIsplacement from Ukraine conflict in Moldova,MDA,Europe,"Displacement,Conflict",Moldova,Displacement from Ukraine conflict,https://www.acaps.org/country/Moldova/crisis/Displacement-from-Ukraine-conflict,"HUN002,POL002,UKR002,ROU002,SVK002",03/03/2022,272,Subnational,"MDA.25_1,MDA.32_1","Ocniţa,Ştefan Voda"
MDG001,,,Madagascar,Multiple crisis in Madagascar,MDG,Africa,"Drought,Cyclone",Madagascar,Country level,https://www.acaps.org/country/Madagascar/crisis/Country-level,,Before 2019,More than 2 years,National,,
MDG002,,,Madagascar,Drought in Madagascar,MDG,Africa,Drought,Madagascar,Drought,https://www.acaps.org/country/Madagascar/crisis/Drought,,Before 2019,More than 2 years,Subnational,"MDG.3_1,MDG.6_1","Fianarantsoa,Toliary"
MDG006,,,Madagascar,Tropical Cyclones Season in 2022 in Madagascar,MDG,Africa,Cyclone,Madagascar,Tropical Cyclones Season in 2022,https://www.acaps.org/country/Madagascar/crisis/Tropical-Cyclones-Season-in-2022,MWI004,25/01/2022,309,National,,
MEX001,,,Mexico,Multiple crisis in Mexico,MEX,Americas,"Violence,Displacement",Mexico,Country Level,https://www.acaps.org/country/Mexico/crisis/Country-Level,,01/11/2019,1125,National,,
MEX002,,,Mexico,Criminal Violence in Mexico,MEX,Americas,"Violence,Displacement",Mexico,Criminal Violence,https://www.acaps.org/country/Mexico/crisis/Criminal-Violence,,01/11/2019,1125,National,,
MEX003,,,Mexico,Mixed Migration in Mexico,MEX,Americas,Displacement,Mexico,Mixed Migration,https://www.acaps.org/country/Mexico/crisis/Mixed-Migration,"GTM003,SLV001,HND001",01/11/2019,1125,National,,
MLI001,,,Mali,Complex crisis in Mali,MLI,Africa,Conflict,Mali,Complex crisis,https://www.acaps.org/country/Mali/crisis/Complex-crisis,,Before 2019,More than 2 years,National,,
MMR001,,,Myanmar,Multiple crises in Myanmar,MMR,Asia,"Socio-political,Conflict,Violence",Myanmar,Country level,https://www.acaps.org/country/Myanmar/crisis/Country-level,,Before 2019,More than 2 years,National,,
MMR002,,,Myanmar,Rakhine Conflict,MMR,Asia,Conflict,Myanmar,Rakhine conflict,https://www.acaps.org/country/Myanmar/crisis/Rakhine-conflict,,Before 2019,More than 2 years,Subnational,MMR.11_1,Rakhine
MMR003,,,Myanmar,Kachin and Shan Conflict,MMR,Asia,Conflict,Myanmar,Kachin and Shan conflict,https://www.acaps.org/country/Myanmar/crisis/Kachin-and-Shan-conflict,,Before 2019,More than 2 years,Subnational,"MMR.4_1,MMR.13_1","Kachin,Shan"
