INFORM Severity Index - all countries. Release: October 2020,,,,,,,,,,,,,,,,,,,,
CRISIS,CRISIS ID,COUNTRY,ISO3,TYPE OF CRISIS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical,Human,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Weights,,,,,,,,,,,,,,,,,,,,
(a-z),,,(a-z),,(1-5),(1-5),(Very Low-Very High),(Decreasing-Stable-Increasing),(Very Low-Very High),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),,
Multiple situations in Thailand,THA001,Thailand,THA,Multiple crises country,2.1,3,Medium,Stable,High,2.6,1.2,3.2,1.8,1.6,2,2.1,2.6,1.5,Asia,2020-10-28 00:00:00
Venezuelan refugees in Trinidad and Tobago,TTO002,Trinidad and Tobago,TTO,International displacement,1.5,2,Low,Stable,Medium,2,2.9,1.4,1.15,1.3,1,1.5,1.4,1.5,Americas,2020-10-06 00:00:00
Mixed migration flows in Tunisia,TUN002,Tunisia,TUN,International displacement,x,x,x,-,Low,3.5,4.3,3,x,x,x,1.4,2.2,0.5,Africa,2020-11-02 00:00:00
Complex situation in Turkey,TUR001,Turkey,TUR,Multiple crises country,3.2,4,High,Stable,High,3.7,3.8,3.7,2.95,3.9,2,3.2,3.4,3,Middle east,2020-11-04 00:00:00
Multiple crises in Uganda,UGA001,Uganda,UGA,Multiple crises country,2.9,3,Medium,Stable,High,3.2,2.9,3.3,3.3,3.6,3,2.1,2.7,1.5,Africa,2020-11-05 00:00:00
Conflict in Ukraine,UKR002,Ukraine,UKR,Conflict,3.5,4,High,Stable,High,3.2,1.7,3.8,4.1,4.2,4,2.6,2.2,3,Europe,2020-11-05 00:00:00
Complex crisis in Venezuela,VEN001,Venezuela,VEN,Complex crisis,4.1,5,Very High,Stable,High,5,4.9,5,4,5,3,3.3,3.6,3,Americas,2020-11-05 00:00:00
Floods in central Vietnam,VNM002,Vietnam,VNM,Flood,2.4,3,Medium,-,Very High,2.9,1.9,3.3,2.05,2.1,2,2.5,3.3,1.5,Asia,2020-11-05 00:00:00
Conflict in Yemen,YEM001,Yemen,YEM,Complex crisis,4.6,5,Very High,Decreasing,High,4.9,4.9,4.9,4.5,5,4,4.5,3.8,5,Middle east,2020-10-19 00:00:00
Drought in Zambia,ZMB002,Zambia,ZMB,Drought,2.7,3,Medium,Stable,Low,2.4,3.9,1.4,3.45,3.9,3,1.7,1.8,1.5,Africa,2020-10-30 00:00:00
