Crisis,DRIVERS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
0,,,,,sq. Km,Number,Number,Number,Number,,Number,Number,Number,Number,million USD,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,
Complex crisis in Afghanistan,"Conflict,Violence,Displacement,Drought,Earthquake,Socio-political",AFG001,Afghanistan,AFG,652860,43100000,43100000,22915000,2010,x,1925,21300,3330,#N/A,x,0,19400000,9000000,14700000,0,4,x,543000,0.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0
Earthquake in Herat Province,Earthquake,AFG006,Afghanistan,AFG,54778,3500000,1600000,0,2100,x,1482,21300,3330,#N/A,x,1900000,1325000,232000,43000,0,2,x,x,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,3.0
Drought in South-West Angola,Drought,AGO002,Angola,AGO,1246700,2750000,2267000,0,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,483000,683000,1167000,417000,0,1,#N/A,#N/A,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0
Nagorno-Karabakh Conflict in Armenia,"Conflict,Displacement",ARM002,Armenia,ARM,16556,2165000,302000,150000,2,x,13,x,x,#N/A,x,1863000,152000,150000,0,0,2,x,x,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0
Nagorno-Karabakh conflict in Azerbaijan,"Conflict,Displacement",AZE002,Azerbaijan,AZE,16458,895000,206000,142000,248,x,550,x,x,#N/A,x,689000,201000,5000,0,0,3,x,x,2.0,3.0,2.0,0.0,3.0,2.0,1.0,3.0,2.0
Complex in Burundi,"Violence,Displacement,Floods",BDI001,Burundi,BDI,25680,12289000,6791000,590000,x,283000,110,x,x,#N/A,444,5498000,5556000,1130000,105000,0,5,x,x,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
Conflict in Burkina Faso,"Conflict,Displacement,Violence",BFA002,Burkina Faso,BFA,166000,21537000,4618000,2253000,1,x,3554,x,x,#N/A,x,16919000,0,2582000,1947000,89000,4,x,x,2.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,3.0
Rohingya refugee crisis,"Conflict,Violence,Displacement",BGD002,Bangladesh,BGD,730.46,1513000,1513000,975000,x,x,30,x,x,#N/A,x,0,0,1256000,257000,0,3,x,x,2.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0
Complex crisis in Bangladesh,"Socio-political,Displacement,Floods,Cyclone,Food Security,Epidemic,Other seasonal event",BGD010,Bangladesh,BGD,147570,170804000,153821000,975000,x,x,30,0,x,#N/A,0,16983000,116262000,27351000,10209000,0,5,x,x,2.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0
Displacement from Russia-Ukraine conflict in Bulgaria,"Conflict,Displacement",BGR002,Bulgaria,BGR,108560,6519000,54000,54000,x,x,x,0,0,#N/A,x,6465000,0,54000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Displacement from Russia-Ukraine conflict in Belarus,"Displacement,Conflict",BLR002,Belarus,BLR,207582,9268000,40000,40000,x,x,0,0,0,#N/A,x,9228000,0,40000,0,0,2,x,x,2.0,1.0,1.0,0.0,3.0,2.0,0.0,3.0,0.0
Country level Brazil,"Displacement,Floods",BRA001,Brazil,BRA,8358140,106305000,1216000,39000,x,x,7,x,x,#N/A,x,105089000,245000,971000,0,0,5,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Venezuela displacement in Brazil,Displacement,BRA002,Brazil,BRA,4494716,105883000,499000,17000,x,x,1,x,x,#N/A,x,105384000,138000,361000,0,0,5,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Drought in the Amazonas,Drought,BRA004,Brazil,BRA,1559256,3941000,600000,12000,x,x,x,x,x,#N/A,x,3341000,0,600000,0,0,x,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Complex crisis in CAR,"Conflict,Displacement",CAF001,CAR,CAF,622980,6100000,6100000,1610000,1,x,299,x,x,#N/A,x,0,2700000,2100000,1300000,0,4,x,x,1.0,3.0,2.0,3.0,0.0,3.0,3.0,1.0,3.0
Venezuela displacement in Chile,Displacement,CHL002,Chile,CHL,743532,19604000,13131000,498000,x,x,15,x,x,#N/A,x,6472000,12758000,373000,0,0,3,x,x,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0
Multiple crises in Cameroon,"Conflict,Displacement",CMR001,Cameroon,CMR,475440,25680000,3849000,2340000,150,x,600,x,x,#N/A,x,21831000,0,2477000,1372000,x,4,x,x,1.0,3.0,3.0,3.0,0.0,2.0,3.0,1.0,3.0
Lake Chad basin crisis in Cameroon,Conflict,CMR002,Cameroon,CMR,34513,5179000,1555000,810000,x,x,389,x,x,#N/A,5.2,3623000,0,493000,1063000,x,4,x,x,1.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,3.0
