,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Syrian refugees in Lebanon,Displacement,LBN002,Lebanon,LBN,0,4.2,1.5,x,x,3.6,0,0.7368421052631579,0.2631578947368421,x,x,3,3.3
Socioeconomic crisis in Lebanon,"Socio-political,Violence,Tecnological Disaster",LBN004,Lebanon,LBN,0,1.8,3.9,x,x,4.3,0,0.3157894736842105,0.6842105263157895,x,x,3,3.65
Complex crisis in Libya,"Conflict,Displacement,Socio-political",LBY001,Libya,LBY,0,5.767,1.165,x,x,3.4,0,0.8319388343912291,0.1680611656087709,x,x,3,3.2
Mixed migration flows in Libya,Displacement,LBY002,Libya,LBY,6.166,0,0.766,x,x,3.1,0.8894979803808425,0,0.11050201961915752,x,x,3,3.05
Storm Daniel and floods in Libya,"Floods,Other seasonal event",LBY003,Libya,LBY,1.126,0,0.884,x,x,3.2,0.5601990049751244,0,0.43980099502487563,x,x,3,3.1
Multiple crises in Sri Lanka,"Socio-political,Food Security,Floods",LKA001,Sri Lanka,LKA,15.037,1.72,5.28,x,x,4.5,0.6823524073149703,0.07805055134546444,0.23959704133956528,x,x,3,3.75
Socio-economic crisis in Sri Lanka,"Socio-political,Food Security",LKA002,Sri Lanka,LKA,15.037,1.72,5.28,x,x,4.5,0.6823524073149703,0.07805055134546444,0.23959704133956528,x,x,3,3.75
2023 Floods and Monsoon Rain,Floods,LKA003,Sri Lanka,LKA,6.013,0.149,0.095,x,x,1.6,0.9608501118568232,0.023809523809523808,0.01518056887184404,x,x,1,1.3
Displacement from Russia-Ukraine conflict in Lithuania,"Conflict,Displacement",LTU002,Lithuania,LTU,2.832,0,0.041,0,0,1,0.9857292029237731,0,0.01427079707622694,0,0,1,1
Displacement from Russia-Ukraine conflict in Latvia,"Conflict,Displacement",LVA002,Latvia,LVA,1.879,0,0.048,0,0,1.1,0.9750908147379346,0,0.024909185262065387,0,0,1,1.05
Multiple crises in Morocco,"Displacement,Earthquake",MAR001,Morocco,MAR,35.235,2.3,0.52,x,x,2.9,0.925896728419393,0.06043883852319012,0.013664433057416896,x,x,2,2.45
Mixed migration flows in Morocco,Displacement,MAR002,Morocco,MAR,38.035,0,0.02,x,x,0.5,0.999474444882407,0,0.0005255551175929575,x,x,1,0.75
