,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
TCD004,179,179,179,5,5,179,179,179,179,179,5,228,228,228,228,228,228,228,228,228,131.7,,
TCD005,179,179,179,5,5,179,179,179,179,179,5,228,228,228,228,228,228,228,228,228,131.7,,
THA001,165,4,4,4,4,4,165,4,165,165,1782,31,31,31,31,31,31,31,31,31,232.8,,
THA002,165,165,165,165,4,165,165,165,165,165,1782,31,31,31,31,31,31,31,31,31,297.2,,
THA003,165,4,4,4,4,4,165,4,165,165,1782,31,31,31,31,31,31,31,31,31,232.8,,
TLS003,61,61,61,61,61,61,61,61,61,61,61,34,34,34,34,34,34,34,34,34,58.3,,
TTO002,92,92,92,2,31,92,92,92,92,92,92,229,229,229,229,229,229,229,229,229,90.6,,
TUN002,518,0,0,0,0,0,0,0,0,0,518,46,46,46,46,46,46,46,46,46,56.4,,
TUR001,92,92,92,0,0,0,0,0,0,0,1780,34,34,34,34,34,34,34,34,34,190.6,,
TUR002,92,92,39,38,92,38,38,38,38,38,1780,34,34,34,34,34,34,34,34,34,217.3,,
TUR003,92,92,31,31,0,31,31,31,31,31,1780,34,34,34,34,34,34,34,34,34,203.1,,
TUR004,92,92,92,92,0,92,92,92,92,92,1780,34,34,34,34,34,34,34,34,34,245.8,,
TUR005,92,92,92,92,0,92,92,92,92,92,92,34,34,34,34,34,34,34,34,34,77,,
TZA001,2,2,2,2,2,2,2,2,2,2,245,34,34,34,34,34,34,34,34,34,29.5,,
TZA002,2,2,2,2,2,2,2,2,2,2,245,34,34,34,34,34,34,34,34,34,29.5,,
TZA003,2,2,2,656,2,2,2,2,2,2,656,34,34,34,34,34,34,34,34,34,136,,
UGA005,167,16,16,16,1304,16,16,16,16,16,16,34,34,34,34,34,34,34,34,34,146.6,,
UKR002,9,9,9,9,9,9,9,9,9,9,9,38,38,38,38,38,38,38,38,38,11.9,,
VEN001,32,32,32,32,32,32,32,32,32,32,32,34,34,34,34,34,34,34,34,34,32.2,,
YEM001,191,9,9,9,9,9,9,9,9,9,458,34,34,34,34,34,34,34,34,34,56.4,,
YEM002,191,9,9,9,61,9,9,9,9,9,276,34,34,34,34,34,34,34,34,34,43.4,,
ZMB002,2,2,2,2,2,2,2,2,2,2,840,35,35,35,35,35,35,35,35,35,89.1,,
ZWE001,2,2,2,2,2,2,2,2,2,2,631,36,36,36,36,36,36,36,36,36,68.3,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,MIN,3.4
,,,,,,,,,,,,,,,,,,,,,,MAX,1019.8
