,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Multiple crises in Niger,"Conflict,Displacement",NER001,Niger,NER,9.399,0,1.756,1.385,0,4.2,0.7495215311004785,0,0.14003189792663476,0.11044657097288677,0,4,4.1
Lake Chad basin crisis in Niger,Conflict,NER002,Niger,NER,0.22,0,0.057,0.512,0,2.9,0.27918781725888325,0,0.07233502538071065,0.649746192893401,0,4,3.45
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,5.801,0,0.876,0.873,0,3.7,0.7683443708609271,0,0.11602649006622516,0.11562913907284768,0,4,3.85
Nigerian Refugees,Displacement,NER004,Niger,NER,3.379,0,0.823,0,0,3.2,0.8041408852927178,0,0.19585911470728223,0,0,3,3.1
Complex crisis in Nigeria,"Conflict,Displacement,Violence",NGA001,Nigeria,NGA,104.75,63.958,23.706,1.108,0,5,0.5412793311389343,0.3304930163339758,0.12249706753202462,0.005725417650615172,0,3,4
Middle belt conflict,Violence,NGA003,Nigeria,NGA,9.555,5.977,2.468,0,0,4,0.5308333333333334,0.33205555555555555,0.1371111111111111,0,0,3,3.5
Lake Chad basin crisis in Nigeria,"Conflict,Displacement",NGA004,Nigeria,NGA,2,5.8,5.9,2.2,0.2,4.9,0.12422360248447205,0.36024844720496896,0.36645962732919257,0.13664596273291926,0.012422360248447204,4,4.45
Northwest Banditry,"Violence,Displacement",NGA007,Nigeria,NGA,19.508,15.815,6.994,0.431,0,4.8,0.45634883503321794,0.3699588284832039,0.16360999344998597,0.010082343033592215,0,3,3.9
Cameroonian Refugees in Nigeria,Displacement,NGA008,Nigeria,NGA,12.589,0,0.086,x,x,1.6,0.993214990138067,0,0.006785009861932939,x,x,1,1.3
Socioeconomic crisis in Nicaragua,Socio-political,NIC001,Nicaragua,NIC,6.948,0.25,0,0,0,0,0.9652681300361211,0.03473186996387886,0,0,0,1,0.5
Complex crisis in Pakistan,"Displacement,Conflict",PAK001,Pakistan,PAK,145.218,73.815,18.503,2.097,0,5,0.6060016775652769,0.30803353461334626,0.07721390626499688,0.008750881556379965,0,3,4
Kashmir conflict in Pakistan,Conflict,PAK004,Pakistan,PAK,4.361,x,x,x,x,x,1,x,x,x,x,x,x
Floods in Pakistan ,Other seasonal event,PAK005,Pakistan,PAK,0,12.4,20.57,0.03,0,5,0,0.37575757575757573,0.6233333333333333,0.0009090909090909091,0,3,4
Venezuela displacement in Panama,Displacement,PAN002,Panama,PAN,0,0.023,0.036,0,0,0.9,0,0.39655172413793105,0.6206896551724138,0,0,3,1.95
Venezuela displacement in Peru,Displacement,PER002,Peru,PER,19.429,13.571,1.05,x,x,3.4,0.5706020558002937,0.39856093979442,0.030837004405286344,x,x,2,2.7
Mindanao conflict,"Conflict,Violence",PHL003,Philippines,PHL,26.09,0,0.133,x,x,1.9,0.9938290415968307,0,0.005066280664330337,x,x,1,1.45
Multiple crises in Papua New Guinea,0,PNG001,Papua New Guinea,PNG,8.822,0.02,0.259,0.032,x,2.4,0.9659476623234424,0.0021898609438300667,0.028358699222599364,0.003503777510128107,x,1,1.7
Highlands Violence,Earthquake,PNG003,Papua New Guinea,PNG,4.302,0,0.233,0.032,x,2.4,0.9421813403416557,0,0.0510293473499781,0.00700832238282961,x,3,2.7
2023 Ulawun Volcano Eruption in Papua New Guinea,Volcano Eruption,PNG004,Papua New Guinea,PNG,4.52,0.02,0.026,x,x,0.7,0.9899255365746824,0.004380201489268506,0.0056942619360490585,x,x,1,0.85
Displacement from Russia-Ukraine conflict in Poland,"Displacement,Conflict",POL002,Poland,POL,37.562,0,0.955,0,0,3.3,0.9752310728009139,0,0.024794890435143838,0,0,1,2.15
Complex crisis in DPRK,"Socio-political,Floods,Other seasonal event,Food Security",PRK001,DPRK,PRK,0,15.254,4.97,5.459,0,5,0,0.5828366192877885,0.18989760048907228,0.20858169035610577,0,4,4.5
Conflict in Palestine,"Conflict,Socio-political,Violence",PSE002,Palestine,PSE,0.814,1.545,1.234,1.278,0.613,4.2,0.14845887287981033,0.281780047419296,0.22505927412000729,0.2330840780594565,0.11180010942914463,5,4.6
Conflict in West Bank,"Conflict,Displacement,Socio-political,Violence",PSE003,Palestine,PSE,0.814,1.543,0.756,0.108,0.036,3.3,0.24992324224746698,0.473748848633712,0.23211544365980963,0.03315934909425852,0.01105311636475284,3,3.15
Conflict in Gaza,"Conflict,Displacement,Socio-political,Violence",PSE004,Palestine,PSE,0,0.003,0.478,1.17,0.577,3.9,0,0.001347103726986978,0.21463852716659182,0.5253704535249214,0.2590929501571621,5,4.45
Lake Chad basin regional crisis,0,REG001,"Nigeria,Niger,Chad,Cameroon","NGA,NER,TCD,CMR",10.439,0,5.819,4.406,0.874,5,0.4846782431052094,0,0.27017364657814097,0.20456866932862847,0.04057944098802117,4,4.5
Venezuela Regional Crisis,0,REG002,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago,Chile,Dominican Republic,Panama","VEN,BRA,COL,ECU,PER,TTO,CHL,DOM,PAN",149.809,37.651,26.943,0,0,5,0.6987294894637177,0.17560936931558474,0.12566580535629332,0,0,3,4
Regional Kashmir conflict,0,REG003,"India,Pakistan","IND,PAK",19.36,x,x,x,x,x,1,x,x,x,x,x,x
Syrian Regional Crisis,0,REG004,"Syria,Türkiye,Iraq,Egypt,Jordan,Lebanon","SYR,TUR,IRQ,EGY,JOR,LBN",62.062,13.93,14.167,6.254,0.127,5,0.642863061943236,0.14429252123472136,0.14674746219183757,0.06478143774601201,0.0013155168841930806,4,4.5
Eastern Mediterranean Route ,0,REG006,"Türkiye,Greece","TUR,GRC",15.56,0.358,0.355,0.021,0,2.6,0.9549527433411071,0.021971277770958635,0.021787160918129374,0.001288817969804836,0,1,1.8
Central Mediterranean Route,0,REG007,"Algeria,Tunisia,Libya,Italy","DZA,TUN,LBY,ITA",122.958,0.566,0.618,x,x,3,0.9904625348391358,0.004559295000886082,0.0049781701599780894,x,x,1,2
Western Mediterranean Route,0,REG008,"Algeria,Morocco,Spain","DZA,MAR,ESP",130.898,0,0.33,x,x,2.5,0.9974852927728838,0,0.002514707227116164,x,x,1,1.75
Rohingya Regional Crisis,0,REG011,"Bangladesh,Myanmar","BGD,MMR",0,1.8,1.684,1.495,0,4.2,0,0.3614457831325301,0.3381526104417671,0.3002008032128514,0,4,4.1
Southern Africa Regional Food Security Crisis,0,REG012,"Lesotho,Madagascar,Malawi,Namibia,Eswatini,Zambia,Zimbabwe,Tanzania","LSO,MDG,MWI,NAM,SWZ,ZMB,ZWE,TZA",19.881,49.92,13.456,0.483,0,5,0.2374162576577222,0.5961380002149536,0.1606897622374282,0.005767921756887472,0,3,4
Nagorno-Karabakh Conflict,0,REG013,"Armenia,Azerbaijan","ARM,AZE",2.539,0.34,0.154,0,0,2,0.8371249587866798,0.11210023079459282,0.050774810418727334,0,0,3,2.5
Eastern Africa Regional Drought Crisis,Drought,REG014,"Ethiopia,Somalia,Kenya","ETH,SOM,KEN",48.884,34.585,24.64,1.28,0,5,0.4468822276462898,0.3161652451343371,0.22525116785051513,0.011701359368857928,0,3,4
Turkiye / Syria earthquake,Earthquake,REG015,"Türkiye,Syria","TUR,SYR",9.1,14.723,3.021,0.15,0.006,4.2,0.337037037037037,0.5452962962962963,0.11188888888888888,0.005555555555555556,0.00022222222222222223,3,3.6
