,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,3.6,0.2573942935716741,1.2,2.4,2.7,0.21643665785781868,1,1.85,2.1,3.6,0.6555622550497437,3.3,3.45,1.3,0.0018395033340997931,0.1,0.7,0,0,0,0,0.4,2.2
Tropical cyclone Freddy in Madagascar,Cyclone,MDG008,Madagascar,MDG,3.9,0.4006428325885184,1.9,2.9,3.1,0.27689145541744153,1.3,2.2,2.6,4,1,5,4.5,2.4,0.005302226935312832,0.2,1.3,1.8,2.0030635088959585e-06,0.1,1,1.2,3.3
Multiple crisis in Mexico,"Violence,Displacement",MEX001,Mexico,MEX,5,1,5,5,5,1,5,5,5,2.1,0.005126083064502508,0,1.05,4,1,5,4.5,5,0.0066112026359143325,5,5,4.8,3.5
Criminal Violence in Mexico,"Violence,Displacement",MEX002,Mexico,MEX,5,1,5,5,5,1,5,5,5,1.8,0.003200635060043576,0,0.9,3.7,1,5,4.4,5,0.007939313984168866,5,5,4.7,3.4
Mixed Migration in Mexico,Displacement,MEX003,Mexico,MEX,5,0.5966979603384861,2.9,3.95,5,0.48919046734338845,2.4,3.7,3.8,1.4,0.003935988399192087,0,0.7,3.4,1,5,4.2,4.3,0.004403508771929824,5,4.7,4.5,3.1
Complex crisis in Mali,Conflict,MLI001,Mali,MLI,5,1.0163908899433696,5,5,4.5,1,5,4.75,4.9,4.4,0.5944700460829493,3,3.7,4.6,0.12193798449612403,4.1,4.4,4.8,0.00017131782945736435,5,4.9,4.7,4.3
Multiple crises in Myanmar,"Socio-political,Conflict,Violence",MMR001,Myanmar,MMR,4.7,1.0359802780670055,5,4.85,5,1,5,5,4.9,5,0.9803431022158685,4.9,4.95,5,0.06556689755741889,2.2,3.6,5,0.0001546299671892089,5,5,4.4,4.7
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,2.6,0.056314693452563236,0.2,1.4000000000000001,1.8,0.06204431736954968,0.3,1.05,1.2,3.4,1,5,4.2,4.4,0.36952764976958524,5,4.7,3.2,5.328341013824885e-05,2.7,3,4,4.1
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,3.6,0.22906841428308936,1.1,2.35,2.3,0.08708005718370264,0.4,1.3499999999999999,1.9,3.6,1,5,4.3,2.8,0.01928996511389288,0.6,1.7,4.4,0.00024646008618920583,5,4.7,3.6,4
Post-coup conflict in Myanmar,"Violence,Socio-political,Conflict",MMR004,Myanmar,MMR,4.5,0.750597170331353,3.7,4.1,5,0.8508756254467477,4.2,4.6,4.4,5,0.9768980363330884,4.9,4.95,4.8,0.04772653982586263,1.6,3.2,5,0.0001494571643555842,5,5,4.3,4.7
Cyclone Mocha in Myanmar,"Cyclone,Floods",MMR005,Myanmar,MMR,3.8,0.27462638574140996,1.3,2.55,3.4,0.1901894210150107,0.9,2.15,2.4,2,0.046979235178051304,0.2,1.1,x,x,x,x,3.1,0.00029,5,4.1,4.1,2.9
Multiple Crises in Mozambique,"Conflict,Displacement,Cyclone",MOZ001,Mozambique,MOZ,4.8,1,5,4.9,5,0.9984850691915513,5,5,5,4.3,0.37388031394975635,1.8,3.05,4.3,0.07647885125643827,2.5,3.4,3.5,2.2475417512096145e-05,1.1,2.3,2.9,3
Cabo Delgado Islamist Insurgency,"Conflict,Displacement",MOZ004,Mozambique,MOZ,4.1,0.3568440194308095,1.7,2.9,3.5,0.3374799708667152,1.7,2.6,2.8,4.3,1,5,4.65,4.2,0.08106008287292818,2.7,3.5,2.9,9.064226519337016e-06,0.5,1.7,2.7,3.9
Tropical Cyclone Freddy in Mozambique,Cyclone,MOZ010,Mozambique,MOZ,4.6,0.7615351356850377,3.8,4.199999999999999,4.2,0.5251274581209031,2.6,3.4000000000000004,3.8,2.7,0.06829403606102635,0.3,1.5,2.3,0.03411860276198213,1.1,1.7,3.2,0.000148659626320065,5,4.1,3.1,2.4
Refugees from Mali in Mauritania,Displacement,MRT002,Mauritania,MRT,3.9,0.19986416998156592,0.9,2.4,2.4,1.0420751633986929,5,3.7,3.1,3.7,1,5,4.35,1.6,0.002548020384163073,0.1,0.9,0,0,0,0,0.5,2.9
Food Security in Mauritania,"Drought,Floods",MRT003,Mauritania,MRT,5,1,5,5,1.8,0.7236519607843137,3.6,2.7,4.1,2.7,0.36550945526390066,1.8,2.25,x,x,x,x,0,0,0,0,0,1.3
