,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Cameroonian Refugees in Nigeria,International displacement,NGA008,Nigeria,NGA,17.595,0,0.062,0,0,1.3,0.9964886447301353,0,0.003511355269864643,0,0,1,1.15
Regional Boko Haram Crisis,Regional crisis,REG001,"Nigeria, Niger, Chad, Cameroon","NGA, NER, TCD, CMR",2.608,4.352,3.234,3.385,0.122,4.7,0.19035106926501716,0.31764104809867894,0.236041164878476,0.24706225822932631,0.008904459528501569,4,4.35
Complex crisis in Pakistan,Complex crisis,PAK001,Pakistan,PAK,145.236,61.32,2.021,1.018,0,4.1,0.6929396833878833,0.292565626878632,0.009642451596896858,0.00485700926553241,0,2,3.05
Kashmir conflict in Pakistan,Conflict,PAK004,Pakistan,PAK,x,x,x,x,x,x,x,x,x,x,x,x,x
Conflict in Palestine,Conflict,PSE002,Palestine,PSE,0,3,0.396,0.858,0.946,3.9,0,0.5769230769230769,0.07615384615384616,0.165,0.1819230769230769,5,4.45
Venezuela displacement in Peru,International displacement,PER002,Peru,PER,15.443,0,0.885,0,0,3.2,0.9457986281234689,0,0.05420137187653111,0,0,3,3.1
Multiple crises in the Philippines,Multiple crises country,PHL001,Philippines,PHL,80.397,8.092,1.128,0,0,3.4,0.905840863510377,0.09117335556707304,0.012709286342024022,0,0,2,2.7
Mindanao conflict,Conflict,PHL003,Philippines,PHL,23.991,0,0.145,0,0,1.9,0.9939923765329798,0,0.006007623467020219,0,0,1,1.45
Mindanao Earthquake,Earthquake,PHL004,Philippines,PHL,10.056,0,0.079,0,0,1.5,0.9923031379514505,0,0.007795539767120584,0,0,1,1.25
Typhoon Goni (Rolly) and Typhoon Vamco (Ulysses) ,Tropical cyclone,PHL009,Philippines,PHL,46.35,7.229,0.905,0,0,3.3,0.8507084648704206,0.13268115410028633,0.016610381029293003,0,0,2,2.65
Burundi and DRC refugees in Rwanda,International displacement,RWA002,Rwanda,RWA,4.429,0,0.148,0,0,2,0.9678758741258742,0,0.032342657342657344,0,0,1,1.5
Drought in Senegal,Drought,SEN002,Senegal,SEN,13.521,2.676,0.498,0.013,0,2.8,0.8092046202645281,0.16015321084445508,0.029804297085403077,0.0007780238194984738,0,2,2.4
Complex crisis in Somalia,Complex crisis,SOM001,Somalia,SOM,7.213,3.01,1.705,0.4,0,3.9,0.5864227642276423,0.24471544715447155,0.13861788617886178,0.032520325203252036,0,3,3.45
Mixed Migration Flows in Somalia,International displacement,SOM002,Somalia,SOM,1.227,0,0.002,0.034,0,0.9,0.9730372720063442,0,0.0015860428231562252,0.02696272799365583,0,1,0.95
Floods in Somalia,Flood,SOM004,Somalia,SOM,4.764,0.251,0.285,0,0,2.4,0.8988679245283019,0.047358490566037734,0.05377358490566038,0,0,3,2.7
Complex crisis in South Sudan,Complex crisis,SSD001,South Sudan,SSD,0,4.43,5.26,1.93,0.01,4.8,0,0.37911852802738555,0.4501497646555413,0.16516902011125376,0.0008557980316645272,4,4.4
Mixed migration flows in Spain,International displacement,ESP002,Spain,ESP,0.064,0,0,0,0,0,0.007629947544110634,0,0,0,0,False,0
Complex crisis in Sudan,Complex crisis,SDN001,Sudan,SDN,16.4,17.3,4.4,1,3.9,4.9,0.38139534883720927,0.40232558139534885,0.10232558139534884,0.023255813953488372,0.09069767441860466,5,4.95
Refugees in Sudan,International displacement,SDN005,Sudan,SDN,0,0.226,0.4,0.5,0.2,3.4,0,0.17043740573152338,0.30165912518853694,0.3770739064856712,0.15082956259426847,5,4.2
Floods in Sudan ,Flood,SDN006,Sudan,SDN,42.14,0.81,0.05,0,0,1.2,0.98,0.018837209302325582,0.0011627906976744186,0,0,1,1.1
Refugees from Ethiopia,International displacement,SDN007,Sudan,SDN,4.956,0,0.903,0,0,3.3,0.8460225332878115,0,0.15414817343803347,0,0,3,3.15
Syrian conflict,Complex crisis,SYR001,Syria,SYR,0,5.362,1.969,8.5,1.239,5,0,0.3141183362624487,0.1153485647334505,0.4979496192149971,0.07258347978910369,5,5
Syrian Regional Crisis,Regional crisis,REG004,"Syria, Turkey, Iraq, Egypt, Jordan, Lebanon","SYR, TUR, IRQ, EGY, JOR, LBN",67.281,13.23,4.439,9.805,1.239,5,0.7008802541799052,0.1378196781082348,0.04624199177040471,0.10214073649669253,0.012906922235533101,4,4.5
International Displacement in Tanzania,International displacement,TZA002,Tanzania,TZA,11.092,0,0.294,0,0,2.4,0.9742643829600351,0,0.025823451910408433,0,0,1,1.7
Multiple situations in Thailand,Multiple crises country,THA001,Thailand,THA,0,3.458,0.092,0,0,1.6,0,0.9743589743589743,0.025922795153564385,0,0,2,1.8
Conflict in southern Thailand ,Conflict,THA002,Thailand,THA,x,x,x,x,x,x,x,x,x,x,x,x,x
Myanmar refugees in Thailand,International displacement,THA003,Thailand,THA,0,0,0.092,0,0,1.6,0,0,1,0,0,3,2.3
Venezuelan refugees in Trinidad and Tobago,International displacement,TTO002,Trinidad and Tobago,TTO,1.395,0,0.06,0,0,1.3,0.9620689655172414,0,0.041379310344827586,0,0,1,1.15
Mixed migration flows in Tunisia,International displacement,TUN002,Tunisia,TUN,x,x,x,x,x,x,x,x,x,x,x,x,x
Complex situation in Turkey,Multiple crises country,TUR001,Turkey,TUR,49.641,1.747,1.638,0.585,0,3.9,0.9259480330529183,0.032586596034395926,0.03055343119882114,0.010911939713864692,0,2,2.95
Syrian Refugees in Turkey,International displacement,TUR002,Turkey,TUR,32.518,1.747,1.638,0.255,0,3.8,0.8993307151944244,0.04831572542729133,0.04530117816250899,0.007052381215775208,0,3,3.4
Mixed Migration Flows in Turkey,International displacement,TUR003,Turkey,TUR,33.656,1.747,1.638,0.585,0,3.9,0.8944878541434115,0.04643065965024185,0.04353372667836071,0.015547759527985967,0,3,3.45
Kurdish Conflict,Conflict,TUR004,Turkey,TUR,x,x,x,x,x,x,x,x,x,x,x,x,x
Eastern Mediterranean Route ,Regional crisis,REG006,"Turkey, Greece","TUR, GRC",x,x,x,x,x,x,x,x,x,x,x,x,x
Multiple crises in Uganda,Multiple crises country,UGA001,Uganda,UGA,9.662,3.285,1.529,0,0,3.6,0.6674495717048908,0.22692732799115778,0.10562310030395136,0,0,3,3.3
International Displacement in Uganda,International displacement,UGA005,Uganda,UGA,6.011,0,1.429,0,0,3.6,0.8079301075268818,0,0.1920698924731183,0,0,3,3.3
Conflict in Ukraine,Conflict,UKR002,Ukraine,UKR,0.909,2,2.44,0.96,0,4.2,0.14407988587731813,0.3170074496750674,0.3867490886035822,0.15216357584403234,0,4,4.1
Cyclone Harold in Vanuatu,Tropical cyclone,VUT002,Vanuatu,VUT,0.075,0.033,0.123,0,0,1.8,0.3246753246753247,0.14285714285714285,0.5324675324675324,0,0,3,2.4
Complex crisis in Venezuela,Complex crisis,VEN001,Venezuela,VEN,13.409,0,13.956,0,0,5,0.4900054814544126,0,0.5099945185455874,0,0,3,4
Venezuela Regional Crisis,Regional crisis,REG002,"Venezuela, Brazil, Colombia, Ecuador, Peru, Trinidad and Tobago","VEN, BRA, COL, ECU, PER, TTO",44.631,14.161,18.778,0.5,0,5,0.5716792622005892,0.1813884975022416,0.2405277315229922,0.006404508774177021,0,3,4
Floods in central Vietnam,Flood,VNM002,Vietnam,VNM,6.2,1.323,0.177,0,0,2.1,0.8051948051948052,0.17181818181818181,0.022987012987012986,0,0,2,2.05
