,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Hurricane Eta and Iota in Honduras,Tropical cyclone,HND002,Honduras,HND,3.4,1.0053624095093396,5,4.2,3.2,1,5,4.1,4.2,3.6,0.5132124918104389,2.5,3.05,2.8,0.020425531914893616,0.7,1.8,2.8,2.0851063829787234e-05,1,1.9,1.9,2.5
Complex crisis in Haiti,Complex crisis,HTI001,Haiti,HTI,2.4,0.9857039187227866,4.9,3.6500000000000004,3.5,0.956140350877193,4.8,4.15,3.9,3.8,0.5779816513761468,2.9,3.3499999999999996,2.5,0.008412698412698413,0.3,1.4,3.4,3.571428571428572e-05,1.8,2.6,2,2.7
Papua Conflict,Conflict,IDN002,Indonesia,IDN,4.4,0.2296681883669966,1.1,2.75,1.9,0.015122761986913804,0,0.95,1.9,3.4,1,5,4.2,x,x,x,x,2.3,1.14079020589872e-05,0.6,1.5,1.5,3.1
Sulawesi Earthquake,Earthquake,IDN006,Indonesia,IDN,1.7,0.005927455190801349,0,0.85,0,0.003719677684037786,0,0,0.4,0.8,0.1074660633484163,0.5,0.65,2.8,1,5,3.9,2.9,0.0011052631578947368,5,4,4,2.7
Country Level,Multiple crises country,IDN007,Indonesia,IDN,4.4,0.23559564355779794,1.1,2.75,2.2,0.01884243967095159,0,1.1,2,3.4,0.82358195623046,4.1,3.75,2.8,0.025759219088937094,0.9,1.9,3.1,3.9587852494577005e-05,2,2.6,2.3,3.1
Conflict in Jammu and Kashmir,Conflict,IND002,India,IND,3.9,0.07474665258527037,0.3,2.1,3.7,0.009265470772504286,0,1.85,2,x,x,x,x,x,x,x,x,3.3,x,x,3.3,3.3,3.3
Afghan Refugees in Iran,International displacement,IRN004,Iran,IRN,4,0.1470818291215403,0.6,2.3,4.6,0.29933916986228687,1.5,3.05,2.7,3.3,0.11888168231076018,0.5,1.9,5,1,5,5,0,0,0,0,3.5,2.8
Multiple crises in Iraq,Multiple crises country,IRQ001,Iraq,IRQ,4.4,1.0016853748388286,5,4.7,5,1,5,5,4.9,3.8,0.1559399643856525,0.7,2.25,5,1.37047308319739,5,5,3.3,3.4747145187601956e-05,1.7,2.5,4.1,3.3
Conflict  in Iraq,Conflict,IRQ002,Iraq,IRQ,4.4,1.0016853932584269,5,4.7,2.6,0.1559399643856525,0.7,1.65,3.6,3.7,0.9168026101141925,4.6,4.15,5,1.4512455516014235,5,5,3.3,3.790035587188612e-05,1.9,2.6,4.1,4.1
Syrian and Palestinian refugees in iraq,International displacement,IRQ003,Iraq,IRQ,2.7,0.09357846748940873,0.4,1.55,2.4,0.1306029000254388,0.6,1.5,1.5,2,0.09232567199065056,0.4,1.2,3.4,0.510548523206751,5,4.2,0,0,0,0,2.7,2
