,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,7.044,0.009,1.31,0.036,0,3.5,0.8385714285714285,0.0010714285714285715,0.15595238095238095,0.004285714285714286,0,3,3.25
Nigerian Refugees,International displacement,NER004,Niger,NER,0.624,0,0.662,0.042,0,3.1,0.46987951807228917,0,0.49849397590361444,0.03162650602409638,0,3,3.05
Floods in Niger,Flood,NER005,Niger,NER,23.061,0,0.516,0,0,2.9,0.9689495798319328,0,0.021680672268907564,0,0,1,1.95
Complex crisis in Nigeria,Complex crisis,NGA001,Nigeria,NGA,63.106,1.936,3.108,2.884,0,4.6,0.8884039812481522,0.027254937845789987,0.04375431137640252,0.04060084749341855,0,3,3.8
Middle belt conflict,Conflict,NGA003,Nigeria,NGA,14.704,0,0,0.397,0,2.7,0.9737748344370861,0,0,0.026291390728476822,0,1,1.85
Boko Haram crisis in Nigeria,Conflict,NGA004,Nigeria,NGA,0.751,1.936,2.331,2.884,0,4.5,0.0950632911392405,0.2450632911392405,0.2950632911392405,0.3650632911392405,0,4,4.25
Northwest Banditry,Other type of violence,NGA007,Nigeria,NGA,30.058,0,0.317,0,0,2.5,0.9895312088490914,0,0.010435870424018962,0,0,1,1.75
Cameroonian Refugees in Nigeria,International displacement,NGA008,Nigeria,NGA,17.595,0,0.062,0,0,1.3,0.9964886447301353,0,0.003511355269864643,0,0,1,1.15
Socioeconomic crisis in Nicaragua,Political and economic crisis,NIC001,Nicaragua,NIC,x,x,x,0,0,x,x,x,x,0,0,x,x
Hurricane Eta and Iota in Nicaragua,Tropical cyclone,NIC002,Nicaragua,NIC,0.861,1.727,0.073,0,0,1.4,0.32356257046223225,0.6490041337842917,0.027433295753476136,0,0,2,1.7
Complex crisis in Pakistan,Complex crisis,PAK001,Pakistan,PAK,145.236,61.32,2.021,1.018,0,4.1,0.6929396833878833,0.292565626878632,0.009642451596896858,0.00485700926553241,0,2,3.05
Kashmir conflict in Pakistan,Conflict,PAK004,Pakistan,PAK,x,x,x,x,x,x,x,x,x,x,x,x,x
Venezuela displacement in Peru,International displacement,PER002,Peru,PER,0,0,1.31,0,0,3.5,0,0,0.08023027927486526,0,0,3,3.25
Multiple crises in the Philippines,Multiple crises country,PHL001,Philippines,PHL,79.969,8.531,1.134,0,0,3.4,0.9010185456430133,0.09611961151046713,0.012776888928949681,0,0,2,2.7
Mindanao conflict,Conflict,PHL003,Philippines,PHL,23.985,0,0.15,0,0,2,0.993743785217103,0,0.006214782896917468,0,0,1,1.5
Mindanao Earthquake,Earthquake,PHL004,Philippines,PHL,10.056,0,0.079,0,0,1.5,0.9923031379514505,0,0.007795539767120584,0,0,1,1.25
Typhoon Goni (Rolly) and Typhoon Vamco (Ulysses),Tropical cyclone,PHL009,Philippines,PHL,45.928,7.651,0.905,0,0,3.3,0.8429630717274796,0.14042654724322737,0.016610381029293003,0,0,2,2.65
Complex crisis in DPRK,Complex crisis,PRK001,DPRK,PRK,0,15.12,4.97,5.459,0,5,0,0.5917808219178082,0.19452054794520549,0.21365949119373778,0,4,4.5
Conflict in Palestine,Conflict,PSE002,Palestine,PSE,0,3,0.396,0.858,0.946,3.9,0,0.5769230769230769,0.07615384615384616,0.165,0.1819230769230769,5,4.45
Regional Boko Haram Crisis,Regional crisis,REG001,"Nigeria,Niger,Chad,Cameroon","NGA,NER,TCD,CMR",3.488,3.836,3.47,3.1,0.122,4.7,0.24884069344367554,0.27366768923450097,0.24755653848897766,0.22116001997574375,0.008703716915174431,4,4.35
Venezuela Regional Crisis,Regional crisis,REG002,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago","VEN,BRA,COL,ECU,PER,TTO",39.506,13.009,20.392,0.162,0,5,0.5406670407423121,0.17803719771722618,0.27907867905678196,0.0022170824836798093,0,3,4
Regional Kashmir conflict,Regional crisis,REG003,"India,Pakistan","IND,PAK",x,x,x,x,x,x,x,x,x,x,x,x,x
Syrian Regional Crisis,Regional crisis,REG004,"Syria,Turkey,Iraq,Egypt,Jordan,Lebanon","SYR,TUR,IRQ,EGY,JOR,LBN",52.097,11.215,5.979,10.025,0.794,5,0.6503264302387997,0.13999675442209988,0.07463580871063176,0.12514199403312987,0.009911495587262354,4,4.5
Eastern Mediterranean Route ,Regional crisis,REG006,"Turkey,Greece","TUR,GRC",x,x,x,x,x,x,x,x,x,x,x,x,x
Central Mediterranean Route,Regional crisis,REG007,"Algeria,Tunisia,Libya,Italy","DZA,TUN,LBY,ITA",x,x,x,x,x,x,x,x,x,x,x,x,x
Western Mediterranean Route,Regional crisis,REG008,"Algeria,Morocco,Spain","DZA,MAR,ESP",x,x,x,x,x,x,x,x,x,x,x,x,x
Rohingya Regional Crisis,Regional crisis,REG011,"Bangladesh,Myanmar","BGD,MMR",2.318,1.281,0.908,0.711,0,3.7,0.44423150632426217,0.24549635875814488,0.17401303181295516,0.1362591031046378,0,4,3.85
Southern Africa Regional Food Security Crisis,Regional crisis,REG012,"Lesotho,Madagascar,Malawi,Mozambique,Namibia,Eswatini,Zambia,Zimbabwe","LSO,MDG,MWI,MOZ,NAM,SWZ,ZMB,ZWE",24.031,22.683,11.272,1.56,0,5,0.40357034897390254,0.3809323884056024,0.18929902932186882,0.02619823329862627,0,3,4
Nagorno-Karabakh Conflict,Regional crisis,REG013,"Armenia,Azerbaijan","ARM,AZE",x,x,x,x,x,x,x,x,x,x,x,x,x
Burundi and DRC refugees in Rwanda,International displacement,RWA002,Rwanda,RWA,4.436,0,0.14,0,0,1.9,0.9694055944055944,0,0.030594405594405596,0,0,1,1.45
Complex crisis in Sudan,Complex crisis,SDN001,Sudan,SDN,16.4,17.3,4.4,1,3.9,4.9,0.38139534883720927,0.40232558139534885,0.10232558139534884,0.023255813953488372,0.09069767441860466,5,4.95
Refugees in Sudan,International displacement,SDN005,Sudan,SDN,0,0.226,0.4,0.5,0.2,3.4,0,0.17043740573152338,0.30165912518853694,0.3770739064856712,0.15082956259426847,5,4.2
Floods in Sudan ,Flood,SDN006,Sudan,SDN,42.14,0.81,0.05,0,0,1.2,0.98,0.018837209302325582,0.0011627906976744186,0,0,1,1.1
Refugees from Ethiopia,International displacement,SDN007,Sudan,SDN,4.956,0,0.907,0,0,3.3,0.8460225332878115,0,0.15483100034141345,0,0,3,3.15
Drought in Senegal,Drought,SEN002,Senegal,SEN,13.521,2.676,0.498,0.013,0,2.8,0.8092046202645281,0.16015321084445508,0.029804297085403077,0.0007780238194984738,0,2,2.4
Complex crisis in El Salvador,Complex crisis,SLV001,El Salvador,SLV,5.3,0.757,0.548,0.095,0,3,0.7910447761194029,0.11298507462686568,0.0817910447761194,0.014179104477611941,0,3,3
Complex crisis in Somalia,Complex crisis,SOM001,Somalia,SOM,7.213,3.01,1.705,0.4,0,3.9,0.5864227642276423,0.24471544715447155,0.13861788617886178,0.032520325203252036,0,3,3.45
