,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Multiple crises in Niger,"Conflict,Displacement",NER001,Niger,NER,9.399,0,1.756,1.385,0,4.2,0.7495215311004785,0,0.14003189792663476,0.11044657097288677,0,4,4.1
Lake Chad basin crisis in Niger,Conflict,NER002,Niger,NER,0.22,0,0.057,0.512,0,2.9,0.27918781725888325,0,0.07233502538071065,0.649746192893401,0,4,3.45
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,5.801,0,0.876,0.873,0,3.7,0.7683443708609271,0,0.11602649006622516,0.11562913907284768,0,4,3.85
Nigerian Refugees,Displacement,NER004,Niger,NER,3.379,0,0.823,0,0,3.2,0.8041408852927178,0,0.19585911470728223,0,0,3,3.1
Complex crisis in Nigeria,"Conflict,Displacement,Violence",NGA001,Nigeria,NGA,104.75,63.958,23.706,1.108,0,5,0.5411954348421363,0.3304417911373112,0.12247808093907095,0.00572453023202947,0,3,4
Middle belt conflict,Violence,NGA003,Nigeria,NGA,9.555,5.977,2.468,0,0,4,0.5308333333333334,0.33205555555555555,0.1371111111111111,0,0,3,3.5
Lake Chad basin crisis in Nigeria,"Conflict,Displacement",NGA004,Nigeria,NGA,2,5.8,5.9,2.2,0.2,4.9,0.12422360248447205,0.36024844720496896,0.36645962732919257,0.13664596273291926,0.012422360248447204,4,4.45
Northwest Banditry,"Violence,Displacement",NGA007,Nigeria,NGA,19.508,15.815,6.994,0.431,0,4.8,0.45634883503321794,0.3699588284832039,0.16360999344998597,0.010082343033592215,0,3,3.9
Cameroonian Refugees in Nigeria,Displacement,NGA008,Nigeria,NGA,12.568,0,0.107,x,x,1.7,0.9915581854043393,0,0.008441814595660749,x,x,1,1.35
Socioeconomic crisis in Nicaragua,Socio-political,NIC001,Nicaragua,NIC,6.948,0.25,0,0,0,0,0.9652681300361211,0.03473186996387886,0,0,0,1,0.5
Complex crisis in Pakistan,"Displacement,Conflict",PAK001,Pakistan,PAK,187.153,31.88,18.503,2.097,0,5,0.7809984434531138,0.13303676872550943,0.07721390626499688,0.008750881556379965,0,3,4
Kashmir conflict in Pakistan,Conflict,PAK004,Pakistan,PAK,4.361,x,x,x,x,x,1,x,x,x,x,x,x
Floods in Pakistan ,Other seasonal event,PAK005,Pakistan,PAK,0,12.4,20.57,0.03,0,5,0,0.37575757575757573,0.6233333333333333,0.0009090909090909091,0,3,4
Venezuela displacement in Panama,Displacement,PAN002,Panama,PAN,0,0.023,0.036,0,0,0.9,0,0.39655172413793105,0.6206896551724138,0,0,3,1.95
Venezuela displacement in Peru,Displacement,PER002,Peru,PER,19.429,13.571,1.05,x,x,3.4,0.5706020558002937,0.39856093979442,0.030837004405286344,x,x,2,2.7
Multiple crises in the Philippines,"Conflict,Cyclone,Violence,Floods,Other seasonal event",PHL001,Philippines,PHL,78.678,10.187,0.136,x,x,1.9,0.8840125391849529,0.11445938809676295,0.0015280727182840643,x,x,2,1.95
Mindanao conflict,"Conflict,Violence",PHL003,Philippines,PHL,26.12,0,0.133,x,x,1.9,0.9949718116714917,0,0.005066280664330337,x,x,1,1.45
Typhoon Nalgae,Cyclone,PHL012,Philippines,PHL,48.364,6.597,0.002,x,x,0,0.879921403100211,0.12002401571937996,3.638745360599665e-05,x,x,2,1
Southwest Monsoon and Typhoon Doksuri,"Floods,Cyclone",PHL014,Philippines,PHL,29.782,3.59,0.001,x,x,0,0.8923980463248734,0.10757198933269409,2.9964342432505318e-05,x,x,2,1
Highlands Violence,Earthquake,PNG003,Papua New Guinea,PNG,2.59,0,0.233,0.032,0,2.4,0.9071803852889667,0,0.08161120840630473,0.011208406304728547,0,3,2.7
Displacement from Ukraine conflict in Poland,"Displacement,Conflict",POL002,Poland,POL,37.562,0,0.96,x,x,3.3,0.9751044884608395,0,0.02492147140520755,x,x,1,2.15
Complex crisis in DPRK,"Socio-political,Floods,Other seasonal event,Food Security",PRK001,DPRK,PRK,0,15.254,4.97,5.459,0,5,0,0.5828366192877885,0.18989760048907228,0.20858169035610577,0,4,4.5
Conflict in Palestine,"Conflict,Socio-political,Violence",PSE002,Palestine,PSE,0.865,1.93,1.899,0.691,0.098,4,0.15776035017326281,0.35199708188947654,0.3463432427503192,0.1260258982308955,0.01787342695604596,4,4
Conflict in West Bank,"Conflict,Displacement,Socio-political,Violence",PSE003,Palestine,PSE,0.814,1.643,0.672,0.096,0.032,3.2,0.24992324224746698,0.5044519496469143,0.20632483880871968,0.02947497697267424,0.009824992324224747,3,3.1
Conflict in Gaza,"Conflict,Displacement,Socio-political,Violence",PSE004,Palestine,PSE,0.051,0.288,1.227,0.595,0.066,3.8,0.022900763358778626,0.1293219577907499,0.550965424337674,0.26717557251908397,0.029636281993713515,4,3.9
Lake Chad basin regional crisis,0,REG001,"Nigeria,Niger,Chad,Cameroon","NGA,NER,TCD,CMR",10.439,0,5.819,4.406,0.874,5,0.4846782431052094,0,0.27017364657814097,0.20456866932862847,0.04057944098802117,4,4.5
Venezuela Regional Crisis,0,REG002,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago,Chile,Dominican Republic,Panama","VEN,BRA,COL,ECU,PER,TTO,CHL,DOM,PAN",149.809,37.651,26.943,0,0,5,0.6987294894637177,0.17560936931558474,0.12566580535629332,0,0,3,4
Regional Kashmir conflict,0,REG003,"India,Pakistan","IND,PAK",19.36,x,x,x,x,x,1,x,x,x,x,x,x
Syrian Regional Crisis,0,REG004,"Syria,Türkiye,Iraq,Egypt,Jordan,Lebanon","SYR,TUR,IRQ,EGY,JOR,LBN",62.062,13.93,14.167,6.254,0.127,5,0.642863061943236,0.14429252123472136,0.14674746219183757,0.06478143774601201,0.0013155168841930806,4,4.5
Eastern Mediterranean Route ,0,REG006,"Türkiye,Greece","TUR,GRC",15.5,0.417,0.356,0.021,0,2.6,0.9512704062845219,0.02559224254326746,0.021848533202405793,0.001288817969804836,0,1,1.8
Central Mediterranean Route,0,REG007,"Algeria,Tunisia,Libya,Italy","DZA,TUN,LBY,ITA",70.543,0.562,0.849,x,x,3.2,0.9803902493259582,0.007810545626372405,0.011799205047669344,x,x,1,2.1
Western Mediterranean Route,0,REG008,"Algeria,Morocco,Spain","DZA,MAR,ESP",95.456,0,0.492,x,x,2.8,0.9948825914306857,0,0.0051278309900257436,x,x,1,1.9
Rohingya Regional Crisis,0,REG011,"Bangladesh,Myanmar","BGD,MMR",0,1.8,1.68,1.495,0,4.2,0,0.36180904522613067,0.33768844221105526,0.3005025125628141,0,4,4.1
Southern Africa Regional Food Security Crisis,0,REG012,"Lesotho,Madagascar,Malawi,Namibia,Eswatini,Zambia,Zimbabwe,Tanzania","LSO,MDG,MWI,NAM,SWZ,ZMB,ZWE,TZA",22.049,50.922,14.651,0.365,0,5,0.250590989680411,0.5787380097285993,0.1665113424557894,0.004148292949038505,0,3,4
Nagorno-Karabakh Conflict,0,REG013,"Armenia,Azerbaijan","ARM,AZE",10.071,0.295,0.172,0,0,2.1,0.9557748884881845,0.027996583467780202,0.01632343171680744,0,0,1,1.55
Eastern Africa Regional Drought Crisis,Drought,REG014,"Ethiopia,Somalia,Kenya","ETH,SOM,KEN",48.787,37.451,21.74,1.28,0,5,0.446534318167257,0.34277895237833733,0.198980385696111,0.011715496489927419,0,3,4
Turkiye / Syria earthquake,Earthquake,REG015,"Türkiye,Syria","TUR,SYR",9.1,14.723,3.177,0,0,4.2,0.337037037037037,0.5452962962962963,0.11766666666666667,0,0,3,3.6
Displacement from Ukraine conflict in Romania,"Conflict,Displacement",ROU002,Romania,ROU,18.957,0,0.085,x,x,1.5,0.9955361831740364,0,0.004463816825963659,x,x,1,1.25
Displacement from Ukraine conflict in Russia,"Conflict,Displacement",RUS002,Russia,RUS,143.556,0,1.275,x,x,3.5,0.9911966360792924,0,0.008803363920707583,x,x,1,2.25
Burundi and DRC refugees in Rwanda,Displacement,RWA002,Rwanda,RWA,2.382,0,0.136,x,x,1.9,0.9459888800635425,0,0.054011119936457505,x,x,3,2.45
Complex crisis in Sudan,"Displacement,Violence,Floods",SDN001,Sudan,SDN,0,25.117,10.485,8.97,5.228,5,0,0.5043574297188755,0.2105421686746988,0.18012048192771085,0.10497991967871485,5,5
Refugees in Sudan,Displacement,SDN005,Sudan,SDN,0,13.676,0.65,0.218,0.226,3.4,0,0.9259309410968178,0.044008124576844956,0.014759647935003384,0.015301286391333784,3,3.2
Violence in Darfur and Kordofan regions,Violence,SDN008,Sudan,SDN,0,6.238,2.223,7.08,2.232,5,0,0.3509818263658358,0.12507736454172058,0.39835705845946096,0.1255837506329826,5,5
