,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
COL001,0,0,0,0,0,0,0,0,0,0,0,168,168,168,168,168,168,168,163,168,16.8,,
COL002,0,0,0,0,0,0,0,0,0,0,0,168,168,168,168,168,168,168,163,168,16.8,,
CRI002,784,541,427,427,639,427,427,427,541,541,1085,156,156,156,156,156,156,156,156,156,509.7,,
DJI001,200,4,4,4,4,4,4,4,4,4,200,155,155,155,155,155,155,155,155,155,38.7,,
DJI002,200,4,4,4,4,4,4,4,4,4,267,155,155,155,155,155,155,155,155,155,45.4,,
DJI003,200,4,200,200,4,200,200,200,200,200,200,155,155,155,155,155,155,155,155,155,175.9,,
DOM002,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,,
DZA002,853,784,659,659,240,853,853,853,853,853,659,161,161,161,161,161,161,161,161,161,664.3,,
DZA003,784,1140,853,853,240,853,853,853,853,853,1140,161,161,161,161,161,161,161,161,161,751.2,,
DZA004,646,646,646,646,492,646,646,646,646,646,646,161,161,161,161,161,161,161,161,161,582.1,,
ECU002,784,42,42,426,639,42,42,42,42,42,1141,155,155,155,155,155,155,155,155,155,261.3,,
EGY002,701,366,240,276,240,240,240,276,276,276,1144,161,161,161,161,161,161,161,161,161,336.9,,
ERI001,540,861,426,426,426,487,487,487,487,487,1142,153,153,153,153,153,153,153,153,153,500.8,,
ESP002,427,427,275,275,275,275,275,275,275,275,1141,157,157,157,157,157,157,157,157,157,349.8,,
ETH001,288,288,288,3,3,288,288,288,288,288,288,51,51,51,51,51,51,51,51,51,207.3,,
ETH003,288,288,288,3,3,3,3,3,3,3,288,151,151,151,151,151,151,151,151,151,74.8,,
ETH004,137,137,137,3,3,94,94,94,94,94,137,151,151,151,151,151,151,151,151,151,90.1,,
ETH005,51,51,51,3,3,3,3,3,3,3,51,51,51,51,51,51,51,51,51,51,17.4,,
GRC002,1066,129,129,129,92,129,129,129,129,129,1150,162,162,162,162,162,162,162,162,162,230.7,,
GTM001,135,135,135,135,135,135,135,135,135,135,135,160,160,160,160,160,160,160,160,160,137.5,,
HND001,134,134,134,134,134,134,134,134,134,134,134,158,158,158,158,158,158,158,158,158,136.4,,
HTI001,1158,225,225,225,225,212,212,212,212,212,225,156,156,156,156,156,156,156,156,156,211.6,,
HTI002,225,213,212,225,223,223,223,223,223,223,225,156,156,156,156,156,156,156,156,156,215.6,,
HUN002,31,0,0,2,31,31,0,31,31,31,31,31,31,31,31,31,31,31,31,31,21.9,,
IDN002,792,792,792,23,16,23,101,23,101,101,975,157,157,157,157,157,157,157,157,157,231.2,,
IND002,428,428,428,428,16,428,428,428,428,428,855,158,158,158,158,158,158,158,158,158,402.5,,
IRN004,381,381,93,93,731,93,93,93,93,93,381,162,162,162,162,162,162,162,162,162,192.5,,
IRQ001,67,67,67,67,43,43,43,43,43,43,701,162,162,162,162,162,162,162,162,162,125.5,,
IRQ002,67,67,67,67,43,67,67,67,67,67,784,162,162,162,162,162,162,162,162,162,145.8,,
IRQ003,67,67,43,43,67,43,43,43,43,43,1140,162,162,162,162,162,162,162,162,162,167,,
ITA002,1140,275,275,275,275,275,275,275,275,275,1140,157,157,157,157,157,157,157,157,157,349.7,,
JOR002,275,275,49,49,486,49,49,49,49,49,636,162,162,162,162,162,162,162,162,162,162.7,,
KEN001,195,13,13,13,195,13,13,13,13,13,195,153,153,153,153,153,153,153,153,153,63.4,,
KEN002,195,13,13,13,195,13,13,13,13,13,195,153,153,153,153,153,153,153,153,153,63.4,,
KEN003,195,13,13,195,195,13,13,13,13,13,195,153,153,153,153,153,153,153,153,153,81.6,,
LBN002,232,232,45,45,519,45,45,45,45,45,664,162,162,162,162,162,162,162,162,162,166,,
