,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the total population affected,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Afghan Refugees in Iran,Displacement,IRN004,Iran,IRN,4,0.14764930662557782,0.7,2.35,4.6,0.2772187664027339,1.3,2.9499999999999997,2.7,3.6,0.18035692704346776,0.9,2.25,5,1,5,5,x,x,x,x,5,4
Multiple crises in Iraq,"Violence,Displacement,Socio-political,Conflict",IRQ001,Iraq,IRQ,4.3,0.8829469649504293,4.4,4.35,5,1,5,5,4.7,3.7,0.12542700467457749,0.6,2.15,5,1.188496685181867,5,5,4.1,0.00012488801290091382,5,4.6,4.8,3.8
Conflict  in Iraq,"Conflict,Socio-political,Violence",IRQ002,Iraq,IRQ,4.3,0.8829469649504293,4.4,4.35,5,0.9817062207838907,4.9,4.95,4.7,3.7,0.12133144086809212,0.6,2.15,5,1.129622641509434,5,5,4.1,0.00013150943396226416,5,4.6,4.8,3.8
Syrian and Palestinian refugees in iraq,Displacement,IRQ003,Iraq,IRQ,2.6,0.08292485165665425,0.3,1.45,2.7,0.14500179791441928,0.7,1.7000000000000002,1.6,2.2,0.10802851828890267,0.5,1.35,3.5,0.4031563845050215,5,4.3,0,0,0,0,2.8,2.1
Mixed migration flows in Italy,Displacement,ITA002,Italy,ITA,2.7,0.13883205902940987,0.6,1.6500000000000001,5,1,5,5,3.9,1.2,0.0027491175672006516,0,0.6,3.2,1,5,4.1,3.9,0.003203703703703704,5,4.5,4.3,2.9
Syrian refugees in Jordan,Displacement,JOR002,Jordan,JOR,2.7,0.45569520463094354,2.2,2.45,3.2,0.8035327734002944,4,3.6,3.1,2.9,0.19816810344827587,1,1.95,4.5,0.7172376291462752,5,4.8,1.4,4.893964110929853e-06,0.2,0.8,3.4,2.7
Multiple crisis in Kenya ,"Drought,Displacement",KEN001,Kenya,KEN,4.6,0.9551779878413045,4.8,4.699999999999999,4.9,0.528061405374743,2.6,3.75,4.3,4.9,0.9812346839437376,4.9,4.9,4,0.02288744440643175,0.8,2.4,4,2.27163872733493e-05,1.1,2.6,2.5,4
Refugee situation in Kenya,Displacement,KEN002,Kenya,KEN,2.6,0.06719612046245212,0.2,1.4000000000000001,0.2,0.020970715450613346,0.1,0.15000000000000002,0.8,2.2,0.5274725274725275,2.6,2.4000000000000004,4,1,5,4.5,x,x,x,x,4.5,3.7
Drought in Kenya,Drought,KEN003,Kenya,KEN,4.6,0.9551779878413045,4.8,4.699999999999999,4.9,0.5070906899241296,2.5,3.7,4.3,4.9,1,5,4.95,2.4,0.0015730965531706635,0.1,1.3,3.2,6.082640005593232e-06,0.3,1.8,1.6,3.8
Syrian refugees in Lebanon,Displacement,LBN002,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.5,1,5,3.75,3.6,3.8,1,5,4.4,4.5,0.2631578947368421,5,4.8,0.4,3.5087719298245616e-07,0,0.2,3.3,3.9
Socioeconomic crisis in Lebanon,"Socio-political,Violence,Tecnological Disaster",LBN004,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.5,1,5,3.75,3.6,3.8,1,5,4.4,4.7,0.33035087719298245,5,4.9,3.6,5.9298245614035085e-05,3,3.3,4.3,4.4
Complex crisis in Libya,"Conflict,Displacement,Socio-political",LBY001,Libya,LBY,5,1,5,5,2.8,1,5,3.9,4.5,3.9,1,5,4.45,4.6,0.23687247547605308,5,4.8,5,0.0007311021350259665,5,5,4.9,4.7
Mixed migration flows in Libya,Displacement,LBY002,Libya,LBY,5,1,5,5,2.8,1,5,3.9,4.5,2.3,0.11050201961915752,0.5,1.4,4.1,1,5,4.6,4.1,0.0009086161879895561,5,4.6,4.6,3.4
Storm Daniel and floods in Libya,"Floods,Other seasonal event",LBY003,Libya,LBY,3.1,0.038548143264716915,0.1,1.6,1,0.2899596076168494,1.4,1.2,1.4,2.4,0.43980099502487563,2.2,2.3,2.4,0.05090497737556561,1.7,2.1,5,0.004923076923076923,5,5,4,3.3
Multiple crises in Sri Lanka,"Socio-political,Food Security,Floods",LKA001,Sri Lanka,LKA,3,1.0136598771419334,5,4,4.5,1,5,4.75,4.4,3.9,0.31764759268502973,1.6,2.75,1.2,0.001,0,0.6,1,7.142857142857143e-07,0,0.5,0.6,1.8
Socio-economic crisis in Sri Lanka,"Socio-political,Food Security",LKA002,Sri Lanka,LKA,3,1.0136598771419334,5,4,4.5,1,5,4.75,4.4,3.9,0.31764759268502973,1.6,2.75,0,0,0,0,0,0,0,0,0,1.6
2023 Floods and Monsoon Rain,Floods,LKA003,Sri Lanka,LKA,2,0.2417070805043647,1.1,1.55,2.7,0.28397694786041655,1.4,2.05,1.8,1.5,0.039149888143176735,0.1,0.8,1.2,0.02857142857142857,1,1.1,1,2.0408163265306123e-05,1,1,1.1,1
Displacement from Russia-Ukraine conflict in Lithuania,"Conflict,Displacement",LTU002,Lithuania,LTU,3,1,5,4,1.5,1,5,3.25,3.7,0.4,0.018377253814147017,0,0.2,2.5,1,5,3.8,0,0,0,0,2.3,1.4
Displacement from Russia-Ukraine conflict in Latvia,"Conflict,Displacement",LVA002,Latvia,LVA,3,1,5,4,0.9,1,5,2.95,3.5,0.2,0.022880915236609463,0.1,0.15000000000000002,2.3,1,5,3.7,0,0,0,0,2.3,1.3
Multiple crises in Morocco,"Displacement,Earthquake",MAR001,Morocco,MAR,4.4,1,5,4.7,5,1,5,5,4.9,3.3,0.07410327158060702,0.3,1.7999999999999998,3.9,0.18439716312056736,5,4.5,5,0.001121631205673759,5,5,4.8,3.7
Mixed migration flows in Morocco,Displacement,MAR002,Morocco,MAR,4.4,1,5,4.7,5,1,5,5,4.9,0,0.0005255551175929575,0,0,1.9,1,5,3.5,3.2,0.00885,5,4.1,3.8,2.3
Al Haouz Earthquake in Morocco,Earthquake,MAR003,Morocco,MAR,2.9,0.11946224512659646,0.5,1.7,2.7,0.173433188805676,0.8,1.75,1.7,3.2,0.42424242424242425,2.1,2.6500000000000004,3.9,0.17857142857142858,5,4.5,5,0.0010521428571428572,5,5,4.8,4
DIsplacement from Russia-Ukraine conflict in Moldova,"Displacement,Conflict",MDA002,Moldova,MDA,2.5,1,5,3.75,1.4,1.0018832391713748,5,3.2,3.5,0.9,0.04360902255639098,0.2,0.55,2.9,1,5,4,0,0,0,0,2.5,1.6
Multiple crisis in Madagascar,"Drought,Cyclone",MDG001,Madagascar,MDG,3.9,0.4006428325885184,1.9,2.9,4,0.5267259855816068,2.6,3.3,3.1,4.4,0.8397657213316893,4.2,4.300000000000001,2.5,0.0038910505836575876,0.1,1.3,1.8,1.2480728287203582e-06,0.1,1,1.2,3.1
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,3.6,0.2573942935716741,1.2,2.4,3,0.2511203481197636,1.2,2.1,2.3,3.7,0.6639079270658218,3.3,3.5,1.3,0.0015582391897156214,0.1,0.7,0,0,0,0,0.4,2.2
Tropical cyclone Freddy in Madagascar,Cyclone,MDG008,Madagascar,MDG,3.9,0.4006428325885184,1.9,2.9,3.1,0.2756056374618432,1.3,2.2,2.6,4,1,5,4.5,2.4,0.005302226935312832,0.2,1.3,1.8,2.0030635088959585e-06,0.1,1,1.2,3.3
Multiple crisis in Mexico,"Violence,Displacement",MEX001,Mexico,MEX,5,1,5,5,5,1,5,5,5,2.1,0.0047606349604718285,0,1.05,4,1,5,4.5,5,0.005556836902800659,5,5,4.8,3.5
Criminal Violence in Mexico,"Violence,Displacement",MEX002,Mexico,MEX,5,1,5,5,5,0.9287081189609738,4.6,4.8,4.9,1.8,0.003200635060043576,0,0.9,3.7,1,5,4.4,5,0.008124010554089709,5,5,4.7,3.4
Mixed Migration in Mexico,Displacement,MEX003,Mexico,MEX,5,0.5966979603384861,2.9,3.95,5,0.4542994729577111,2.2,3.6,3.8,1.4,0.003936124298662063,0,0.7,3.4,1,5,4.2,1,2.1929824561403507e-05,1.1,1.1,3,2
Complex crisis in Mali,Conflict,MLI001,Mali,MLI,5,1.0163908899433696,5,5,4.5,1,5,4.75,4.9,4.4,0.5944700460829493,3,3.7,4.6,0.12100775193798449,4,4.3,4.9,0.00019325581395348838,5,5,4.7,4.3
