,,,,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected,,,
Tibesti Conflict in Chad,Conflict,TCD006,Chad,TCD,0,0.02,0.011,0.006,0.001,0.4,0,0.5263157894736842,0.2894736842105263,0.15789473684210525,0.02631578947368421,4,2.2,,,
Multiple situations in Thailand,Multiple crises country,THA001,Thailand,THA,3.458,0,0.091,0,0,1.6,0.9743589743589743,0,0.02564102564102564,0,0,1,1.3,,,
Conflict in southern Thailand ,Conflict,THA002,Thailand,THA,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
Myanmar refugees in Thailand,International displacement,THA003,Thailand,THA,0,0,0.091,0,0,1.6,0,0,1,0,0,3,2.3,,,
Venezuelan refugees in Trinidad and Tobago,International displacement,TTO002,Trinidad and Tobago,TTO,1.395,0,0.06,0,0,1.3,0.9620689655172414,0,0.041379310344827586,0,0,1,1.15,,,
Mixed migration flows in Tunisia,International displacement,TUN002,Tunisia,TUN,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
Complex situation in Turkey,Multiple crises country,TUR001,Turkey,TUR,38.034,10.144,1.681,0.741,0,4,0.7516600790513834,0.20047430830039525,0.033221343873517786,0.014644268774703557,0,2,3,,,
Syrian Refugees in Turkey,International displacement,TUR002,Turkey,TUR,23.922,10.144,1.681,0.411,0,3.9,0.6615963272304884,0.28054649040323026,0.04649040323026716,0.01136677913601416,0,3,3.45,,,
Mixed Migration Flows in Turkey,International displacement,TUR003,Turkey,TUR,25.06,10.144,1.681,0.741,0,4,0.6660288098655185,0.26960080795194813,0.04467655344708446,0.019693828735448893,0,3,3.5,,,
Kurdish Conflict,Conflict,TUR004,Turkey,TUR,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
International Displacement in Tanzania,International displacement,TZA002,Tanzania,TZA,0,11.147,0.246,0,0,2.3,0,0.9784077942596331,0.021592205740366893,0,0,2,2.15,,,
International Displacement in Uganda,International displacement,UGA005,Uganda,UGA,6.147,0,1.504,0,0,3.6,0.8034243889687622,0,0.19657561103123775,0,0,3,3.3,,,
Conflict in Ukraine,Conflict,UKR002,Ukraine,UKR,0.909,2,1.7,1.7,0,4.2,0.14407988587731813,0.3170074496750674,0.26945633222380727,0.26945633222380727,0,4,4.1,,,
Complex crisis in Venezuela,Complex crisis,VEN001,Venezuela,VEN,0,12.61,14.803,0,0,5,0,0.46001751057930834,0.5400189697942507,0,0,3,4,,,
Conflict in Yemen,Complex crisis,YEM001,Yemen,YEM,3.6,6.4,8.4,8.9,3.4,5,0.11726384364820847,0.20846905537459284,0.2736156351791531,0.2899022801302932,0.11074918566775244,5,5,,,
Mixed migration flows in Yemen,International displacement,YEM002,Yemen,YEM,3.6,6.4,8.4,8.9,3.4,5,0.11726384364820847,0.20846905537459284,0.2736156351791531,0.2899022801302932,0.11074918566775244,5,5,,,
Drought in Zambia,Drought,ZMB002,Zambia,ZMB,5.421,5.185,1.575,0,0,3.7,0.4450373532550694,0.4256629176586487,0.12929972908628193,0,0,3,3.35,,,
Complex crisis in Zimbabwe,Complex crisis,ZWE001,Zimbabwe,ZWE,5.851,2.706,6.05,0.95,0,4.7,0.37610079064086904,0.17394099119367487,0.3888924599858585,0.061065758179597605,0,4,4.35,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
