Crisis,DRIVERS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
0,,,,,sq. Km,Number,Number,Number,Number,,Number,Number,Number,Number,million USD,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,
Drought in Senegal,Drought,SEN002,Senegal,SEN,196712,18276000,5847000,4000,0,0,15,0,0,#N/A,x,12429000,4971000,846000,30000,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Complex crisis in El Salvador,"Displacement,Violence,Floods,Drought",SLV001,El Salvador,SLV,20720,6300000,3200000,176000,x,1269,232,x,x,#N/A,977450,3100000,2100000,1100000,0,0,3,x,x,0.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0
Complex crisis in Somalia,"Conflict,Displacement,Floods,Drought",SOM001,Somalia,SOM,627340,16955000,16955000,4653000,114,1800000,6137,x,x,#N/A,x,0,8710000,4150000,2578000,1517000,5,x,x,1.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0
Mixed Migration Flows in Somalia,Displacement,SOM002,Somalia,SOM,98924,2694000,35000,35000,x,x,4,0,0,#N/A,0,2659000,0,35000,0,0,1,x,x,1.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0
Complex crisis in South Sudan,"Conflict,Floods,Displacement",SSD001,South Sudan,SSD,644329,12777000,12777000,5371000,x,2764424,771,x,x,#N/A,14369,0,3370000,1410000,7896000,94000,5,x,1500000,2.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0
2022 seasonal floods in South Sudan,Floods,SSD003,South Sudan,SSD,601297,11643000,1000000,182000,x,x,62,x,x,#N/A,x,10643000,0,1000000,0,0,5,x,x,2.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0
Displacement from Ukraine conflict in Slovakia,"Displacement,Conflict",SVK002,Slovakia,SVK,15700,1680000,109000,109000,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,1571000,0,109000,0,0,2,#N/A,#N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food Security Crisis in Eswatini,Drought,SWZ001,Eswatini,SWZ,17200,1174000,697000,0,0,0,0,#N/A,#N/A,#N/A,#N/A,477000,438000,222000,37000,0,1,#N/A,#N/A,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Syrian conflict,"Conflict,Displacement,Violence",SYR001,Syria,SYR,185180,18523000,18523000,16749000,x,x,2556,x,x,#N/A,x,0,3963000,9600000,4900000,60000,5,x,1160000,1.0,3.0,2.0,0.0,3.0,2.0,3.0,2.0,3.0
Türkiye / Syria earthquake in Syria,Earthquake,SYR002,Syria,SYR,57285,11637000,6262000,172000,9949,x,8500,550,1570,#N/A,x,5375000,6262000,x,x,x,5,x,x,1.0,3.0,2.0,3.0,0.0,2.0,3.0,2.0,3.0
