,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
International Refugees in Malaysia,Displacement,MYS001,Malaysia,MYS,1.6,0.028020088266626084,0,0.8,3.3,0.3086193185293938,1.5,2.4,1.7,4.2,1,5,4.6,3.2,0.01823587710604559,0.6,1.9,0,0,0,0,1,3.3
Food Security Crisis in Namibia,Drought,NAM002,Namibia,NAM,4.9,1,5,4.95,1.4,0.9849420849420849,4.9,3.1500000000000004,4.2,2.8,0.622108976871815,3.1,2.95,0,0,0,0,0,0,0,0,0,1.7
Multiple crises in Niger,"Conflict,Displacement",NER001,Niger,NER,5,1.0002368358727403,5,5,4.7,1,5,4.85,4.9,4.2,0.38076923076923075,1.9,3.05,4.1,0.0708080808080808,2.4,3.3,3.7,3.6666666666666666e-05,1.8,2.8,3.1,3.1
Boko Haram in Niger,Conflict,NER002,Niger,NER,3.7,0.12386989816057473,0.5,2.1,0,0.02519230769230769,0.1,0.05,1.2,2.2,1,5,3.6,3.6,0.4870229007633588,5,4.3,3,0.0001816793893129771,5,4,4.2,3.9
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,3.9,0.1662587826636141,0.7,2.3,2.6,0.2326923076923077,1.1,1.85,2.1,3.1,0.39834710743801655,2,2.55,3.6,0.12738589211618256,4.2,3.9,3.4,0.00010539419087136929,5,4.2,4.1,3.4
Nigerian Refugees,Displacement,NER004,Niger,NER,1.6,0.006801926265098287,0,0.8,2.1,0.16765384615384615,0.8,1.4500000000000002,1.1,2.5,0.21954576737783896,1.1,1.8,2.6,0.06792058516196448,2.3,2.5,2,2.5078369905956112e-05,1.3,1.7,2.1,2
Complex crisis in Nigeria,"Conflict,Displacement,Violence",NGA001,Nigeria,NGA,4.9,1,5,4.95,5,1,5,5,5,4.8,0.10269284674313861,0.5,2.65,5,0.24468883883220705,5,5,5,0.00020480544145576608,5,5,5,4.1
Middle belt conflict,Violence,NGA003,Nigeria,NGA,3.6,0.15697047553169297,0.7,2.15,4,0.07044853564835603,0.3,2.15,2.2,3.1,0.13913211434457892,0.7,1.9,3.9,0.24109208699676077,5,4.5,3.7,0.0001772327626099028,5,4.4,4.5,3.5
Boko Haram crisis in Nigeria,"Conflict,Displacement",NGA004,Nigeria,NGA,3.7,0.17338954950206967,0.8,2.25,4,0.07073428492377752,0.3,2.15,2.2,4.5,1,5,4.75,5,0.27643475472907986,5,5,4.6,0.00010663674254568773,5,4.8,4.9,4.8
Northwest Banditry,"Violence,Displacement",NGA007,Nigeria,NGA,4,0.26099673902302445,1.2,2.6,5,0.18837227234173798,0.9,2.95,2.8,3.6,0.1151669836989237,0.5,2.05,4,0.1264896508467489,4.2,4.1,4.6,0.00036901526238762285,5,4.8,4.5,3.5
