,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Empowerment,BTI - Democracy Status,Trust in society,Ethnic Fractionalisation,size of excluded ethnic groups,Ethnic fractionalisation,Gender Inequality,Income Gini coefficient,Inequality,Social cohesion,Conflict Intensity,Total killed in all crisis,Safety and security,Corruption Perception,Rule of Law (WGI),Rule of Law (BTI),Freedom in the World,Rule of Law,Society and safety,# of different types of affected population groups,Diversity of groups affected,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Access of Humanitarian Actors to Affected Populations,Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Access of People in need to Aid,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Physical and Security Constraints,Humanitarian access,Operating environment
Multiple crises in Myanmar,Multiple crises country,MMR001,Myanmar,MMR,5,3.4,4.2,2.6,3,2.8,3.1,0.7,1.9,2.966666666666667,5,5,5,3.6,3.6,3.6,3.5,3.6,3.9,4,4,2,3,2,3,5,2,2,4,3,1,3,5,5,4.5
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,5,3.4,4.2,2.6,3,2.8,3.1,0.7,1.9,2.966666666666667,5,5,5,3.6,3.6,3.6,3.5,3.6,3.9,4,4,2,3,2,3,5,2,2,4,3,1,3,5,5,4.5
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,5,3.4,4.2,2.6,3,2.8,3.1,0.7,1.9,2.966666666666667,5,5,5,3.6,3.6,3.6,3.5,3.6,3.9,3,3,2,3,2,3,5,2,2,4,3,1,3,5,5,4
Post-coup conflict in Myanmar,Conflict,MMR004,Myanmar,MMR,5,3.4,4.2,2.6,3,2.8,3.1,0.7,1.9,2.966666666666667,5,5,5,3.6,3.6,3.6,3.5,3.6,3.9,3,3,2,3,2,3,5,2,2,4,3,1,3,5,5,4
Multiple Crises in Mozambique,Multiple crises country,MOZ001,Mozambique,MOZ,2.5,2.8,2.65,4.5,1.7,3.1,3.8,3.6,3.7,3.15,5,3.9,4.45,3.7,3.5,3.5,2.8,3.4,3.7,5,5,1,1,1,0,2,0,2,2,1,1,3,4,3,4
Cabo Delgado Islamist Insurgency,Other type of violence,MOZ004,Mozambique,MOZ,2.5,2.8,2.65,4.5,1.7,3.1,3.8,3.6,3.7,3.15,5,3.9,4.45,3.7,3.5,3.5,2.8,3.4,3.7,3,3,1,1,1,0,2,0,2,2,1,1,3,4,3,3
2022 Tropical Cyclone Seasons in Mozambique,Tropical cyclone,MOZ008,Mozambique,MOZ,2.5,2.8,2.65,4.5,1.7,3.1,3.8,3.6,3.7,3.15,5,3.9,4.45,3.7,3.5,3.5,2.8,3.4,3.7,4,4,1,1,0,0,2,0,1,1,0,1,3,3,2,3
Refugees from Mali in Mauritania,International displacement,MRT002,Mauritania,MRT,3.2,2.9,3.05,3.3,0,1.65,4.1,1,2.55,2.4166666666666665,2,0,1,3.6,3.1,3,3.3,3.3,2.2,2,2,0,0,0,0,0,0,0,0,0,2,0,2,1,1.5
Food Security in Mauritania,Drought,MRT003,Mauritania,MRT,3.2,2.9,3.05,3.3,0,1.65,4.1,1,2.55,2.4166666666666665,2,0,1,3.6,3.1,3,3.3,3.3,2.2,2,2,0,0,0,0,0,0,0,0,0,2,0,2,1,1.5
Complex crisis in Malawi,Complex crisis,MWI002,Malawi,MWI,1.4,1.8,1.6,3,0,1.5,4.1,2.5,3.3,2.1333333333333333,0,2.7,1.35,3.5,2.8,2.3,1.9,2.6,2,2,2,2,0,0,0,2,2,0,2,0,0,3,3,2,2
