Crisis,DRIVERS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
0,,,,,sq. Km,Number,Number,Number,Number,,Number,Number,Number,Number,million USD,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,
Complex crisis in Sudan,"Displacement,Violence,Floods",SDN001,Sudan,SDN,1840687,49800000,29300000,6823000,4000,x,1085,48200,24800,#N/A,14851,20500000,13500000,10200000,5500000,100000,5,x,x,2.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0
Refugees in Sudan,Displacement,SDN005,Sudan,SDN,89263,14770000,14770000,1144000,x,x,11,x,x,#N/A,x,0,13626000,1144000,0,0,2,#N/A,#N/A,2.0,3.0,3.0,0.0,1.0,2.0,3.0,1.0,3.0
Violence in Darfur and Kordofan regions,Violence,SDN008,Sudan,SDN,880145,17139000,17139000,94000,0,0,685,55,0,#N/A,0,0,9299000,3730000,4110000,0,2,0,0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0
Drought in Senegal,Drought,SEN002,Senegal,SEN,196712,17876000,3758000,4000,0,0,15,0,0,#N/A,x,14118000,3078000,672000,8000,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Complex crisis in El Salvador,"Displacement,Violence,Floods,Drought",SLV001,El Salvador,SLV,20720,6300000,3200000,73000,x,1269,108,977450,x,#N/A,x,3100000,2100000,1100000,0,0,3,x,x,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0
Complex crisis in Somalia,"Conflict,Displacement,Floods,Drought",SOM001,Somalia,SOM,627340,18085000,18085000,6234000,608,1800000,47538,x,x,#N/A,x,0,9817000,4150000,2578000,1517000,5,x,x,2.0,3.0,2.0,0.0,2.0,2.0,3.0,2.0,3.0
Mixed Migration Flows in Somalia,Displacement,SOM002,Somalia,SOM,98924,2694000,35000,35000,x,x,1,0,0,#N/A,0,2659000,0,35000,0,0,1,x,x,2.0,3.0,2.0,0.0,2.0,2.0,3.0,2.0,3.0
Complex crisis in South Sudan,"Conflict,Floods,Displacement",SSD001,South Sudan,SSD,644329,12777000,12777000,9080000,x,2141832,1036,x,x,#N/A,14369,0,3370000,1410000,7896000,94000,5,x,1500000,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0
Displacement from Ukraine conflict in Slovakia,"Displacement,Conflict",SVK002,Slovakia,SVK,15700,1687000,117000,117000,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,1571000,0,117000,0,0,2,#N/A,#N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food Security Crisis in Eswatini,Drought,SWZ001,Eswatini,SWZ,17200,1174000,697000,0,0,0,0,#N/A,#N/A,#N/A,#N/A,477000,438000,222000,37000,0,1,#N/A,#N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Syrian conflict,"Conflict,Displacement,Violence",SYR001,Syria,SYR,185180,18523000,18523000,18024000,x,x,2552,x,x,#N/A,x,0,3963000,9600000,4900000,60000,5,x,1160000,2.0,3.0,3.0,0.0,2.0,3.0,3.0,2.0,3.0
Türkiye / Syria earthquake in Syria,Earthquake,SYR002,Syria,SYR,57285,11637000,6000000,500000,10400,x,7259,10000,10600,#N/A,x,5637000,5423000,577000,0,0,5,x,x,2.0,3.0,3.0,0.0,2.0,3.0,3.0,2.0,3.0
Complex crisis in Chad,"Conflict,Displacement",TCD001,Chad,TCD,1259200,16797000,7607000,1083000,x,x,285,x,x,#N/A,x,9175000,1207000,715000,1910000,3525000,5,x,x,1.0,3.0,1.0,0.0,0.0,3.0,3.0,2.0,3.0
Lake Chad basin crisis,Conflict,TCD003,Chad,TCD,19915,1104000,827000,405000,x,x,54,x,x,#N/A,x,277000,0,0,0,827000,5,x,x,1.0,3.0,1.0,0.0,0.0,3.0,3.0,2.0,3.0
CAR refugees in Chad,Displacement,TCD004,Chad,TCD,154623,3187000,1248000,125000,x,x,30,x,0,#N/A,x,1939000,0,0,0,1248000,3,x,x,1.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0
Darfur refugees in Chad,Displacement,TCD005,Chad,TCD,205671,2448000,1281000,406000,x,x,11,x,0,#N/A,x,1167000,0,0,631000,650000,3,x,x,1.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0
Multiple situations in Thailand,"Conflict,Displacement",THA001,Thailand,THA,30342,3800000,91000,91000,x,x,17,x,x,#N/A,x,3709000,0,91000,0,0,2,x,x,1.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0
Conflict in southern Thailand ,Conflict,THA002,Thailand,THA,18330,3458000,x,x,x,x,17,x,x,#N/A,x,3458000,x,x,x,x,1,x,x,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Myanmar refugees in Thailand,Conflict,THA003,Thailand,THA,12012,342000,91000,91000,0,x,0,x,x,#N/A,x,252000,0,91000,0,0,1,x,x,1.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0
Venezuelan refugees in Trinidad and Tobago,Displacement,TTO002,Trinidad and Tobago,TTO,5130,1526000,212000,34000,x,x,167,x,x,#N/A,x,1314000,174000,38000,0,0,3,x,x,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0
Mixed migration flows in Tunisia,Displacement,TUN002,Tunisia,TUN,163610,12448000,11000,11000,x,x,1005,0,0,#N/A,x,12437000,0,11000,0,0,4,x,x,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0
Complex situation in Türkiye,"Displacement,Conflict",TUR001,Türkiye,TUR,373091,86757000,29857000,7657000,x,x,50585,x,x,#N/A,x,56900000,26945000,2499000,413000,0,4,x,x,1.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,3.0
Syrian Refugees in Türkiye,Displacement,TUR002,Türkiye,TUR,132028,36158000,11927000,3427000,x,x,x,0,0,#N/A,x,24231000,10008000,1542000,377000,0,2,x,x,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0
Mixed Migration Flows in Türkiye,Displacement,TUR003,Türkiye,TUR,177504,37626000,8830000,330000,x,x,186,0,0,#N/A,x,28796000,8645000,149000,36000,0,2,x,x,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
Kurdish Conflict,Conflict,TUR004,Türkiye,TUR,195587,12974000,x,1200000,x,x,x,x,x,#N/A,x,x,x,x,x,x,3,x,x,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Türkiye / Syria earthquake in Türkiye,Earthquake,TUR005,Türkiye,TUR,100051,13310000,9100000,2700000,107204,x,50399,214000,x,#N/A,x,4210000,8292000,808000,0,0,3,x,x,1.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,3.0
Multiple Crises in Tanzania,"Displacement,Drought",TZA001,Tanzania,TZA,441435,25778000,19764000,247000,x,x,3,x,x,#N/A,x,6014000,18527000,1237000,0,0,2,x,x,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
International Displacement in Tanzania,Displacement,TZA002,Tanzania,TZA,187103,15015000,15015000,247000,0,x,3,x,x,#N/A,x,0,14768000,247000,0,0,2,x,x,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
Food Security Crisis in North-East Tanzania,Drought,TZA003,Tanzania,TZA,357159,10763000,4749000,x,x,x,0,x,x,#N/A,x,6014000,3759000,990000,0,0,2,x,x,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
International Displacement in Uganda,Displacement,UGA005,Uganda,UGA,26513,7797000,1536000,1536000,x,x,x,x,x,#N/A,x,6261000,0,1536000,0,0,2,#N/A,#N/A,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0
Conflict in Ukraine,"Conflict,Displacement",UKR002,Ukraine,UKR,603628,36468000,17542000,19089000,14441,x,8574,x,x,#N/A,x,18926000,0,11402000,1403000,4736000,2,x,x,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0
