,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
POL002,36,14,14,14,14,14,36,14,36,36,36,189,189,189,189,189,189,189,189,189,40.3,,
PRK001,1165,275,275,68,1,275,275,397,458,458,1950,186,186,186,186,186,186,186,186,186,434.3,,
PSE002,0,0,0,0,0,0,0,0,0,0,0,186,186,186,186,186,186,186,186,186,18.6,,
PSE003,0,0,0,0,0,0,0,0,0,0,0,186,186,186,186,186,186,186,186,186,18.6,,
PSE004,0,0,0,0,0,0,0,0,0,0,0,186,186,186,186,186,186,186,186,186,18.6,,
REG001,330,330,330,0,0,330,330,330,330,330,0,184,184,184,184,184,184,184,184,184,216.4,,
REG002,641,641,641,641,641,641,641,641,641,809,641,185,185,185,185,185,185,185,185,185,612.2,,
REG004,0,0,0,0,0,0,0,0,0,0,1837,186,186,186,186,186,186,186,186,186,202.3,,
REG006,0,0,0,0,0,0,0,0,0,0,0,186,186,186,186,186,186,186,186,186,18.6,,
REG007,1,1,1,1,1,1,1,1,1,1,642,186,186,186,186,186,186,186,186,186,83.6,,
REG008,1,1,1,1,1,1,1,1,1,1,642,186,186,186,186,186,186,186,186,186,83.6,,
REG011,3,3,3,3,3,3,3,3,3,3,3,186,186,186,186,186,186,186,186,186,21.3,,
REG012,0,0,0,0,0,0,0,0,0,0,0,186,186,186,186,186,186,186,186,186,18.6,,
REG013,152,61,61,61,61,61,61,61,61,61,308,186,186,186,186,186,186,186,186,186,98.2,,
REG014,1,1,1,1,0,0,0,0,0,0,821,185,185,185,185,185,185,185,185,185,100.8,,
REG015,338,338,338,183,183,183,183,183,183,183,338,186,186,186,186,186,186,186,186,186,214.3,,
ROU002,36,14,14,14,14,14,36,14,36,36,36,189,189,189,189,189,189,189,189,189,40.3,,
RUS002,36,14,14,14,14,14,36,14,36,36,36,190,190,190,190,190,190,190,190,190,40.4,,
RWA002,1,1,1,1,1,1,1,1,1,1,1,186,186,186,186,186,186,186,186,186,19.5,,
SDN001,0,0,0,0,0,0,0,0,0,0,0,193,193,193,193,193,193,193,193,193,19.3,,
