,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the total population affected,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Northern Ethiopia Conflict,"Conflict,Displacement",ETH004,Ethiopia,ETH,4.1,0.2689488913992408,1.3,2.6999999999999997,5,0.23689682091871045,1.1,3.05,2.9,5,1,5,5,4.9,0.08483147900420894,2.8,3.9,4.8,6.936604783190316e-05,3.5,4.2,4.1,4.6
Drought in Ethiopia,Drought,ETH005,Ethiopia,ETH,5,0.8866750377224726,4.4,4.7,5,0.7313819303276471,3.6,4.3,4.5,5,1,5,5,4.2,0.009511329049712547,0.3,2.3,2,2.536354413256679e-07,0,1,1.7,3.9
Mixed migration flows in Greece,Displacement,GRC002,Greece,GRC,1.7,0.07584173778122576,0.3,1,0,0.06233816054473962,0.3,0.15,0.6,1.3,0.2876923076923077,1.4,1.35,3.2,1,5,4.1,1.4,4.8128342245989304e-05,2.4,1.9,3.2,2.4
Complex crisis in Guatemala,"Violence,Socio-political,Other seasonal event",GTM001,Guatemala,GTM,3.4,1,5,4.2,4.2,1,5,4.6,4.4,4.2,0.56,2.8,3.5,2.9,0.01065340909090909,0.4,1.7,3.1,1.5117694805194805e-05,0.8,2,1.9,2.8
Complex crisis in Honduras,"Violence,Socio-political,Other seasonal event",HND001,Honduras,HND,3.4,1,5,4.2,3.3,1,5,4.15,4.2,3.7,0.5677783478707029,2.8,3.25,4.1,0.1362732694740647,4.5,4.3,3.4,4.319537321525393e-05,2.2,2.8,3.7,3.5
Complex crisis in Haiti,"Earthquake,Violence,Socio-political,Other seasonal event",HTI001,Haiti,HTI,2.4,1,5,3.7,3.6,1,5,4.3,4,4.1,0.74,3.7,3.9,3.6,0.04077154077154077,1.4,2.5,4.2,0.00010695310695310695,5,4.6,3.8,3.9
Displacement from Russia-Ukraine conflict in Hungary,"Conflict,Displacement",HUN002,Hungary,HUN,3.3,1.0192088538242385,5,4.15,3.3,1,5,4.15,4.2,0.5,0.006081220366934653,0,0.25,2.5,1,5,3.8,0,0,0,0,2.3,1.4
Papua Conflict,"Socio-political,Violence",IDN002,Indonesia,IDN,4.4,0.22297417433729155,1,2.7,2.5,0.020124864458778816,0.1,1.3,2.1,3.7,1,5,4.35,2.9,0.018389113644722323,0.6,1.8,2.6,1.2136815005516734e-05,0.6,1.6,1.7,3.3
Afghan Refugees in Iran,Displacement,IRN004,Iran,IRN,4,0.14764930662557782,0.7,2.35,4.6,0.2772187664027339,1.3,2.9499999999999997,2.7,3.6,0.18035692704346776,0.9,2.25,5,1,5,5,x,x,x,x,5,4
Multiple crises in Iraq,"Violence,Displacement,Socio-political,Conflict",IRQ001,Iraq,IRQ,4.3,0.8829423580142263,4.4,4.35,5,0.9882236605537577,4.9,4.95,4.7,4,0.16992631674702083,0.8,2.4,5,0.8379282655246253,5,5,3.9,7.722162740899357e-05,3.9,3.9,4.5,3.7
Conflict  in Iraq,"Conflict,Socio-political,Violence",IRQ002,Iraq,IRQ,4.3,0.8829423580142263,4.4,4.35,5,0.9817062207838907,4.9,4.95,4.7,3.8,0.13669245913648642,0.6,2.1999999999999997,5,1,5,5,3.9,9.663372969351867e-05,4.8,4.4,4.7,3.7
Syrian and Palestinian refugees in iraq,Displacement,IRQ003,Iraq,IRQ,2.6,0.08292485165665425,0.3,1.45,2.7,0.14520406328658755,0.7,1.7000000000000002,1.6,2.8,0.23231697879585203,1.1,1.95,3.5,0.1932045303131246,5,4.3,0,0,0,0,2.8,2.4
Mixed migration flows in Italy,Displacement,ITA002,Italy,ITA,2.7,0.13883205902940987,0.6,1.6500000000000001,5,1,5,5,3.9,1.2,0.003014613209796641,0,0.6,x,x,x,x,4.2,0.004903954802259887,5,4.6,4.6,3.2
Syrian refugees in Jordan,Displacement,JOR002,Jordan,JOR,2.7,0.45569520463094354,2.2,2.45,3.2,0.08027612217887388,0.4,1.8,2.1,2.9,0.19827586206896552,1,1.95,4.5,0.717391304347826,5,4.8,0,0,0,0,3.2,2.6
Multiple crisis in Kenya ,"Drought,Displacement",KEN001,Kenya,KEN,4.6,0.9551779878413045,4.8,4.699999999999999,4.9,0.5294272941673414,2.6,3.75,4.3,5,0.9814168411954389,4.9,4.95,4.3,0.03563444211096809,1.2,2.8,4,2.2491701104261227e-05,1.1,2.6,2.7,4.1
