,,,,,,,,,,,,,,,,,,,,,
CRISIS,Website name,CRISIS ID,COUNTRY,ISO3,TYPE OF CRISIS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical Impact,Human Impact,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Weights,,,,,,,,,,,,,,,,,0.3,,,,
(a-z),,,,(a-z),,(1-5),(1-5),(Very Low-Very High),(Decreasing-Stable-Increasing),(Very Low-Very High),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),,
Refugee situation in Kenya,Refugee situation,KEN002,Kenya,KEN,International displacement,2.6,3,Medium,Decreasing,Medium,2.8,1.9,3.2,2.9,2.8,3,2.1,3,1,Africa,2020-07-02 00:00:00
Drought in Kenya,Drought,KEN003,Kenya,KEN,Drought,2.8,3,Medium,Decreasing,Low,3.6,4.9,2.6,2.65,3.3,2,2.3,3,1.5,Africa,2020-10-07 00:00:00
Flooding and Landslides in Kenya,Flooding and Landslides,KEN005,Kenya,KEN,Flood,2.2,3,Medium,Stable,Medium,3.1,4.4,2.2,1.4,1.8,1,2.5,3,2,Africa,2020-07-02 00:00:00
Syrian refugees in Lebanon,Syrian refugees,LBN002,Lebanon,LBN,International displacement,3.2,4,High,Increasing,High,3.2,3.6,3,3.5,3,4,2.7,2.8,2.5,Middle east,2020-10-28 00:00:00
Socioeconomic crisis in Lebanon,Socioeconomic crisis,LBN004,Lebanon,LBN,Political and economic crisis,3.5,4,High,Increasing,Medium,2.6,3.6,2,4.15,4.3,4,2.9,2.8,3,Middle east,2020-10-28 00:00:00
Explosion in Beirut,Beirut Explosion,LBN005,Lebanon,LBN,Industrial Accidents,3.2,4,High,-,High,3.3,1,4,3.15,3.3,3,3.2,2.8,3.5,Middle east,2020-10-28 00:00:00
Drought in Lesotho,Drought,LSO002,Lesotho,LSO,Drought,2.5,3,Medium,Decreasing,High,2.2,3,1.8,3.45,2.9,4,1,1.4,0.5,Africa,2020-10-30 00:00:00
Southern Africa Regional Food Security Crisis,Southern Africa Regional Food Security Crisis,REG012,"Lesotho,Madagascar,Malawi,Mozambique,Namibia,Eswatini,Tanzania,Zambia,Zimbabwe","LSO, MDG, MWI, MOZ, NAM, SWZ, TZA, ZMB, ZWE",Regional crisis,3.5,4,High,Stable,Very High,3,3.6,2.7,4,5,3,2.9,2.7,3,Africa,2020-11-01 00:00:00
Complex crisis in Libya,Complex crisis,LBY001,Libya,LBY,Multiple crises country,4.1,5,Very High,Decreasing,High,4,4.5,3.7,4.2,3.4,5,4.1,3.6,4.5,Africa,2020-10-26 00:00:00
Mixed migration flows in Libya,Mixed Migration,LBY002,Libya,LBY,International displacement,3,3,Medium,Stable,Very High,3.7,4.5,3.2,2.25,2.5,2,3.3,3.6,3,Africa,2020-10-26 00:00:00
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,Drought,2.5,3,Medium,Stable,Medium,2.7,1.7,3.15,2.95,2.9,3,1.5,2.4,0.5,Africa,2020-10-30 00:00:00
Floods in Madagascar,Floods in Madagascar,MDG004,Madagascar,MDG,Flood,1.3,2,Low,Stable,High,2.2,1.7,2.4,0.5,0,1,1.8,2.4,1,Africa,2020-10-30 00:00:00
Complex Country Crisis in Madagascar,Complex Country Crisis in Madagascar,MDG005,Madagascar,MDG,Complex crisis,2.6,3,Medium,Stable,High,2.3,1.9,2.5,3.05,3.1,3,2,2.4,1.5,Africa,2020-10-30 00:00:00
Complex crisis in Malawi,Complex,MWI002,Malawi,MWI,Complex crisis,2.7,3,Medium,Decreasing,High,3.1,4.3,2.2,3.5,4,3,1.2,1.9,0.5,Africa,2020-10-30 00:00:00
Complex crisis in Mali,Complex crisis,MLI001,Mali,MLI,Complex crisis,3.8,4,High,Stable,High,4,4.8,3.5,3.7,4.4,3,3.9,3.2,4.5,Africa,2020-11-05 00:00:00
Refugees from Mali in Mauritania,Malian refugees,MRT002,Mauritania,MRT,International displacement,2.2,3,Medium,Decreasing,Medium,2.4,0,3.2,2.15,1.3,3,2.1,2.6,1.5,Africa,2020-10-26 00:00:00
Food Security in Mauritania,Food security,MRT003,Mauritania,MRT,Drought,2.9,3,Medium,Increasing,Medium,3.2,4.4,2.25,3,3,3,2.6,2.6,2.5,Africa,2020-10-26 00:00:00
Multiple crisis in Mexico,Country Level,MEX001,Mexico,MEX,Multiple crises country,x,x,x,-,Very Low,4.2,4.6,4,x,x,x,3,2.9,3,Americas,2020-10-06 00:00:00
Criminal Violence in Mexico,Criminal Violence,MEX002,Mexico,MEX,Other type of violence,x,x,x,-,Very Low,3.7,3.9,3.6,x,x,x,2.7,2.9,2.5,Americas,2020-10-06 00:00:00
Mixed Migration in Mexico,Mixed Migration,MEX003,Mexico,MEX,International displacement,x,x,x,-,Medium,3.4,4.2,2.9,x,x,x,2.7,2.9,2.5,Americas,2020-10-06 00:00:00
Mixed migration flows in Morocco,Mixed Migration,MAR002,Morocco,MAR,International displacement,x,x,x,-,Very Low,3.5,4.8,2.5,x,x,x,2.1,3,1,Africa,2020-11-02 00:00:00
Complex crisis in Mozambique,Complex crisis in Mozambique,MOZ001,Mozambique,MOZ,Complex crisis,3.2,4,High,Stable,High,3.5,2.5,3.9,3.2,3.4,3,3,3.5,2.5,Africa,2020-11-05 00:00:00
Cabo Delgado Islamist Insurgency,Violent Insurgency in Cabo Delgado,MOZ004,Mozambique,MOZ,Other type of violence,2.9,3,Medium,Increasing,High,2.8,1.4,3.4,3.05,3.1,3,2.8,3.5,2,Africa,2020-10-16 00:00:00
Food Security Crisis in Mozambique,Food Security Crisis in Mozambique,MOZ006,Mozambique,MOZ,Food Security,2.8,3,Medium,Decreasing,Medium,2.9,2.2,3.2,2.8,2.6,3,2.8,3.5,2,Africa,2020-10-19 00:00:00
Multiple crises in Myanmar,Country level,MMR001,Myanmar,MMR,Multiple crises country,3.5,4,High,Decreasing,High,3.3,2.7,3.6,3.65,3.3,4,3.5,3.4,3.5,Asia,2020-10-28 00:00:00
Rakhine Conflict,Rakhine conflict,MMR002,Myanmar,MMR,Conflict,3.5,4,High,Stable,High,3.1,1.3,3.7,3.55,3.1,4,3.7,3.4,4,Asia,2020-10-28 00:00:00
Kachin and Shan Conflict,Kachin and Shan conflict,MMR003,Myanmar,MMR,Conflict,2.6,3,Medium,Stable,High,2.4,2.3,2.5,2.1,2.2,2,3.5,3.4,3.5,Asia,2020-10-28 00:00:00
Food Security Crisis in Namibia,Food Security Crisis in Namibia,NAM002,Namibia,NAM,Food Security,2,2,Low,Decreasing,Medium,1.5,1.6,1.4,2.85,2.7,3,1,1.5,0.5,Africa,2020-10-30 00:00:00
