,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Conflict  in Iraq,Conflict,IRQ002,Iraq,IRQ,4.4,0.9995395100386811,5,4.7,3.5,0.28620492272467085,1.4,2.45,3.8,3.9,0.6082727272727273,3,3.45,5,1,5,5,4.5,0.00021491555821252428,5,4.8,4.9,4.3
Syrian and Palestinian refugees in iraq,International displacement,IRQ003,Iraq,IRQ,2.7,0.09209799226376865,0.4,1.55,2.4,0.13360566165374407,0.6,1.5,1.5,1.9,0.0878286270691334,0.4,1.15,3.4,0.5388026607538803,5,4.2,0,0,0,0,2.7,2
Syrian refugees in Jordan,International displacement,JOR002,Jordan,JOR,2.7,0.4557670646542014,2.2,2.45,3.1,0.805855599772598,4,3.55,3,2.7,0.1619047619047619,0.8,1.75,4.5,1,5,4.8,0,7.262164124909223e-07,0,0,3.2,2.5
Multiple crisis in Kenya ,Multiple crises country,KEN001,Kenya,KEN,4.6,1,5,4.8,5,1,5,5,4.9,4.2,0.21779230634522212,1,2.6,4,0.0545876887340302,1.8,2.9,3,1.0720986330742428e-05,0.5,1.8,2.4,2.5
Refugee situation in Kenya,International displacement,KEN002,Kenya,KEN,3.5,0.2161155427487086,1,2.25,2.4,0.1014924211468488,0.5,1.45,1.9,2,0.09490030674846625,0.4,1.2,3.8,1,5,4.4,x,x,x,x,4.4,3.2
Drought in Kenya,Drought,KEN003,Kenya,KEN,4.6,1,5,4.8,5,1,5,5,4.9,4.2,0.20816064444574164,1,2.6,x,x,x,x,x,x,x,x,x,2.6
Flooding and Landslides in Kenya,Flood,KEN005,Kenya,KEN,4.5,0.8277365850230172,4.1,4.3,5,0.8272138228941684,4.1,4.55,4.4,1.4,0.005480676498953261,0,0.7,1.7,0.06866952789699571,2.3,2,3.4,0.001017167381974249,5,4.2,3.3,2.2
Syrian refugees in Lebanon,International displacement,LBN002,Lebanon,LBN,1.7,0.997184750733138,5,3.35,2.8,1,5,3.9,3.6,3.3,0.4419623302671923,2.2,2.75,4.5,0.5044598612487612,5,4.8,0,0,0,0,3.2,3
Socioeconomic crisis in Lebanon,Political and economic crisis,LBN004,Lebanon,LBN,1.7,0.997184750733138,5,3.35,2.8,1,5,3.9,3.6,3.5,0.6189224704336399,3.1,3.3,x,x,x,x,0,0,0,0,0,2
Explosion in Beirut,Industrial Accidents,LBN005,Lebanon,LBN,0.5,0.1942913000977517,0.9,0.7,1.1,0.32121477587969044,1.6,1.35,1,3.1,1,5,4.05,3.5,0.13636363636363635,4.5,4,3.3,8.681818181818182e-05,4.3,3.8,3.9,4
Drought in Lesotho,Drought,LSO002,Lesotho,LSO,2.5,1.0013175230566536,5,3.75,0.6,0.6482545293857711,3.2,1.9000000000000001,3,2.5,0.7239263803680982,3.6,3.05,x,x,x,x,0,0,0,0,0,1.8
Southern Africa Regional Food Security Crisis,Regional crisis,REG012,"Lesotho,Madagascar,Malawi,Mozambique,Namibia,Eswatini,Tanzania,Zambia,Zimbabwe","LSO, MDG, MWI, MOZ, NAM, SWZ, TZA, ZMB, ZWE",5,0.4187671721061768,2,3.5,5,0.46337735278957753,2.3,3.65,3.6,4.9,0.5141728357178474,2.5,3.7,1.9,0.000783289817232376,0,1,2.4,1.75307720999627e-06,0.1,1.3,1.2,2.7
Complex crisis in Libya,Multiple crises country,LBY001,Libya,LBY,5,1,5,5,2.8,1,5,3.9,4.5,2.9,0.2619706010769903,1.3,2.1,4.5,0.8144444444444444,5,4.8,4.1,0.00038444444444444447,5,4.6,4.7,3.7
Mixed migration flows in Libya,International displacement,LBY002,Libya,LBY,5,1,5,5,2.8,1,5,3.9,4.5,2.1,0.08514044535002183,0.4,1.25,4,1,5,4.5,3.3,0.00035384615384615386,5,4.2,4.4,3.2
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,3.6,0.2573942935716741,1.2,2.4,1.2,0.08524344569288389,0.4,0.8,1.7,2.8,0.7047451669595782,3.5,3.15,x,x,x,x,x,x,x,x,x,3.15
Floods in Madagascar,Flood,MDG004,Madagascar,MDG,3.1,0.1309333104159505,0.6,1.85,2.1,0.16273408239700374,0.8,1.4500000000000002,1.7,0.9,0.026927502876869965,0.1,0.5,1.7,0.13675213675213677,4.6,3.2,3.2,0.001452991452991453,5,4.1,3.7,2.4
Complex Country Crisis in Madagascar,Complex crisis,MDG005,Madagascar,MDG,3.1,0.1309333104159505,0.6,1.85,2.7,0.24797752808988763,1.2,1.9500000000000002,1.9,2.9,0.26159190454614106,1.3,2.1,1.7,0.009237875288683603,0.3,1,3.2,9.757505773672056e-05,4.9,4.1,2.9,2.5
Complex crisis in Malawi,Complex crisis,MWI002,Malawi,MWI,3.3,0.9999575731862537,5,4.15,4.2,0.9240982749607946,4.6,4.4,4.3,4.1,0.49988686502998075,2.5,3.3,0,0,0,0,2.2,3.7342989702387687e-06,0.2,1.2,0.6,2.2
Complex crisis in Mali,Complex crisis,MLI001,Mali,MLI,5,1,5,5,4.3,1.0002525124993686,5,4.65,4.8,4,0.41401595476118347,2,3,3.8,0.0524390243902439,1.7,2.8,4.6,0.00019597560975609756,5,4.8,4,3.5
Refugees from Mali in Mauritania,International displacement,MRT002,Mauritania,MRT,0,7.276608130396817e-05,0,0,0,0.017370325693606754,0,0,0,0.5,0.8472222222222222,4.2,2.35,2.6,1,5,3.8,x,x,x,x,3.8,3.2
