,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Displacement from Ukraine conflict in Poland,International displacement,POL002,Poland,POL,0.332,2.362,0,0,0,0,0.12323682256867112,0.8767631774313289,0,0,0,2,1
Complex crisis in DPRK,Complex crisis,PRK001,DPRK,PRK,0,15.12,4.97,5.459,0,5,0,0.5891062105509234,0.19364139328294241,0.21269383620353777,0,4,4.5
Conflict in Palestine,Conflict,PSE002,Palestine,PSE,0.643,2.356,2.035,0.321,0,4,0.12007469654528478,0.4399626517273576,0.38001867413632123,0.05994397759103642,0,4,4
Regional Boko Haram Crisis,Regional crisis,REG001,"Nigeria,Niger,Chad,Cameroon","NGA,NER,TCD,CMR",6.035,4.223,4.636,4.201,0.122,4.9,0.31404485611697974,0.21975334339387,0.24124473122755893,0.21860852370297132,0.006348545558619972,4,4.45
Venezuela Regional Crisis,Regional crisis,REG002,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago,Chile,Dominican Republic,Panama","VEN,BRA,COL,ECU,PER,TTO,CHL,DOM,PAN",54.056,15.092,22.493,0,0,5,0.5898669809364804,0.1646861121113912,0.24544690695212842,0,0,3,4
Regional Kashmir conflict,Regional crisis,REG003,"India,Pakistan","IND,PAK",x,x,x,x,x,x,x,x,x,x,x,x,x
Syrian Regional Crisis,Regional crisis,REG004,"Syria,Turkey,Iraq,Egypt,Jordan,Lebanon","SYR,TUR,IRQ,EGY,JOR,LBN",57.795,24.08,13.174,6.665,0.126,5,0.5675078554595444,0.23644933228593873,0.12935978004713275,0.06544579732914375,0.0012372348782403772,4,4.5
Eastern Mediterranean Route ,Regional crisis,REG006,"Turkey,Greece","TUR,GRC",25.277,10.303,1.713,0.744,0,4,0.6645371611851618,0.27086783920919105,0.04503509740515813,0.019559902200488997,0,3,3.5
Central Mediterranean Route,Regional crisis,REG007,"Algeria,Tunisia,Libya,Italy","DZA,TUN,LBY,ITA",x,x,x,x,x,x,x,x,x,x,x,x,x
Western Mediterranean Route,Regional crisis,REG008,"Algeria,Morocco,Spain","DZA,MAR,ESP",x,x,x,x,x,x,x,x,x,x,x,x,x
Rohingya Regional Crisis,Regional crisis,REG011,"Bangladesh,Myanmar","BGD,MMR",1.1,1.047,0,2.903,0,4.1,0.21782178217821782,0.20732673267326732,0,0.5748514851485148,0,4,4.05
Southern Africa Regional Food Security Crisis,Regional crisis,REG012,"Lesotho,Madagascar,Malawi,Namibia,Eswatini,Zambia,Zimbabwe,Tanzania","LSO,MDG,MWI,NAM,SWZ,ZMB,ZWE,TZA",31.424,16.486,12.407,1.501,0,5,0.5083309068556084,0.26668607848846615,0.20070206088841439,0.02428095376751108,0,3,4
Nagorno-Karabakh Conflict,Regional crisis,REG013,"Armenia,Azerbaijan","ARM,AZE",x,x,x,x,x,x,x,x,x,x,x,x,x
Eastern Africa Regional Drought Crisis,Regional crisis,REG014,"Ethiopia,Somalia,Kenya","ETH,SOM,KEN",57.258,30.048,6.591,1.184,0,4.8,0.6022023327478676,0.31602528370547217,0.06931984308116237,0.012452540465497838,0,3,3.9
Displacement from Ukraine conflict in Romania,International displacement,ROU002,Romania,ROU,5.049,0.085,0,0,0,0,0.9832521908471276,0.016553067185978577,0,0,0,1,0.5
Burundi and DRC refugees in Rwanda,International displacement,RWA002,Rwanda,RWA,2.242,0,0.127,0,0,1.8,0.9463908822287885,0,0.05360911777121148,0,0,3,2.4
Complex crisis in Sudan,Multiple crises country,SDN001,Sudan,SDN,17.9,15.8,6.2,6.2,1.9,5,0.3729166666666667,0.32916666666666666,0.12916666666666668,0.12916666666666668,0.03958333333333333,4,4.5
Refugees in Sudan,International displacement,SDN005,Sudan,SDN,0,11.949,1.058,0,0,3.4,0,0.9186591835165681,0.081340816483432,0,0,3,3.2
Refugees from Ethiopia,International displacement,SDN007,Sudan,SDN,0,13.758,0.072,0,0,1.4,0,0.9947939262472885,0.005206073752711497,0,0,2,1.7
Violence West-Darfur,Other type of violence,SDN008,Sudan,SDN,0,0.962,0.13,0.72,0.08,3.3,0,0.5084566596194503,0.06871035940803383,0.38054968287526425,0.042283298097251586,4,3.65
Drought in Senegal,Drought,SEN002,Senegal,SEN,13.521,2.676,0.498,0.013,0,2.8,0.8092046202645281,0.16015321084445508,0.029804297085403077,0.0007780238194984738,0,2,2.4
Complex crisis in El Salvador,Complex crisis,SLV001,El Salvador,SLV,3.5,1.5,1.4,0.3,0,3.7,0.5223880597014925,0.22388059701492538,0.208955223880597,0.04477611940298507,0,3,3.35
Complex crisis in Somalia,Complex crisis,SOM001,Somalia,SOM,0.019,8,7.7,0.036,0,4.8,0.0012059663598857505,0.5077753094255791,0.48873373532211994,0.002284988892415106,0,3,3.9
Mixed Migration Flows in Somalia,International displacement,SOM002,Somalia,SOM,1.296,0,0,0.025,0,0.7,0.9803328290468987,0,0,0.018910741301059002,0,1,0.85
Drought in Somalia,Drought,SOM005,Somalia,SOM,0,9.755,4.219,1.7,0.081,4.6,0,0.6191685179308156,0.2677880038083148,0.10790225325293558,0.0051412250079339895,4,4.3
Complex crisis in South Sudan,Complex crisis,SSD001,South Sudan,SSD,0,3.5,6.497,1.424,0.979,4.9,0,0.28225806451612906,0.5239516129032258,0.11483870967741935,0.0789516129032258,5,4.95
Displacement from Ukraine conflict in Slovakia,International displacement,SVK002,Slovakia,SVK,1.544,0.265,0,0,0,0,0.840958605664488,0.1443355119825708,0,0,0,2,1
Food Security Crisis in Eswatini,Food Security,SWZ001,Eswatini,SWZ,0.46,0.376,0.286,0.05,0,2.5,0.3924914675767918,0.32081911262798635,0.2440273037542662,0.042662116040955635,0,3,2.75
Syrian conflict,Complex crisis,SYR001,Syria,SYR,0,7.14,9.6,4.9,0.06,5,0,0.32903225806451614,0.4423963133640553,0.22580645161290322,0.0027649769585253456,4,4.5
Complex crisis in Chad,Multiple crises country,TCD001,Chad,TCD,9.175,1.207,4.736,1.472,0.192,4.7,0.5462284931833066,0.07185806989343335,0.2819551110317319,0.08763469667202477,0.011430612609394535,4,4.35
Boko Haram in Chad,Conflict,TCD003,Chad,TCD,0,0.318,0.098,0.147,0.122,2.6,0,0.46355685131195334,0.14285714285714285,0.21428571428571427,0.17784256559766765,5,3.8
CAR refugees in Chad,International displacement,TCD004,Chad,TCD,3.452,0,0.743,0.261,0,3.3,0.774685816876122,0,0.16674147217235188,0.05857271095152603,0,4,3.65
Darfur refugees in Chad,International displacement,TCD005,Chad,TCD,1.454,0,0.694,0.429,0,3.4,0.5642219635234769,0,0.2693053938688397,0.16647264260768335,0,4,3.7
Tibesti Conflict in Chad,Conflict,TCD006,Chad,TCD,0,0.02,0.011,0.006,0.001,0.4,0,0.5263157894736842,0.2894736842105263,0.15789473684210525,0.02631578947368421,4,2.2
Multiple situations in Thailand,Multiple crises country,THA001,Thailand,THA,3.458,0,0.091,0,0,1.6,0.9743589743589743,0,0.02564102564102564,0,0,1,1.3
Conflict in southern Thailand ,Conflict,THA002,Thailand,THA,x,x,x,x,x,x,x,x,x,x,x,x,x
Myanmar refugees in Thailand,International displacement,THA003,Thailand,THA,0,0,0.091,0,0,1.6,0,0,1,0,0,3,2.3
Tonga Volcano Eruption,Volcano,TON002,Tonga,TON,0.02,0.082,0.002,0,0,0,0.19047619047619047,0.780952380952381,0.01904761904761905,0,0,2,1
Venezuelan refugees in Trinidad and Tobago,International displacement,TTO002,Trinidad and Tobago,TTO,1.368,0.003,0.035,0,0,0.9,0.9722814498933902,0.0021321961620469083,0.024875621890547265,0,0,1,0.95
Mixed migration flows in Tunisia,International displacement,TUN002,Tunisia,TUN,x,x,x,x,x,x,x,x,x,x,x,x,x
Complex situation in Turkey,Multiple crises country,TUR001,Turkey,TUR,46.506,1.656,1.694,0.744,0,4,0.9190909090909091,0.03272727272727273,0.033478260869565214,0.014703557312252964,0,2,3
Syrian Refugees in Turkey,International displacement,TUR002,Turkey,TUR,23.894,10.156,1.694,0.414,0,3.9,0.6608219481165993,0.2808783671663256,0.046849936390287075,0.011449748326787986,0,3,3.45
Mixed Migration Flows in Turkey,International displacement,TUR003,Turkey,TUR,25.032,10.156,1.694,0.744,0,4,0.6652846435975124,0.2699197363525222,0.04502205921437304,0.01977356083559241,0,3,3.5
Kurdish Conflict,Conflict,TUR004,Turkey,TUR,x,x,x,x,x,x,x,x,x,x,x,x,x
Multiple Crises in Tanzania,Multiple crises country,TZA001,Tanzania,TZA,2.182,11.93,0.663,0.022,0,3.1,0.14746232344394133,0.8062445090220991,0.04480637967155505,0.0014867878624045415,0,2,2.55
