,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
International Refugees in Malaysia,Displacement,MYS001,Malaysia,MYS,1.6,0.028020088266626084,0,0.8,3.3,0.3086193185293938,1.5,2.4,1.7,4.2,1,5,4.6,3.2,0.018037661050545096,0.6,1.9,0,0,0,0,1,3.3
Food Security Crisis in Namibia,Drought,NAM002,Namibia,NAM,4.9,1,5,4.95,1.4,1,5,3.2,4.3,2.6,0.42202541393916054,2.1,2.35,0,0,0,0,0,0,0,0,0,1.3
Multiple crises in Niger,"Conflict,Displacement",NER001,Niger,NER,4.4,0.3231420225783532,1.5,2.95,3.7,1,5,4.35,3.7,3.3,0.2504784688995215,1.2,2.25,4,0.2148997134670487,5,4.5,3.7,0.00011938872970391595,5,4.4,4.5,3.6
Lake Chad basin crisis in Niger,Conflict,NER002,Niger,NER,3.7,0.12386989816057473,0.5,2.1,0,0.06283891547049442,0.3,0.15,1.2,1.7,0.399746192893401,2,1.85,3.5,0.8920634920634921,5,4.3,3.2,0.0005333333333333334,5,4.1,4.2,3.2
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,3.9,0.16627615062761505,0.7,2.3,2.9,0.60207336523126,3,2.95,2.6,2.9,0.23165562913907284,1.1,2,3.6,0.1835334476843911,5,4.3,3.2,9.662664379645512e-05,4.8,4,4.2,3.3
Nigerian Refugees,Displacement,NER004,Niger,NER,2.7,0.03299597379016342,0.1,1.4000000000000001,2.1,0.3350877192982456,1.6,1.85,1.6,2.4,0.19585911470728223,0.9,1.65,2.5,0.07290400972053462,2.4,2.5,1.8,2.3086269744835967e-05,1.2,1.5,2,1.8
Complex crisis in Nigeria,"Conflict,Displacement,Violence",NGA001,Nigeria,NGA,4.9,1,5,4.95,5,1,5,5,5,5,0.21429082774049216,1,3,5,0.12707228462855472,4.2,4.6,5,9.297615567712031e-05,4.6,4.8,4.7,4
Middle belt conflict,Violence,NGA003,Nigeria,NGA,3.6,0.15697047553169297,0.7,2.15,4.2,0.08053691275167785,0.4,2.3000000000000003,2.2,4,0.4691666666666667,2.3,3.15,3.9,0.06879810538780344,2.3,3.1,4.1,8.798105387803434e-05,4.4,4.3,3.8,3.5
Lake Chad basin crisis in Nigeria,"Conflict,Displacement",NGA004,Nigeria,NGA,3.7,0.17338954950206967,0.8,2.25,4,0.07203579418344519,0.3,2.15,2.2,4.5,1,5,4.75,5,0.2952173913043478,5,5,4.5,9.316770186335404e-05,4.7,4.6,4.8,4.8
Northwest Banditry,"Violence,Displacement",NGA007,Nigeria,NGA,4,0.26099673902302445,1.2,2.6,5,0.1912662192393736,0.9,2.95,2.8,4.8,0.5436277720595115,2.7,3.75,4,0.027669004690391154,0.9,2.5,4.5,6.463272946340204e-05,3.2,3.9,3.3,3.5
