,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,7.044,0.009,1.31,0.036,0,3.5,0.8385714285714285,0.0010714285714285715,0.15595238095238095,0.004285714285714286,0,3,3.25
Nigerian Refugees,International displacement,NER004,Niger,NER,0.624,0,0.662,0.042,0,3.1,0.46987951807228917,0,0.49849397590361444,0.03162650602409638,0,3,3.05
Complex crisis in Nigeria,Complex crisis,NGA001,Nigeria,NGA,186.794,6.211,1.07,0.235,0.084,3.6,0.9061511594062288,0.030130008731929756,0.005190647133016397,0.0011400019404288347,0.0004074900553022218,1,2.3
Middle belt conflict,Conflict,NGA003,Nigeria,NGA,14.55,0,0.982,0,0,3.3,0.9367756889003348,0,0.06322431109966521,0,0,3,3.15
Boko Haram crisis in Nigeria,Conflict,NGA004,Nigeria,NGA,0,6.211,5.964,2.352,0.084,4.9,0,0.42509068510026693,0.4081856135788105,0.16097460817192527,0.00574909314899733,4,4.45
Northwest Banditry,Other type of violence,NGA007,Nigeria,NGA,29.532,0,3.679,0,0,4.3,0.8297137077515242,0,0.1033630208187003,0,0,3,3.65
Cameroonian Refugees in Nigeria,International displacement,NGA008,Nigeria,NGA,12.598,0.077,0,0,0,0,0.9939250493096647,0.006074950690335305,0,0,0,1,0.5
Socioeconomic crisis in Nicaragua,Political and economic crisis,NIC001,Nicaragua,NIC,6.051,x,x,x,x,x,0.9758103531688437,x,x,x,x,x,x
Complex crisis in Pakistan,Complex crisis,PAK001,Pakistan,PAK,160.646,57.843,9.909,1.092,0,5,0.7000161227771265,0.2520512965763065,0.043178540147893796,0.004758398006004645,0,2,3.5
Kashmir conflict in Pakistan,Conflict,PAK004,Pakistan,PAK,x,x,x,x,x,x,x,x,x,x,x,x,x
Venezuela displacement in Panama,International displacement,PAN002,Panama,PAN,0.026,0.002,0.094,0,0,1.6,0.21311475409836064,0.01639344262295082,0.7704918032786885,0,0,3,2.3
Venezuela displacement in Peru,International displacement,PER002,Peru,PER,8.606,0.368,1.695,0,0,3.7,0.8066360483644203,0.03449245477551786,0.15887149686006186,0,0,3,3.35
Multiple crises in the Philippines,Multiple crises country,PHL001,Philippines,PHL,32.788,9.615,2.511,0,0,4,0.7300011132138483,0.21407102304352665,0.05590559946565735,0,0,3,3.5
Mindanao conflict,Conflict,PHL003,Philippines,PHL,26.141,0,0.111,0,0,1.7,0.9957717507237543,0,0.004228249276245619,0,0,1,1.35
Typhoon RAI,Tropical cyclone,PHL010,Philippines,PHL,6.647,9.615,2.4,0,0,4,0.3561783302968599,0.515218090236845,0.12860357946629514,0,0,3,3.5
Displacement from Ukraine conflict in Poland,International displacement,POL002,Poland,POL,0.332,2.362,0,0,0,0,0.12323682256867112,0.8767631774313289,0,0,0,2,1
Complex crisis in DPRK,Complex crisis,PRK001,DPRK,PRK,0,15.12,4.97,5.459,0,5,0,0.5891062105509234,0.19364139328294241,0.21269383620353777,0,4,4.5
