Crisis,TYPE OF CRISIS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
0,,,,,sq. Km,Number,Number,Number,Number,,Number,Number,Number,Number,million USD,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,
International Refugees in Malaysia,International displacement,MYS001,Malaysia,MYS,9395,3815000,180000,180000,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,3634000,0,180000,0,0,3,#N/A,#N/A,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Food Security Crisis in Namibia,Food Security,NAM002,Namibia,NAM,824292,2551000,1587000,0,0,0,0,#N/A,#N/A,#N/A,#N/A,964000,836000,632000,119000,0,1,#N/A,#N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Multiple crises in Niger,Multiple crises country,NER001,Niger,NER,1267000,23800000,3882000,565000,x,x,604,x,x,#N/A,x,19918000,60000,3648000,173000,0,5,x,x,1.0,3.0,2.0,0.0,0.0,3.0,3.0,1.0,3.0
Boko Haram in Niger,Conflict,NER002,Niger,NER,156906,949000,293000,243000,141012,x,148,x,x,#N/A,x,656000,1000,272000,20000,0,5,x,x,1.0,3.0,2.0,0.0,0.0,3.0,3.0,1.0,3.0
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,210600,8400000,1356000,202000,x,x,415,x,x,#N/A,x,7044000,9000,1310000,36000,0,5,x,x,1.0,3.0,2.0,0.0,0.0,2.0,3.0,0.0,3.0
Nigerian Refugees,International displacement,NER004,Niger,NER,8616,1328000,704000,187000,x,x,16,0,0,#N/A,0,624000,0,662000,42000,0,2,x,x,1.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0,3.0
Complex crisis in Nigeria,Complex crisis,NGA001,Nigeria,NGA,909890,76901000,17831000,5302000,x,x,3790,x,4300,#N/A,x,59070000,4400000,10734000,2697000,0,5,x,800000,1.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0
Middle belt conflict,Conflict,NGA003,Nigeria,NGA,181664,15532000,982000,380000,x,x,499,x,x,#N/A,x,14550000,0,982000,0,0,5,x,x,0.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0
Boko Haram crisis in Nigeria,Conflict,NGA004,Nigeria,NGA,157918,13100000,13100000,4369000,x,x,837,x,4300,#N/A,x,0,4400000,6003000,2697000,0,4,x,800000,1.0,2.0,2.0,0.0,2.0,2.0,3.0,1.0,3.0
Northwest Banditry,Other type of violence,NGA007,Nigeria,NGA,237708,35593000,3679000,485000,x,x,2454,500,10500,#N/A,49,31914000,0,3679000,0,0,5,x,x,0.0,3.0,0.0,0.0,2.0,2.0,2.0,1.0,3.0
Cameroonian Refugees in Nigeria,International displacement,NGA008,Nigeria,NGA,108688,12675000,69000,69000,x,x,0,x,x,#N/A,x,12606000,0,69000,0,0,2139,x,x,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
