,,,,,,,,,,,,,,,,,,,,,
CRISIS,Website name,CRISIS ID,COUNTRY,ISO3,TYPE OF CRISIS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical Impact,Human Impact,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Weights,,,,,,,,,,,,,,,,,0.3,,,,
(a-z),,,,(a-z),,(1-5),(1-5),(Very Low-Very High),(Decreasing-Stable-Increasing),(Very Low-Very High),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),,
Multiple crises in Niger,Country level,NER001,Niger,NER,Multiple crises country,3.9,4,High,Stable,Medium,4.1,4.9,3.6,3.65,4.3,3,4,3.3,4.5,Africa,2021-11-22 00:00:00
Boko Haram in Niger,Boko Haram,NER002,Niger,NER,Conflict,3.1,4,High,Stable,Medium,2.6,1.2,3.1,2.7,2.4,3,4,3.3,4.5,Africa,2021-10-30 00:00:00
Mali/Burkina Faso conflict,Cross-border violence ,NER003,Niger,NER,Conflict,3.3,4,High,Decreasing,Medium,3,2.4,3.3,3.25,3.5,3,3.7,3.3,4,Africa,2021-10-29 00:00:00
Nigerian Refugees,Nigerian Refugees,NER004,Niger,NER,International displacement,2.8,3,Medium,Stable,Medium,2.1,0.6,2.7,3.05,3.1,3,2.9,3.3,2.5,Africa,2021-10-30 00:00:00
Complex crisis in Nigeria,Complex crisis,NGA001,Nigeria,NGA,Complex crisis,4.3,5,Very High,Stable,High,4.2,4.3,4.2,4,5,3,4.7,4.3,5,Africa,2021-11-26 00:00:00
Middle belt conflict,Middle Belt,NGA003,Nigeria,NGA,Conflict,3.3,4,High,Decreasing,High,3,2.3,3.3,3.15,3.3,3,3.9,4.3,3.5,Africa,2021-11-26 00:00:00
Boko Haram crisis in Nigeria,Boko Haram ,NGA004,Nigeria,NGA,Conflict,4.3,5,Very High,Stable,Medium,4,2.1,4.6,4.45,4.9,4,4.2,4.3,4,Africa,2021-11-26 00:00:00
Northwest Banditry,Northwest Banditry,NGA007,Nigeria,NGA,Other type of violence,3.7,4,High,Decreasing,High,3.3,2.8,3.5,3.65,4.3,3,4.2,4.3,4,Africa,2021-11-26 00:00:00
Cameroonian Refugees in Nigeria,Cameroonian Refugees,NGA008,Nigeria,NGA,International displacement,2.1,3,Medium,Stable,High,1.6,2,1.4,1.2,1.4,1,3.9,4.3,3.5,Africa,2021-11-26 00:00:00
Socioeconomic crisis in Nicaragua,Socioeconomic crisis,NIC001,Nicaragua,NIC,Political and economic crisis,x,x,x,-,Low,2.9,4.1,2,x,x,x,2.8,3.4,2,Americas,2021-10-28 00:00:00
Complex crisis in Pakistan,Complex crisis,PAK001,Pakistan,PAK,Complex crisis,3.7,4,High,Decreasing,High,4.2,5,3.7,3.5,5,2,3.6,3.7,3.5,Asia,2022-01-10 00:00:00
Kashmir conflict in Pakistan,Kashmir conflict,PAK004,Pakistan,PAK,Conflict,x,x,x,-,Low,0.4,1,0,x,x,x,3.2,3.7,2.5,Asia,2022-01-10 00:00:00
Venezuela displacement in Peru,Venezuelan refugees,PER002,Peru,PER,International displacement,3,3,Medium,Increasing,Medium,3.3,1.3,4,3.05,3.1,3,2.8,3.7,1.5,Americas,2021-11-22 00:00:00
Multiple crises in the Philippines,Country level,PHL001,Philippines,PHL,Multiple crises country,3.3,4,High,-,High,3,3.7,2.6,3.5,4,3,3.3,3.5,3,Asia,2022-01-23 00:00:00
Mindanao conflict,Mindanao Conflict,PHL003,Philippines,PHL,Conflict,2.2,3,Medium,Decreasing,High,2.7,3,2.6,1.4,1.8,1,3,3.5,2.5,Asia,2022-01-23 00:00:00
