,,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected,
Complex crisis in South Sudan,Complex crisis,SSD001,South Sudan,SSD,0,3.4,4.471,3.829,0,4.9,0,0.29097133076593923,0.3826272999572101,0.32768506632434746,0,4,4.45,
Food Security Crisis in Eswatini,Food Security,SWZ001,Eswatini,SWZ,0.46,0.376,0.286,0.05,0,2.5,0.3924914675767918,0.32081911262798635,0.2440273037542662,0.042662116040955635,0,3,2.75,
Syrian conflict,Complex crisis,SYR001,Syria,SYR,0,4.1,0.63,11.27,1.5,5,0,0.23428571428571426,0.036,0.644,0.08571428571428572,5,5,
Complex crisis in Chad,Multiple crises country,TCD001,Chad,TCD,9.175,1.207,4.736,1.472,0.192,4.7,0.5462284931833066,0.07185806989343335,0.2819551110317319,0.08763469667202477,0.011430612609394535,4,4.35,
Boko Haram in Chad,Conflict,TCD003,Chad,TCD,0,0.318,0.098,0.147,0.122,2.6,0,0.46355685131195334,0.14285714285714285,0.21428571428571427,0.17784256559766765,5,3.8,
CAR refugees in Chad,International displacement,TCD004,Chad,TCD,3.452,0,0.743,0.261,0,3.3,0.774685816876122,0,0.16674147217235188,0.05857271095152603,0,4,3.65,
Darfur refugees in Chad,International displacement,TCD005,Chad,TCD,1.454,0,0.694,0.429,0,3.4,0.5642219635234769,0,0.2693053938688397,0.16647264260768335,0,4,3.7,
Tibesti Conflict in Chad,Conflict,TCD006,Chad,TCD,0,0.02,0.011,0.006,0.001,0.4,0,0.5263157894736842,0.2894736842105263,0.15789473684210525,0.02631578947368421,4,2.2,
Multiple situations in Thailand,Multiple crises country,THA001,Thailand,THA,3.458,0,0.091,0,0,1.6,0.9743589743589743,0,0.02564102564102564,0,0,1,1.3,
Conflict in southern Thailand ,Conflict,THA002,Thailand,THA,x,x,x,x,x,x,x,x,x,x,x,x,x,
Myanmar refugees in Thailand,International displacement,THA003,Thailand,THA,0,0,0.091,0,0,1.6,0,0,1,0,0,3,2.3,
Tonga Volcano Eruption,Volcano,TON002,Tonga,TON,0.02,0.084,0.002,0,0,0,0.19047619047619047,0.8,0.01904761904761905,0,0,2,1,
Venezuelan refugees in Trinidad and Tobago,International displacement,TTO002,Trinidad and Tobago,TTO,1.395,0,0.06,0,0,1.3,0.9620689655172414,0,0.041379310344827586,0,0,1,1.15,
Mixed migration flows in Tunisia,International displacement,TUN002,Tunisia,TUN,x,x,x,x,x,x,x,x,x,x,x,x,x,
Complex situation in Turkey,Multiple crises country,TUR001,Turkey,TUR,38.034,10.144,1.681,0.741,0,4,0.7516600790513834,0.20047430830039525,0.033221343873517786,0.014644268774703557,0,2,3,
Syrian Refugees in Turkey,International displacement,TUR002,Turkey,TUR,23.922,10.144,1.681,0.411,0,3.9,0.6615963272304884,0.28054649040323026,0.04649040323026716,0.01136677913601416,0,3,3.45,
Mixed Migration Flows in Turkey,International displacement,TUR003,Turkey,TUR,25.06,10.144,1.681,0.741,0,4,0.6660288098655185,0.26960080795194813,0.04467655344708446,0.019693828735448893,0,3,3.5,
Kurdish Conflict,Conflict,TUR004,Turkey,TUR,x,x,x,x,x,x,x,x,x,x,x,x,x,
International Displacement in Tanzania,International displacement,TZA002,Tanzania,TZA,0,11.147,0.246,0,0,2.3,0,0.9784077942596331,0.021592205740366893,0,0,2,2.15,
International Displacement in Uganda,International displacement,UGA005,Uganda,UGA,6.147,0,1.504,0,0,3.6,0.8034243889687622,0,0.19657561103123775,0,0,3,3.3,
Conflict in Ukraine,Conflict,UKR002,Ukraine,UKR,0.909,2,1.7,1.7,0,4.2,0.14407988587731813,0.3170074496750674,0.26945633222380727,0.26945633222380727,0,4,4.1,
Complex crisis in Venezuela,Complex crisis,VEN001,Venezuela,VEN,0,12.61,14.803,0,0,5,0,0.46001751057930834,0.5400189697942507,0,0,3,4,
Conflict in Yemen,Complex crisis,YEM001,Yemen,YEM,3.6,6.4,8.4,8.9,3.4,5,0.11726384364820847,0.20846905537459284,0.2736156351791531,0.2899022801302932,0.11074918566775244,5,5,
Mixed migration flows in Yemen,International displacement,YEM002,Yemen,YEM,3.6,6.4,8.4,8.9,3.4,5,0.11726384364820847,0.20846905537459284,0.2736156351791531,0.2899022801302932,0.11074918566775244,5,5,
Drought in Zambia,Drought,ZMB002,Zambia,ZMB,5.421,5.185,1.575,0,0,3.7,0.4450373532550694,0.4256629176586487,0.12929972908628193,0,0,3,3.35,
Complex crisis in Zimbabwe,Complex crisis,ZWE001,Zimbabwe,ZWE,5.851,2.706,6.05,0.95,0,4.7,0.37610079064086904,0.17394099119367487,0.3888924599858585,0.061065758179597605,0,4,4.35,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
