,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score
TCD005,706,706,706,339,339,706,706,706,706,706,1109,122,122,122,122,122,122,122,122,122,614.5
TCD006,1109,706,706,1109,339,579,579,579,579,579,851,122,122,122,122,122,122,122,122,122,602.2
THA001,944,7,7,7,36,396,131,7,396,396,1111,126,126,126,126,126,126,126,126,126,261.3
THA002,944,944,124,944,7,700,700,700,700,700,1111,126,126,126,126,126,126,126,126,126,581.2
THA003,829,7,7,7,396,396,396,7,396,396,1111,126,126,126,126,126,126,126,126,126,323.8
TON002,40,40,5,5,40,5,5,5,5,5,40,40,40,40,40,40,40,40,40,40,15.5
TTO002,1096,11,11,5,456,11,11,11,11,11,822,125,125,125,125,125,125,125,125,125,147.4
TUN002,517,628,628,628,207,1109,1109,1109,1109,1109,1109,130,130,130,130,130,130,130,130,130,824.7
TUR001,1109,61,61,61,61,61,61,61,61,61,1109,131,131,131,131,131,131,131,131,131,172.8
TUR002,1109,61,61,61,61,61,61,61,61,61,1109,131,131,131,131,131,131,131,131,131,172.8
TUR003,1109,61,61,61,61,61,61,61,61,61,1109,131,131,131,131,131,131,131,131,131,172.8
TUR004,1109,1109,1109,1109,61,1109,1109,1109,1109,1109,1109,131,131,131,131,131,131,131,131,131,906.4
TZA002,5,232,232,5,5,5,5,5,5,5,232,124,124,124,124,124,124,124,124,124,62.3
UGA005,822,164,164,164,633,164,164,164,164,164,581,122,122,122,122,122,122,122,122,122,248.4
UKR002,0,0,0,0,0,0,0,0,0,0,700,124,124,124,124,124,124,124,124,124,82.4
VEN001,509,396,396,396,753,396,396,396,480,480,976,131,131,131,131,131,131,131,131,131,480
YEM001,35,35,35,35,35,35,35,35,35,35,1127,120,120,120,119,120,119,119,119,119,152.7
YEM002,35,35,35,35,35,35,35,35,35,35,1097,119,119,119,119,119,119,119,119,119,149.6
ZMB002,169,99,99,913,5,99,99,99,99,99,169,124,124,124,124,124,124,124,124,124,180.5
ZWE001,236,236,63,63,5,63,63,63,63,63,63,124,124,124,124,124,124,124,124,124,63.3
