Crisis ID,GlideNumber,SeverityGlideNumber,Country,Crisis,ISO3 code,Region,Type of crisis,First country (to hide),Website name (to hide),Crisis description,Related crisis,Starting date,Duration (days)
REG003,,,"India, Pakistan",Regional Kashmir conflict,"IND, PAK",Asia,Regional crisis,India,Regional Kashmir conflict,https://www.acaps.org/country/India/crisis/Regional-Kashmir-conflict,,Before 2019,More than 2 years
IDN002,,,Indonesia,Papua Conflict,IDN,Asia,Conflict,Indonesia,Papua Conflict,https://www.acaps.org/country/Indonesia/crisis/Papua-Conflict,,2019-07-01 00:00:00,608
IDN006,,,Indonesia,Sulawesi Earthquake,IDN,Asia,Earthquake,Indonesia,Sulawesi Earthquake,https://www.acaps.org/country/Indonesia/crisis/Sulawesi-Earthquake,,2021-01-15 00:00:00,44
IDN007,,,Indonesia,Country Level,IDN,Asia,Multiple crisis country,Indonesia,Country Level,https://www.acaps.org/country/Indonesia/crisis/Country-Level,,2021-01-16 00:00:00,43
IRN004,,,Iran,Afghan Refugees in Iran,IRN,Middle east,International displacement,Iran,Afghan Refugees,https://www.acaps.org/country/Iran/crisis/Afghan-Refugees,AFG001,2020-03-30 00:00:00,335
IRQ001,,,Iraq,Multiple crises in Iraq,IRQ,Middle east,Multiple crisis country,Iraq,Country level,https://www.acaps.org/country/Iraq/crisis/Country-level,,Before 2019,More than 2 years
IRQ002,,,Iraq,Conflict  in Iraq,IRQ,Middle east,Conflict,Iraq,Conflict,https://www.acaps.org/country/Iraq/crisis/Conflict,,Before 2019,More than 2 years
IRQ003,,,Iraq,Syrian and Palestinian refugees in iraq,IRQ,Middle east,International displacement,Iraq,Syrian Refugees,https://www.acaps.org/country/Iraq/crisis/Syrian-Refugees,SYR001,Before 2019,More than 2 years
JOR002,,,Jordan,Syrian refugees in Jordan,JOR,Middle east,International displacement,Jordan,Syrian refugees,https://www.acaps.org/country/Jordan/crisis/Syrian-refugees,SYR001,Before 2019,More than 2 years
KEN002,,,Kenya,Refugee situation in Kenya,KEN,Africa,International displacement,Kenya,Refugee situation,https://www.acaps.org/country/Kenya/crisis/Refugee-situation,,Before 2019,More than 2 years
LBN002,,,Lebanon,Syrian refugees in Lebanon,LBN,Middle east,International displacement,Lebanon,Syrian refugees,https://www.acaps.org/country/Lebanon/crisis/Syrian-refugees,SYR001,Before 2019,More than 2 years
LBN004,,,Lebanon,Socioeconomic crisis in Lebanon,LBN,Middle east,Political and economic crisis,Lebanon,Socioeconomic crisis,https://www.acaps.org/country/Lebanon/crisis/Socioeconomic-crisis,,2020-04-29 00:00:00,305
LBN005,AC-2000-000764-LBN,AC-2000-000764-LBN,Lebanon,Explosion in Beirut ,LBN,Middle east,Industrial Accident,Lebanon,Beirut Explosion,https://www.acaps.org/country/Lebanon/crisis/Beirut-Explosion,,2020-08-21 00:00:00,191
LSO002,,,Lesotho,Drought in Lesotho,LSO,Africa,Drought,Lesotho,Drought,https://www.acaps.org/country/Lesotho/crisis/Drought,REG012,Before 2019,More than 2 years
REG012,,,"Lesotho,Madagascar,Malawi,Mozambique,Namibia,Swaziland,Tanzania,Zambia,Zimbabwe",Southern Africa Regional Food Security Crisis,"LSO, MDG, MWI, MOZ, NAM, SWZ, TZA, ZMB, ZWE",Africa,Regional crisis,Lesotho,Southern Africa Regional Food Security Crisis,https://www.acaps.org/country/Lesotho/crisis/Southern-Africa-Regional-Food-Security-Crisis,,2020-07-02 00:00:00,241
LBY001,,,Libya,Complex crisis in Libya,LBY,Africa,Multiple crisis country,Libya,Complex crisis,https://www.acaps.org/country/Libya/crisis/Complex-crisis,,Before 2019,More than 2 years
LBY002,,,Libya,Mixed migration flows in Libya,LBY,Africa,International displacement,Libya,Mixed Migration,https://www.acaps.org/country/Libya/crisis/Mixed-Migration,,Before 2019,More than 2 years
MDG002,,,Madagascar,Drought in Madagascar,MDG,Africa,Drought,Madagascar,Drought,https://www.acaps.org/country/Madagascar/crisis/Drought,REG012,Before 2019,More than 2 years
MWI002,,,Malawi,Complex crisis in Malawi,MWI,Africa,Complex crisis,Malawi,Complex,https://www.acaps.org/country/Malawi/crisis/Complex,REG012,Before 2019,More than 2 years
MLI001,,,Mali,Complex crisis in Mali,MLI,Africa,Complex crisis,Mali,Complex crisis,https://www.acaps.org/country/Mali/crisis/Complex-crisis,,Before 2019,More than 2 years
MRT002,,,Mauritania,Refugees from Mali in Mauritania,MRT,Africa,International displacement,Mauritania,Malian refugees,https://www.acaps.org/country/Mauritania/crisis/Malian-refugees,MLI001,Before 2019,More than 2 years
MRT003,,,Mauritania,Food Security in Mauritania,MRT,Africa,Drought,Mauritania,Food security,https://www.acaps.org/country/Mauritania/crisis/Food-security,,Before 2019,More than 2 years
MEX001,,,Mexico,Multiple crisis in Mexico,MEX,Americas,Multiple crisis country,Mexico,Country Level,https://www.acaps.org/country/Mexico/crisis/Country-Level,,2019-12-02 00:00:00,454
MEX002,,,Mexico,Criminal Violence in Mexico,MEX,Americas,Other type of violence,Mexico,Criminal Violence,https://www.acaps.org/country/Mexico/crisis/Criminal-Violence,,2019-12-02 00:00:00,454
MEX003,,,Mexico,Mixed Migration in Mexico,MEX,Americas,International displacement,Mexico,Mixed Migration,https://www.acaps.org/country/Mexico/crisis/Mixed-Migration,,2019-12-02 00:00:00,454
MEX004,,,Mexico,Hurricane Eta and Iota in Southern Mexico,MEX,Americas,Tropical cyclone,Mexico,Hurricane Eta/Iota,https://www.acaps.org/country/Mexico/crisis/Hurricane-Eta/Iota,"COL003, GTM003, HND002, NIC002",2020-11-30 00:00:00,90
MAR002,,,Morocco,Mixed migration flows in Morocco,MAR,Africa,International displacement,Morocco,Mixed Migration,https://www.acaps.org/country/Morocco/crisis/Mixed-Migration,,Before 2019,More than 2 years
MOZ001,,,Mozambique,Complex crisis in Mozambique,MOZ,Africa,Complex crisis,Mozambique,Complex crisis in Mozambique,https://www.acaps.org/country/Mozambique/crisis/Complex-crisis-in-Mozambique,,2020-07-02 00:00:00,241
MOZ004,,,Mozambique,Cabo Delgado Islamist Insurgency,MOZ,Africa,Other type of violence,Mozambique,Violent Insurgency in Cabo Delgado,https://www.acaps.org/country/Mozambique/crisis/Violent-Insurgency-in-Cabo-Delgado,,2020-07-02 00:00:00,241
MOZ006,,,Mozambique,Food Security Crisis in Mozambique,MOZ,Africa,Food Security,Mozambique,Food Security Crisis in Mozambique,https://www.acaps.org/country/Mozambique/crisis/Food-Security-Crisis-in-Mozambique,REG012,2020-07-02 00:00:00,241
MOZ007,,,Mozambique,Tropical Cyclone Eloise in Mozambique,MOZ,Africa,Tropical cyclone,Mozambique,Tropical Cyclone Eloise,https://www.acaps.org/country/Mozambique/crisis/Tropical-Cyclone-Eloise,,2021-02-09 00:00:00,19
