,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
PAK001,0,0,0,0,0,0,0,0,0,0,1909,155,155,155,155,155,155,155,155,155,206.4,,
PAK004,0,0,0,0,0,0,0,0,0,0,1889,155,155,155,155,155,155,155,155,155,204.4,,
PAK005,0,0,0,0,0,0,0,0,0,0,642,155,155,155,155,155,155,155,155,155,79.7,,
PAN002,61,61,61,61,61,61,61,61,61,61,61,155,155,155,155,155,155,155,155,155,70.4,,
PER002,0,0,0,0,0,0,0,0,0,0,0,155,155,155,155,155,155,155,155,155,15.5,,
PHL003,186,186,5,5,5,5,5,5,5,5,186,155,155,155,155,155,155,155,155,155,38.1,,
PNG003,94,94,94,61,5,61,61,61,61,94,94,155,155,155,155,155,155,155,155,155,74.7,,
POL002,5,5,5,5,5,5,5,5,5,5,5,158,158,158,158,158,158,158,158,158,20.3,,
PRK001,1134,244,244,37,0,244,244,366,427,427,1919,155,155,155,155,155,155,155,155,155,406.3,,
PSE002,11,11,11,11,11,11,11,11,11,11,11,155,155,155,155,155,155,155,155,155,25.4,,
PSE003,11,11,11,11,11,11,11,11,11,11,11,155,155,155,155,155,155,155,155,155,25.4,,
PSE004,11,11,11,11,11,11,11,11,11,11,11,155,155,155,155,155,155,155,155,155,25.4,,
REG001,299,299,299,4,4,299,299,299,299,299,4,153,153,153,153,153,153,153,153,153,195.9,,
REG002,610,610,610,610,610,610,610,610,610,778,610,154,154,154,154,154,154,154,154,154,581.2,,
REG004,307,307,307,307,307,307,307,307,307,307,1806,155,155,155,155,155,155,155,155,155,441.7,,
REG006,30,30,30,30,30,30,30,30,30,30,1809,155,155,155,155,155,155,155,155,155,220.4,,
REG007,1,1,1,1,1,1,1,1,1,1,611,155,155,155,155,155,155,155,155,155,77.4,,
REG008,1,1,1,1,1,1,1,1,1,1,611,155,155,155,155,155,155,155,155,155,77.4,,
REG011,2,2,2,2,2,2,2,2,2,2,2,155,155,155,155,155,155,155,155,155,17.3,,
REG012,0,0,0,0,0,0,0,0,0,0,0,155,155,155,155,155,155,155,155,155,15.5,,
REG013,121,30,30,30,30,30,30,30,30,30,277,155,155,155,155,155,155,155,155,155,67.2,,
REG014,0,0,0,0,0,0,0,0,0,0,790,154,154,154,154,154,154,154,154,154,94.4,,
REG015,307,307,307,152,152,152,152,152,152,152,307,155,155,155,155,155,155,155,155,155,183.3,,
ROU002,5,5,5,5,5,5,5,5,5,5,5,158,158,158,158,158,158,158,158,158,20.3,,
RUS002,5,5,5,5,5,5,5,5,5,5,5,159,159,159,159,159,159,159,159,159,20.4,,
RWA002,0,0,0,0,0,0,0,0,0,0,0,155,155,155,155,155,155,155,155,155,15.5,,
SDN001,15,15,15,15,15,15,15,15,15,15,335,162,162,162,162,162,162,162,162,162,61.7,,
SDN005,15,15,15,15,15,15,15,15,15,15,960,162,162,162,162,162,162,162,162,162,124.2,,
SEN002,12,12,12,543,608,12,12,12,12,12,543,153,153,153,153,153,153,153,153,153,191.9,,
SLV001,11,11,11,11,11,11,11,11,11,11,11,158,158,158,158,158,158,158,158,158,25.7,,
SOM001,12,12,12,12,12,12,12,12,12,12,12,155,155,155,155,155,155,155,155,155,26.3,,
SOM002,12,12,12,12,12,12,12,12,12,12,12,155,155,155,155,155,155,155,155,155,26.3,,
SSD001,12,12,12,12,12,12,12,12,12,12,12,155,155,155,155,155,155,155,155,155,26.3,,
SVK002,5,5,5,5,5,5,5,5,5,5,5,158,158,158,158,158,158,158,158,158,20.3,,
SWZ001,31,31,31,31,31,31,31,31,31,31,31,158,158,158,158,158,158,158,158,158,43.7,,
SYR001,11,11,11,11,11,11,11,11,11,11,11,155,155,155,155,155,155,155,155,155,25.4,,
SYR002,11,11,11,11,11,11,11,11,11,11,11,155,155,155,155,155,155,155,155,155,25.4,,
TCD001,12,12,12,4,4,12,12,12,12,12,4,153,153,153,153,153,153,153,153,153,23.7,,
TCD003,300,300,300,4,4,300,300,300,300,300,4,153,153,153,153,153,153,153,153,153,196.5,,
TCD004,300,300,300,4,4,300,300,300,300,300,4,153,153,153,153,153,153,153,153,153,196.5,,
TCD005,300,300,300,4,4,300,300,300,300,300,4,153,153,153,153,153,153,153,153,153,196.5,,
THA003,286,5,5,5,5,5,5,5,5,5,5,152,152,152,152,152,152,152,152,152,19.7,,
TLS003,5,5,5,5,5,5,5,5,5,5,5,155,155,155,155,155,155,155,155,155,20,,
TTO002,0,0,0,0,0,0,0,0,0,0,0,154,154,154,154,154,154,154,154,154,15.4,,
TUN002,639,1,1,1,1,1,1,1,1,1,639,167,167,167,167,167,167,167,167,167,81.4,,
TUR001,0,0,0,0,0,0,0,0,0,0,0,155,155,155,155,155,155,155,155,155,15.5,,
TUR002,0,0,0,0,34,0,0,0,0,0,0,155,155,155,155,155,155,155,155,155,18.9,,
TUR003,0,0,0,0,0,0,0,0,0,0,0,155,155,155,155,155,155,155,155,155,15.5,,
TUR004,0,0,0,0,0,213,213,213,213,213,0,155,155,155,155,155,155,155,155,155,122,,
TUR005,0,0,0,0,121,0,0,0,0,0,0,155,155,155,155,155,155,155,155,155,27.6,,
TZA001,0,0,0,0,0,0,0,0,0,0,366,155,155,155,155,155,155,155,155,155,52.1,,
TZA002,0,0,0,0,0,0,0,0,0,0,366,155,155,155,155,155,155,155,155,155,52.1,,
TZA003,0,0,0,777,0,0,0,0,0,0,777,155,155,155,155,155,155,155,155,155,170.9,,
UGA005,1,1,1,1,1425,1,1,1,1,1,1,155,155,155,155,155,155,155,155,155,158.8,,
UKR002,8,8,8,8,8,8,8,8,8,8,8,159,159,159,159,159,159,159,159,159,23.1,,
VEN001,10,10,10,10,10,10,10,10,10,10,10,155,155,155,155,155,155,155,155,155,24.5,,
YEM001,11,11,11,11,11,11,11,11,11,11,11,155,155,155,155,155,155,155,155,155,25.4,,
YEM002,11,11,11,11,11,11,11,11,11,11,11,155,155,155,155,155,155,155,155,155,25.4,,
ZMB002,90,0,0,0,0,0,0,0,0,0,961,156,156,156,156,156,156,156,156,156,111.7,,
ZWE001,0,0,0,0,0,0,0,0,0,0,752,157,157,157,157,157,157,157,157,157,90.9,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,MIN,6.9
,,,,,,,,,,,,,,,,,,,,,,MAX,581.2
