,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the total population affected,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Multiple crises in Sri Lanka,"Socio-political,Food Security,Floods",LKA001,Sri Lanka,LKA,3,1.0136598771419334,5,4,4.5,1,5,4.75,4.4,3.9,0.31764759268502973,1.6,2.75,0,0,0,0,1,7.142857142857143e-07,0,0.5,0.3,1.7
Socio-economic crisis in Sri Lanka,"Socio-political,Food Security",LKA002,Sri Lanka,LKA,3,1.0136598771419334,5,4,4.5,1,5,4.75,4.4,3.9,0.31764759268502973,1.6,2.75,0,0,0,0,0,0,0,0,0,1.6
2023 Floods and Monsoon Rain,Floods,LKA003,Sri Lanka,LKA,2,0.2417070805043647,1.1,1.55,2.7,0.28397694786041655,1.4,2.05,1.8,1.5,0.039149888143176735,0.1,0.8,0,0,0,0,1,2.0408163265306123e-05,1,1,0.5,0.7
Displacement from Russia-Ukraine conflict in Lithuania,"Conflict,Displacement",LTU002,Lithuania,LTU,3,1,5,4,1.5,1,5,3.25,3.7,0.2,0.01427079707622694,0,0.1,2.3,1,5,3.7,0,0,0,0,2.3,1.3
Displacement from Russia-Ukraine conflict in Latvia,"Conflict,Displacement",LVA002,Latvia,LVA,3,1,5,4,0.9,1,5,2.95,3.5,0.3,0.024909185262065387,0.1,0.2,2.4,1,5,3.7,0,0,0,0,2.3,1.4
Multiple crises in Morocco,"Displacement,Earthquake",MAR001,Morocco,MAR,4.4,1,5,4.7,5,1,5,5,4.9,3.3,0.0739264929481466,0.3,1.7999999999999998,3.9,0.18439716312056736,5,4.5,3.5,0.00010283687943262411,5,4.3,4.4,3.4
Mixed migration flows in Morocco,Displacement,MAR002,Morocco,MAR,4.4,1,5,4.7,5,1,5,5,4.9,0,0.0005243013684265716,0,0,1.9,1,5,3.5,3.4,0.0124,5,4.2,3.9,2.4
Al Haouz Earthquake in Morocco,Earthquake,MAR003,Morocco,MAR,2.9,0.11946224512659646,0.5,1.7,2.7,0.17301945158076862,0.8,1.75,1.7,3.2,0.42424242424242425,2.1,2.6500000000000004,3.9,0.17857142857142858,5,4.5,0,0,0,0,2.9,2.8
DIsplacement from Russia-Ukraine conflict in Moldova,"Displacement,Conflict",MDA002,Moldova,MDA,2.5,1,5,3.75,1.4,1,5,3.2,3.5,1,0.04441098983816334,0.2,0.6,3,1,5,4,0,0,0,0,2.5,1.6
Multiple crisis in Madagascar,"Drought,Cyclone",MDG001,Madagascar,MDG,3.9,0.4006428325885184,1.9,2.9,3.1,0.27472242902922994,1.3,2.2,2.6,4,1,5,4.5,2.5,0.006244845057146223,0.2,1.4,0,0,0,0,0.7,3.1
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,3.6,0.2573942935716741,1.2,2.4,2.1,0.14275078496746835,0.7,1.4,1.9,3.3,0.6521541950113379,3.2,3.25,1.3,0.0027816411682892906,0.1,0.7,x,x,x,x,0.7,2.2
Tropical cyclone Freddy in Madagascar,Cyclone,MDG008,Madagascar,MDG,3.9,0.4006428325885184,1.9,2.9,3.1,0.27472242902922994,1.3,2.2,2.6,4,1,5,4.5,2.4,0.005302226935312832,0.2,1.3,1.8,2.0030635088959585e-06,0.1,1,1.2,3.3
Multiple crisis in Mexico,"Violence,Displacement",MEX001,Mexico,MEX,5,1,5,5,5,1,5,5,5,2.1,0.004815535198895721,0,1.05,4,1,5,4.5,5,0.005493485342019544,5,5,4.8,3.5
Criminal Violence in Mexico,"Violence,Displacement",MEX002,Mexico,MEX,5,1,5,5,5,1,5,5,5,1.8,0.0030273560045175054,0,0.9,3.7,1,5,4.4,5,0.007976683937823834,5,5,4.7,3.4
Mixed Migration in Mexico,Displacement,MEX003,Mexico,MEX,5,0.5966979603384861,2.9,3.95,5,0.4542994729577111,2.2,3.6,3.8,1.4,0.003936124298662063,0,0.7,3.4,1,5,4.2,2.4,0.0002105263157894737,5,3.7,4,2.7
Complex crisis in Mali,Conflict,MLI001,Mali,MLI,5,1.0163908899433696,5,5,4.5,1,5,4.75,4.9,3.9,0.3145525360715234,1.5,2.7,4.6,0.21936119318981287,5,4.8,4.8,0.0003369916983255945,5,4.9,4.9,4.1
Multiple crises in Myanmar,"Socio-political,Conflict,Violence",MMR001,Myanmar,MMR,4.7,1.0366310692999525,5,4.85,5,1,5,5,4.9,5,1,5,5,5,0.07192637598284489,2.4,3.7,5,0.00015636168691922803,5,5,4.5,4.8
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,2.6,0.056350069713637825,0.2,1.4000000000000001,1.8,0.06204431736954968,0.3,1.05,1.2,3.4,1,5,4.2,4.4,0.3683755760368664,5,4.7,4.3,0.0003024193548387097,5,4.7,4.7,4.5
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,3.6,0.2292123125009576,1.1,2.35,2.3,0.08708005718370264,0.4,1.3499999999999999,1.9,3.6,1,5,4.3,2.8,0.018879540324235583,0.6,1.7,4.5,0.00030207264518776933,5,4.8,3.7,4
Post-coup conflict in Myanmar,"Violence,Socio-political,Conflict",MMR004,Myanmar,MMR,4.7,1.0366310692999525,5,4.85,5,1,5,5,4.9,5,1,5,5,4.9,0.04742673338098642,1.6,3.3,5,0.00011129378127233739,5,5,4.3,4.7
2024 Dzud,Other seasonal event,MNG004,Mongolia,MNG,5,0.8089851281567274,4,4.5,0,0.2793243665936816,1.4,0.7,3.1,2.1,0.6103023516237402,3,2.55,0,0,0,0,0,0,0,0,0,1.4
Multiple Crises in Mozambique,"Conflict,Displacement,Cyclone",MOZ001,Mozambique,MOZ,4.8,1,5,4.9,5,1,5,5,5,5,1,5,5,4.1,0.020465304237385983,0.7,2.4,3.7,1.0449139822191432e-05,0.5,2.1,2.3,4
Cabo Delgado Islamist Insurgency,"Conflict,Displacement",MOZ004,Mozambique,MOZ,4.1,0.3568440194308095,1.7,2.9,3.5,0.33437247431012584,1.6,2.55,2.7,4.3,1,5,4.65,4,0.05032803867403315,1.7,2.9,3.3,1.8646408839779005e-05,0.9,2.1,2.5,3.8
