,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Mixed Migration in Mexico,Displacement,MEX003,Mexico,MEX,57.696,0.101,0.128,0,0,1.8,0.9960466119982736,0.0017436340094950367,0.0022097539922313336,0,0,1,1.4
Complex crisis in Mali,Conflict,MLI001,Mali,MLI,15.486,0,2.923,2.482,1.703,4.8,0.6854032043905461,0,0.12937062937062938,0.10985217314331239,0.07537399309551208,5,4.9
Multiple crises in Myanmar,"Socio-political,Conflict,Violence",MMR001,Myanmar,MMR,0,37.366,13.479,5.115,x,5,0,0.6677269478198713,0.24086847748391707,0.09140457469621158,x,4,4.5
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,0,1.791,0.437,1.244,x,3.7,0,0.5158410138248848,0.12586405529953917,0.358294930875576,x,4,3.85
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,0,3.065,1.429,0.379,x,3.8,0,0.6289759901498051,0.2932485122101375,0.07777549764005746,x,4,3.9
Post-coup conflict in Myanmar,"Violence,Socio-political,Conflict",MMR004,Myanmar,MMR,0,40.855,11.613,3.492,x,5,0,0.7300750536097212,0.20752323087919944,0.06240171551107934,x,4,4.5
2024 Dzud,Other seasonal event,MNG004,Mongolia,MNG,0.348,0.345,0.123,0.077,x,2.2,0.3896976483762598,0.38633818589025753,0.13773796192609183,0.08622620380739082,x,4,3.1
Multiple Crises in Mozambique,"Conflict,Displacement,Cyclone",MOZ001,Mozambique,MOZ,0,32.39,1.086,1.168,x,3.9,0,0.9349382288419351,0.0313474194665743,0.03371435169149059,x,3,3.45
Cabo Delgado Islamist Insurgency,"Conflict,Displacement",MOZ004,Mozambique,MOZ,0,9.884,0.54,1.16,x,3.7,0,0.8532458563535912,0.04661602209944751,0.10013812154696132,x,4,3.85
Refugees from Mali in Mauritania,Displacement,MRT002,Mauritania,MRT,1.904,0,0.119,x,x,1.8,0.9407114624505929,0,0.058794466403162056,x,x,3,2.4
Food Security in Mauritania,"Drought,Floods",MRT003,Mauritania,MRT,3.194,1.023,0.358,0.007,0,2.6,0.6970755128764732,0.2232649498035792,0.07813182016586644,0.0015277171540811873,0,3,2.8
Complex crisis in Malawi,"Drought,Socio-political,Cyclone",MWI002,Malawi,MWI,9.123,6.167,4.136,0.266,0,4.4,0.46328458257160265,0.31317286207596995,0.21003453178955922,0.01350802356286817,0,3,3.7
Tropical Cyclone Freddy in Malawi,Cyclone,MWI005,Malawi,MWI,5.451,0.663,1.637,0,0,3.7,0.7032640949554896,0.08553735001935234,0.21119855502515805,0,0,3,3.35
International Refugees in Malaysia,Displacement,MYS001,Malaysia,MYS,0,10.788,0.187,x,x,2.1,0,0.982871720116618,0.017037172011661807,x,x,2,2.05
Food Security Crisis in Namibia,Drought,NAM002,Namibia,NAM,1.004,0.943,0.63,0.065,0,3.1,0.38001514004542014,0.35692657077971235,0.2384557153671461,0.024602573807721424,0,3,3.05
Multiple crises in Niger,"Conflict,Displacement",NER001,Niger,NER,15.417,7.301,3.311,0.126,0,4.2,0.5894475243739247,0.2791435671955649,0.126591473905563,0.004817434524947429,0,3,3.6
Lake Chad basin crisis in Niger,Conflict,NER002,Niger,NER,0.22,0,0.057,0.512,0,2.9,0.27918781725888325,0,0.07233502538071065,0.649746192893401,0,4,3.45
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,5.801,0,0.876,0.873,0,3.7,0.7683443708609271,0,0.11602649006622516,0.11562913907284768,0,4,3.85
Nigerian Refugees,Displacement,NER004,Niger,NER,3.379,0,0.823,0,0,3.2,0.8041408852927178,0,0.19585911470728223,0,0,3,3.1
Complex crisis in Nigeria,"Conflict,Displacement,Violence",NGA001,Nigeria,NGA,104.75,63.958,23.706,1.108,0,5,0.5412793311389343,0.3304930163339758,0.12249706753202462,0.005725417650615172,0,3,4
Middle belt conflict,Violence,NGA003,Nigeria,NGA,9.555,5.977,2.468,0,0,4,0.5308333333333334,0.33205555555555555,0.1371111111111111,0,0,3,3.5
Lake Chad basin crisis in Nigeria,"Conflict,Displacement",NGA004,Nigeria,NGA,0,8.2,5.6,2.1,0.2,4.8,0,0.5093167701863354,0.34782608695652173,0.13043478260869565,0.012422360248447204,4,4.4
Northwest Banditry,"Violence,Displacement",NGA007,Nigeria,NGA,19.508,15.815,6.994,0.431,0,4.8,0.45634883503321794,0.3699588284832039,0.16360999344998597,0.010082343033592215,0,3,3.9
Cameroonian Refugees in Nigeria,Displacement,NGA008,Nigeria,NGA,12.588,0,0.087,x,x,1.6,0.9931360946745562,0,0.006863905325443787,x,x,1,1.3
Socioeconomic crisis in Nicaragua,Socio-political,NIC001,Nicaragua,NIC,6.698,0.25,x,x,x,x,0.9640184225676454,0.03598157743235463,x,x,x,x,x
Karnali Earthquake,Earthquake,NPL003,Nepal,NPL,10.338,1.384,0.25,0,0,2.3,0.8635148680253926,0.11560307383895757,0.02088205813564985,0,0,2,2.15
Complex crisis in Pakistan,"Displacement,Conflict",PAK001,Pakistan,PAK,145.218,73.815,18.503,2.097,0,5,0.6060016775652769,0.30803353461334626,0.07721390626499688,0.008750881556379965,0,3,4
Kashmir conflict in Pakistan,Conflict,PAK004,Pakistan,PAK,4.179,x,x,x,x,x,1.0000000000000002,x,x,x,x,x,x
Floods in Pakistan ,Other seasonal event,PAK005,Pakistan,PAK,0,12.4,20.57,0.03,0,5,0,0.37575757575757573,0.6233333333333333,0.0009090909090909091,0,3,4
Venezuela displacement in Panama,Displacement,PAN002,Panama,PAN,0,0.023,0.036,0,0,0.9,0,0.39655172413793105,0.6206896551724138,0,0,3,1.95
Venezuela displacement in Peru,Displacement,PER002,Peru,PER,19.429,12.571,2.05,0,0,3.9,0.5706020558002937,0.36919236417033774,0.06020558002936857,0,0,3,3.45
Mindanao conflict,"Conflict,Violence",PHL003,Philippines,PHL,26.102,0,0.15,x,x,2,0.9942861496266951,0,0.005713850373304891,x,x,1,1.5
