INFORM Severity Index - all crises. Release: April 2023,,,,,,,,,,,,,,,,,,,,
CRISIS,CRISIS ID,COUNTRY,ISO3,DRIVERS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical,Human,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Weights,,,,,,,,,,,,,,,,,,,,
(a-z),,,(a-z),,(1-5),(1-5),(Very Low-Very High),(Decreasing-Stable-Increasing),(Very Low-Very High),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),,
Cabo Delgado Islamist Insurgency,MOZ004,Mozambique,MOZ,"Conflict,Displacement",3.4,4,High,Stable,High,3.6,2.7,4,3.35,3.7,3,3.4,3.7,3,Africa,2023-04-30 00:00:00
Floods in Maputo province in Mozambique,MOZ009,Mozambique,MOZ,Floods,1.5,2,Low,-,High,1.7,1.1,2,0.7,0.4,1,2.6,3.7,1,Africa,2023-02-23 00:00:00
Tropical Cyclone Freddy in Mozambique,MOZ010,Mozambique,MOZ,Cyclone,2.2,3,Medium,-,Very High,2.8,3.3,2.5,1.65,1.3,2,2.6,3.7,1,Africa,2023-04-30 00:00:00
Refugees from Mali in Mauritania,MRT002,Mauritania,MRT,Displacement,2.1,3,Medium,Decreasing,Very High,2.6,2,2.9,1.85,1.7,2,1.9,2.2,1.5,Africa,2023-04-30 00:00:00
Food Security in Mauritania,MRT003,Mauritania,MRT,"Drought,Floods",2.7,3,Medium,Stable,High,2.7,4.3,1.4,3.05,3.1,3,2.1,2.2,2,Africa,2023-04-30 00:00:00
Complex crisis in Malawi,MWI002,Malawi,MWI,"Drought,Socio-political,Cyclone",3.4,4,High,Increasing,Very High,3.8,4.4,3.5,3.8,4.6,3,2.4,2.3,2.5,Africa,2023-04-28 00:00:00
Tropical Cyclone Freddy in Malawi,MWI005,Malawi,MWI,Cyclone,2.8,3,Medium,-,Very High,3.2,2.3,3.6,3,3,3,2.2,2.3,2,Africa,2023-04-28 00:00:00
International Refugees in Malaysia,MYS001,Malaysia,MYS,Displacement,2.3,3,Medium,Stable,Medium,2.8,1.7,3.3,2.05,2.1,2,2.1,1.7,2.5,Asia,2023-04-27 00:00:00
Food Security Crisis in Namibia,NAM002,Namibia,NAM,Drought,2.2,3,Medium,Decreasing,High,2.6,4.3,1.3,2.65,2.3,3,1.3,1.5,1,Africa,2023-04-23 00:00:00
Multiple crises in Niger,NER001,Niger,NER,"Conflict,Displacement",3.9,4,High,Increasing,Very High,3.9,4.9,3.1,4.1,4.2,4,3.5,2.8,4,Africa,2023-04-27 00:00:00
Boko Haram in Niger,NER002,Niger,NER,Conflict,3.1,4,High,Increasing,Very High,3.2,1.2,3.9,3,3,3,3.2,2.8,3.5,Africa,2023-04-27 00:00:00
Mali/Burkina Faso conflict,NER003,Niger,NER,Conflict,3.6,4,High,Stable,High,2.9,2.1,3.3,3.9,3.8,4,3.5,2.8,4,Africa,2023-04-27 00:00:00
Nigerian Refugees,NER004,Niger,NER,Displacement,2.6,3,Medium,Decreasing,High,1.7,1.1,2,3,3,3,2.7,2.8,2.5,Africa,2023-04-27 00:00:00
Complex crisis in Nigeria,NGA001,Nigeria,NGA,"Conflict,Displacement,Violence",4.1,5,Very High,Stable,High,4.5,5,4.1,4,5,3,4,3.4,4.5,Africa,2023-04-30 00:00:00
Middle belt conflict,NGA003,Nigeria,NGA,Violence,3.4,4,High,Increasing,Medium,3.1,2.2,3.5,3.45,3.9,3,3.5,3.4,3.5,Africa,2023-04-30 00:00:00
Boko Haram crisis in Nigeria,NGA004,Nigeria,NGA,"Conflict,Displacement",4.2,5,Very High,Increasing,Medium,4.2,2.2,4.8,4.45,4.9,4,3.7,3.4,4,Africa,2023-04-30 00:00:00
Northwest Banditry,NGA007,Nigeria,NGA,"Violence,Displacement",3.7,4,High,Stable,High,3.4,2.8,3.6,3.75,4.5,3,3.7,3.4,4,Africa,2023-04-30 00:00:00
Cameroonian Refugees in Nigeria,NGA008,Nigeria,NGA,Displacement,2.3,3,Medium,Increasing,Medium,2.4,2,2.6,1.35,1.7,1,3.5,3.4,3.5,Africa,2023-04-30 00:00:00
Socioeconomic crisis in Nicaragua,NIC001,Nicaragua,NIC,Socio-political,x,x,x,-,High,2.9,4,2.1,x,x,x,2.9,2.7,3,Americas,2023-01-24 00:00:00
Complex crisis in Pakistan,PAK001,Pakistan,PAK,"Displacement,Conflict",3.8,4,High,Stable,High,3.9,5,3.1,4,5,3,3.4,3.3,3.5,Asia,2023-04-30 00:00:00
Kashmir conflict in Pakistan,PAK004,Pakistan,PAK,Conflict,x,x,x,-,Very Low,0.4,1,0,x,x,x,2.9,3.3,2.5,Asia,2023-04-30 00:00:00
Floods in Pakistan ,PAK005,Pakistan,PAK,Other seasonal event,3.6,4,High,Stable,High,4,3.8,4.1,4,5,3,2.5,3.3,1.5,Asia,2023-04-30 00:00:00
Venezuela displacement in Panama,PAN002,Panama,PAN,Displacement,2.3,3,Medium,Stable,High,2.9,2.6,3,2.2,1.4,3,1.9,1.8,2,Americas,2023-02-21 00:00:00
Venezuela displacement in Peru,PER002,Peru,PER,Displacement,3.2,4,High,Stable,Very High,3.9,5,3,3.35,3.7,3,2.3,2.5,2,Americas,2023-02-28 00:00:00
Mindanao conflict,PHL003,Philippines,PHL,"Conflict,Violence",2.2,3,Medium,Stable,High,2.8,3,2.7,1.4,1.8,1,2.7,2.9,2.5,Asia,2023-04-27 00:00:00
Typhoon Nalgae,PHL012,Philippines,PHL,Cyclone,2,2,Low,Decreasing,Very High,2.9,4.4,1.8,1,0,2,2.7,2.9,2.5,Asia,2023-04-27 00:00:00
"LPAs, Northeast Monsoon, and Shear Line",PHL013,Philippines,PHL,"Floods,Other seasonal event",1.6,2,Low,Decreasing,Very High,2.3,3.6,1.4,0.5,0,1,2.7,2.9,2.5,Asia,2023-04-27 00:00:00
Highlands Violence,PNG003,Papua New Guinea,PNG,Earthquake,2.6,3,Medium,Stable,High,2.2,1.8,2.4,2.7,2.4,3,2.7,2.4,3,Pacific,2023-04-29 00:00:00
Displacement from Ukraine conflict in Poland,POL002,Poland,POL,"Displacement,Conflict",2.5,3,Medium,Decreasing,Very High,2.9,2,3.3,3.35,3.7,3,0.9,0.8,1,Europe,2023-04-27 00:00:00
Complex crisis in DPRK,PRK001,DPRK,PRK,"Socio-political,Floods,Other seasonal event,Food Security",3.7,4,High,Stable,Medium,4,4.6,3.6,4.5,5,4,2.3,2.6,2,Asia,2023-04-30 00:00:00
Conflict in Palestine,PSE002,Palestine,PSE,"Conflict,Socio-political,Violence",3.8,4,High,Increasing,High,4,3.4,4.2,3.95,3.9,4,3.3,2.3,4,Middle east,2023-04-25 00:00:00
Regional Boko Haram Crisis,REG001,"Nigeria,Niger,Chad,Cameroon","NGA,NER,TCD,CMR",0,4.4,5,Very High,Stable,High,4.4,3.8,4.7,4.5,5,4,4.4,3.6,5,"Africa,Africa,Africa,Africa",2023-04-27 00:00:00
Venezuela Regional Crisis,REG002,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago,Chile,Dominican Republic,Panama","VEN,BRA,COL,ECU,PER,TTO,CHL,DOM,PAN",0,3.9,4,High,Stable,Medium,3.6,3.4,3.7,4,5,3,3.8,2.7,4.5,"Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas",2022-10-31 00:00:00
Regional Kashmir conflict,REG003,"India,Pakistan","IND,PAK",0,x,x,x,-,Very Low,3.3,2.1,3.7,x,x,x,2.8,3,2.5,"Asia,Asia",2023-01-31 00:00:00
Syrian Regional Crisis,REG004,"Syria,Türkiye,Iraq,Egypt,Jordan,Lebanon","SYR,TUR,IRQ,EGY,JOR,LBN",0,4.3,5,Very High,Stable,High,3.9,3,4.2,4.5,5,4,4.1,3.6,4.5,"Middle east,Middle east,Middle east,Africa,Middle east,Middle east",2023-04-26 00:00:00
Eastern Mediterranean Route ,REG006,"Türkiye,Greece","TUR,GRC",0,2.4,3,Medium,Increasing,Medium,2.7,3,2.6,2.1,2.2,2,2.5,2.9,2,"Middle east,Europe",2023-04-26 00:00:00
Central Mediterranean Route,REG007,"Algeria,Tunisia,Libya,Italy","DZA,TUN,LBY,ITA",0,3,3,Medium,Stable,Very High,3.8,4.4,3.5,2.25,3.5,1,3.4,2.6,4,"Africa,Africa,Africa,Europe",2023-04-27 00:00:00
Western Mediterranean Route,REG008,"Algeria,Morocco,Spain","DZA,MAR,ESP",0,2.7,3,Medium,Increasing,Very High,3.6,4.5,3,1.85,2.7,1,3.1,2.7,3.5,"Africa,Africa,Europe",2023-04-27 00:00:00
Rohingya Regional Crisis,REG011,"Bangladesh,Myanmar","BGD,MMR",0,3.9,4,High,Increasing,Very High,3.5,1.3,4.2,4.1,4.2,4,3.8,3.5,4,"Asia,Asia",2023-04-27 00:00:00
Southern Africa Regional Food Security Crisis,REG012,"Lesotho,Madagascar,Malawi,Namibia,Eswatini,Zambia,Zimbabwe,Tanzania","LSO,MDG,MWI,NAM,SWZ,ZMB,ZWE,TZA",0,3.6,4,High,Increasing,Very High,3.5,4,3.2,4,5,3,3.1,2.6,3.5,"Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa",2023-04-30 00:00:00
Nagorno-Karabakh Conflict,REG013,"Armenia,Azerbaijan","ARM,AZE",0,1.8,2,Low,Stable,Medium,2.3,2,2.5,1.35,0.7,2,1.9,2.2,1.5,"Middle east,Middle east",2023-04-30 00:00:00
Eastern Africa Regional Drought Crisis,REG014,"Ethiopia,Somalia,Kenya","ETH,SOM,KEN",Drought,4.4,5,Very High,Increasing,High,4.2,4.3,4.2,4.5,5,4,4.5,3.8,5,"Africa,Africa,Africa",2023-02-28 00:00:00
Turkiye / Syria earthquake,REG015,"Türkiye,Syria","TUR,SYR",Earthquake,3.7,4,High,-,High,4,2.6,4.5,3.3,3.6,3,4.2,3.9,4.5,"Middle east,Middle east",2023-04-03 00:00:00
Displacement from Ukraine conflict in Romania,ROU002,Romania,ROU,"Conflict,Displacement",1.4,2,Low,Decreasing,Very High,1.7,2,1.6,1.35,1.7,1,1.2,1.3,1,Europe,2023-04-27 00:00:00
Burundi and DRC refugees in Rwanda,RWA002,Rwanda,RWA,Displacement,2.4,3,Medium,Stable,Medium,2.5,2.2,2.7,2.4,1.8,3,2.3,3,1.5,Africa,2023-03-17 00:00:00
Complex crisis in Sudan,SDN001,Sudan,SDN,"Displacement,Violence,Floods",4.4,5,Very High,Stable,Very High,4.4,4.8,4.2,4.5,5,4,4.1,4.2,4,Africa,2023-04-30 00:00:00
Refugees in Sudan,SDN005,Sudan,SDN,Displacement,3.3,4,High,Stable,Very High,3.3,2.2,3.7,3.2,3.4,3,3.3,4.2,2,Africa,2023-04-30 00:00:00
Violence in Darfur and Kordofan regions,SDN008,Sudan,SDN,Violence,4,4,High,Stable,High,3.7,3.1,3.9,4.4,4.8,4,3.5,4.2,2.5,Africa,2023-04-30 00:00:00
Drought in Senegal,SEN002,Senegal,SEN,Drought,2.3,3,Medium,Stable,Very High,2.9,4.5,1.6,2.55,3.1,2,1.6,2.2,1,Africa,2023-04-27 00:00:00
Complex crisis in El Salvador,SLV001,El Salvador,SLV,"Displacement,Violence,Floods,Drought",3.1,4,High,Decreasing,High,3.3,3.7,3,3.2,3.4,3,2.7,2.3,3,Americas,2023-03-01 00:00:00
Complex crisis in Somalia,SOM001,Somalia,SOM,"Conflict,Displacement,Floods,Drought",4.7,5,Very High,Increasing,Very High,4.8,4.7,4.9,4.95,4.9,5,4.2,3.9,4.5,Africa,2023-04-27 00:00:00
Mixed Migration Flows in Somalia,SOM002,Somalia,SOM,Displacement,1.8,2,Low,Decreasing,High,1.6,1.5,1.6,0.95,0.9,1,3.3,3.9,2.5,Africa,2023-04-27 00:00:00
Complex crisis in South Sudan,SSD001,South Sudan,SSD,"Conflict,Floods,Displacement",4.4,5,Very High,Stable,High,4.6,4.6,4.6,4.5,5,4,4.2,3.8,4.5,Africa,2023-04-26 00:00:00
Displacement from Ukraine conflict in Slovakia,SVK002,Slovakia,SVK,"Displacement,Conflict",1.8,2,Low,Decreasing,Very High,1.6,1.5,1.6,2.4,1.8,3,1.1,1.1,1,Europe,2023-04-26 00:00:00
Food Security Crisis in Eswatini,SWZ001,Eswatini,SWZ,Drought,2.3,3,Medium,Stable,Medium,2,3.1,1.4,2.7,2.4,3,1.8,2.5,1,Africa,2023-04-23 00:00:00
Syrian conflict,SYR001,Syria,SYR,"Conflict,Displacement,Violence",4.6,5,Very High,Stable,High,4.8,4.5,4.9,4.5,5,4,4.5,4.4,4.5,Middle east,2023-04-25 00:00:00
