,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Crisis,Crisis ID,Trend,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00
CAR,Complex crisis in CAR,CAF001,Stable,-,4,4,4,4,4,4,4,4,4,3.9,3.9,3.9,3.9,4,4,4,4,4,4,4,4,4,4
CAR,Floods in CAR,CAF002,-,-,-,-,-,-,-,-,-,-,-,-,2.3,2.3,2.3,2.3,2.3,-,-,-,-,-,-,-,-
Chile,N/A,CHL001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
China,N/A,CHN001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
China,Floods in China,CHN002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.9,2.9,2.9,3,-,-
Côte d'Ivoire,N/A,CIV001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cameroon,Multiple crises in Cameroon,CMR001,Increasing,-,4,4,4.1,4.1,4,4.1,3.9,4,4,4,4,4,4,3.6,3.6,3.6,3.6,3.6,3.7,3.7,3.7,3.7,3.7
Cameroon,Boko Haram in Cameroon,CMR002,Decreasing,-,3.6,3.6,3.8,3.8,3.8,3.8,3.8,3.8,3.7,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.2,3.2,3.2,3.2,3.2
Cameroon,Anglophone Crisis in Cameroon,CMR003,Increasing,-,3.2,3.2,3.5,3.5,3.5,3.5,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3,3,3,3,3,3.3,3.3,3.3,3.4,3.4
Cameroon,CAR refugees in Cameroon,CMR004,Stable,-,3.3,3.3,3.1,3.1,3.1,3.1,2.7,2.8,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.7,2.6,2.6,2.6,2.6
DRC,Complex crisis in DRC,COD001,Increasing,-,4.4,4.4,4.4,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.5,4.5,4.5
DRC,Floods in DRC,COD002,-,-,-,-,-,-,-,-,-,-,-,-,2.7,2.7,2.5,2.7,2.7,-,-,-,-,-,-,-,-
DRC,Floods in south-eastern DRC,COD003,Increasing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.4,2.6,2.6,2.6,2.6,2.6,2.6
Congo,Multiple crises in Congo,COG001,-,-,-,-,-,-,-,-,-,-,-,-,x,x,x,x,x,-,-,-,-,-,-,-,-
Congo,Pool conflict,COG002,-,-,2.5,2.5,2.4,2.4,2.4,2.4,2.4,2.4,2.4,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.7,2.3,-,-
Congo,Floods in Congo,COG003,-,-,-,-,-,-,-,-,-,-,-,-,x,x,x,x,x,-,-,-,-,-,-,-,-
Congo,Floods in Congo,COG004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.2,2.2
Cook islands,N/A,COK001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Colombia,Complex crisis in Colombia,COL001,Decreasing,-,3.9,3.9,4,4,4,4,4,4,4,4,4,4,4,4,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.1,3.9
Colombia,Venezuela displacement in Colombia,COL002,Stable,-,3.5,3.5,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
Colombia,Hurricane Eta and Iota in Colombia,COL003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.2,2
Comoros,N/A,COM001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Comoros,Tropical Cyclone Kenneth in Comoros,COM002,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cape Verde,N/A,CPV001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Costa Rica,N/A,CRI001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Costa Rica,Nicaraguan refugees in Costa Rica,CRI002,Increasing,-,-,-,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1.3,1.2,1,1,1,1,1,1,1.1,1.1,1.1,1.1
Cuba,N/A,CUB001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cyprus,N/A,CYP001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Djibouti,Multiple crises in Djibouti,DJI001,Increasing,-,2.6,2.9,2.9,-,-,-,-,-,-,-,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3,3
Djibouti,Mixed migration in Djibouti,DJI002,Increasing,-,1.5,1.5,1.7,1.7,1.7,1.7,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.7,1.7
Djibouti,Drought in Djibouti,DJI003,Increasing,-,2.6,2.8,2.8,2.9,2.8,2.8,2.7,2.7,2.7,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.9,2.9,3,3
Djibouti,Floods in Djibouti,DJI004,-,-,-,-,-,-,-,-,-,-,-,-,2.3,2.3,2.3,2.3,2.3,2.3,2.3,-,-,-,-,-,-
Dominica,N/A,DMA001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dominican Republic,N/A,DOM001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Algeria,Multiple crises in Algeria,DZA001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Algeria,Mixed migration flows in Algeria,DZA002,-,-,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Algeria,Sahrawi refugees in Algeria,DZA003,Increasing,-,2.2,2.2,1.6,1.6,1.6,1.6,1.6,1.6,1.6,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.3,2.3
Algeria,Multiple crises in Algeria,DZA004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,x,x,x,x,x,x,x
Ecuador,N/A,ECU001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ecuador,Venezuela displacement in Ecuador,ECU002,Stable,-,2.1,2.1,2.3,2.3,2.4,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.4,2.5,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
Egypt,N/A,EGY001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
