,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Middle belt conflict,Violence,NGA003,Nigeria,NGA,13.837,0,1.528,0.168,0,3.7,0.8908704609837754,0,0.09837754313674993,0.010816379088333763,0,3,3.35
Boko Haram crisis in Nigeria,"Conflict,Displacement",NGA004,Nigeria,NGA,0,7.651,4.6,3.8,0,4.9,0,0.4766681203663323,0.28658650551367515,0.23674537411999252,0,4,4.45
Northwest Banditry,"Violence,Displacement",NGA007,Nigeria,NGA,34.785,0,6.325,0.42,0,4.7,0.8375671185379596,0,0.1522958753702054,0.010112927692566998,0,3,3.85
Cameroonian Refugees in Nigeria,Displacement,NGA008,Nigeria,NGA,12.589,0,0.086,0,0,1.6,0.993214990138067,0,0.006785009861932939,0,0,1,1.3
Socioeconomic crisis in Nicaragua,Socio-political,NIC001,Nicaragua,NIC,6.001,0.2,x,x,x,x,0.9677471375584583,0.032252862441541685,x,x,x,x,x
Complex crisis in Pakistan,"Displacement,Conflict",PAK001,Pakistan,PAK,126.445,71.444,28.979,2.621,0,5,0.550985014532287,0.31131775379212073,0.12627620495971484,0.01142102671587745,0,3,4
Kashmir conflict in Pakistan,Conflict,PAK004,Pakistan,PAK,x,x,x,x,x,x,x,x,x,x,x,x,x
Floods in Pakistan ,Other seasonal event,PAK005,Pakistan,PAK,0,12.4,20.57,0.03,0,5,0,0.37575757575757573,0.6233333333333333,0.0009090909090909091,0,3,4
Venezuela displacement in Panama,Displacement,PAN002,Panama,PAN,0.072,0,0.073,0,0,1.4,0.496551724137931,0,0.503448275862069,0,0,3,2.2
Venezuela displacement in Peru,Displacement,PER002,Peru,PER,23.278,8.381,1.7,0,0,3.7,0.697802691927216,0.25123654785814925,0.050960760214634734,0,0,3,3.35
Multiple crises in the Philippines,"Conflict,Cyclone,Violence,Floods,Other seasonal event",PHL001,Philippines,PHL,100.791,8.016,0.226,0,0,2.3,0.9244082066897178,0.0735190263498207,0.0020727669604615117,0,0,2,2.15
Mindanao conflict,"Conflict,Violence",PHL003,Philippines,PHL,26.142,0,0.159,0,0,2,0.9958098430595764,0,0.006056681395703184,0,0,1,1.5
Typhoon Nalgae,Cyclone,PHL012,Philippines,PHL,89.635,6.273,0.055,0,0,1.2,0.9340676517788291,0.06536962547675121,0.0005731435359829933,0,0,2,1.6
"LPAs, Northeast Monsoon, and Shear Line","Floods,Other seasonal event",PHL013,Philippines,PHL,49.426,1.637,0.119,0,0,1.8,0.9657099314198628,0.03198452550751255,0.0023250815732400697,0,0,1,1.4
Highlands Violence,Earthquake,PNG003,Papua New Guinea,PNG,2.59,0,0.233,0.032,0,2.4,0.9071803852889667,0,0.08161120840630473,0.011208406304728547,0,3,2.7
Displacement from Ukraine conflict in Poland,"Displacement,Conflict",POL002,Poland,POL,0.36,0,1.563,0,0,3.7,0.187207488299532,0,0.8127925117004681,0,0,3,3.35
Complex crisis in DPRK,"Socio-political,Floods,Other seasonal event,Food Security",PRK001,DPRK,PRK,0,15.12,4.97,5.459,0,5,0,0.5891062105509234,0.19364139328294241,0.21269383620353777,0,4,4.5
Conflict in Palestine,"Conflict,Socio-political,Violence",PSE002,Palestine,PSE,0,3.255,1.974,0.126,0,3.9,0,0.6078431372549019,0.3686274509803922,0.023529411764705882,0,3,3.45
