,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Multiple crises in Niger,"Conflict,Displacement",NER001,Niger,NER,9.399,0,1.756,1.385,0,4.2,0.7495215311004785,0,0.14003189792663476,0.11044657097288677,0,4,4.1
Lake Chad basin crisis in Niger,Conflict,NER002,Niger,NER,0.22,0,0.057,0.512,0,2.9,0.27918781725888325,0,0.07233502538071065,0.649746192893401,0,4,3.45
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,5.801,0,0.876,0.873,0,3.7,0.7683443708609271,0,0.11602649006622516,0.11562913907284768,0,4,3.85
Nigerian Refugees,Displacement,NER004,Niger,NER,3.379,0,0.823,0,0,3.2,0.8041408852927178,0,0.19585911470728223,0,0,3,3.1
Complex crisis in Nigeria,"Conflict,Displacement,Violence",NGA001,Nigeria,NGA,175.606,29.592,15.471,2.631,0.2,5,0.7857091722595079,0.1324026845637584,0.06922147651006712,0.011771812080536913,0.0008948545861297539,3,4
Middle belt conflict,Violence,NGA003,Nigeria,NGA,9.555,5.977,2.468,0,0,4,0.5308333333333334,0.33205555555555555,0.1371111111111111,0,0,3,3.5
Lake Chad basin crisis in Nigeria,"Conflict,Displacement",NGA004,Nigeria,NGA,2,5.8,5.9,2.2,0.2,4.9,0.12422360248447205,0.36024844720496896,0.36645962732919257,0.13664596273291926,0.012422360248447204,4,4.45
Northwest Banditry,"Violence,Displacement",NGA007,Nigeria,NGA,19.508,15.815,6.994,0.431,0,4.8,0.45634883503321794,0.3699588284832039,0.16360999344998597,0.010082343033592215,0,3,3.9
Cameroonian Refugees in Nigeria,Displacement,NGA008,Nigeria,NGA,12.565,0,0.11,0,0,1.7,0.9913214990138067,0,0.008678500986193294,0,0,1,1.35
Socioeconomic crisis in Nicaragua,Socio-political,NIC001,Nicaragua,NIC,5.951,0.25,x,x,x,x,0.9596839219480728,0.04031607805192711,x,x,x,x,x
Complex crisis in Pakistan,"Displacement,Conflict",PAK001,Pakistan,PAK,187.153,31.88,18.503,2.097,0,5,0.7809984434531138,0.13303676872550943,0.07721390626499688,0.008750881556379965,0,3,4
Kashmir conflict in Pakistan,Conflict,PAK004,Pakistan,PAK,4.361,x,x,x,x,x,1,x,x,x,x,x,x
Floods in Pakistan ,Other seasonal event,PAK005,Pakistan,PAK,0,12.4,20.57,0.03,0,5,0,0.37575757575757573,0.6233333333333333,0.0009090909090909091,0,3,4
Venezuela displacement in Panama,Displacement,PAN002,Panama,PAN,0.075,0,0.073,0,0,1.4,0.5067567567567568,0,0.49324324324324326,0,0,3,2.2
Venezuela displacement in Peru,Displacement,PER002,Peru,PER,19.429,13.571,1.05,0,0,3.4,0.5706020558002937,0.39856093979442,0.030837004405286344,0,0,2,2.7
Multiple crises in the Philippines,"Conflict,Cyclone,Violence,Floods,Other seasonal event",PHL001,Philippines,PHL,102.6,6.322,0.111,0,0,1.7,0.9409995139086331,0.05798244568158264,0.0010180404097841938,0,0,2,1.85
Mindanao conflict,"Conflict,Violence",PHL003,Philippines,PHL,26.146,0,0.106,0,0,1.7,0.9959622124028645,0,0.004037787597135457,0,0,1,1.35
Typhoon Nalgae,Cyclone,PHL012,Philippines,PHL,89.635,6.322,0.005,0,0,0,0.9340676517788291,0.06588024426335425,5.210395781663575e-05,0,0,2,1
Highlands Violence,Earthquake,PNG003,Papua New Guinea,PNG,2.59,0,0.233,0.032,0,2.4,0.9071803852889667,0,0.08161120840630473,0.011208406304728547,0,3,2.7
Displacement from Ukraine conflict in Poland,"Displacement,Conflict",POL002,Poland,POL,0.36,0,1,0,0,3.3,0.2647058823529412,0,0.7352941176470589,0,0,3,3.15
Complex crisis in DPRK,"Socio-political,Floods,Other seasonal event,Food Security",PRK001,DPRK,PRK,0,15.237,4.97,5.459,0,5,0,0.5825432023245144,0.19001376357241168,0.20870928276494877,0,4,4.5
Conflict in Palestine,"Conflict,Socio-political,Violence",PSE002,Palestine,PSE,0,3.255,1.335,0.7,0.065,3.9,0,0.6078431372549019,0.24929971988795518,0.13071895424836602,0.012138188608776844,4,3.95
Lake Chad basin regional crisis,0,REG001,"Nigeria,Niger,Chad,Cameroon","NGA,NER,TCD,CMR",10.439,0,5.819,4.406,0.874,5,0.4846782431052094,0,0.27017364657814097,0.20456866932862847,0.04057944098802117,4,4.5
Venezuela Regional Crisis,0,REG002,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago,Chile,Dominican Republic,Panama","VEN,BRA,COL,ECU,PER,TTO,CHL,DOM,PAN",149.809,37.651,26.943,0,0,5,0.6987294894637177,0.17560936931558474,0.12566580535629332,0,0,3,4
Regional Kashmir conflict,0,REG003,"India,Pakistan","IND,PAK",19.36,x,x,x,x,x,1,x,x,x,x,x,x
Syrian Regional Crisis,0,REG004,"Syria,Türkiye,Iraq,Egypt,Jordan,Lebanon","SYR,TUR,IRQ,EGY,JOR,LBN",62.062,13.93,14.167,6.254,0.127,5,0.642863061943236,0.14429252123472136,0.14674746219183757,0.06478143774601201,0.0013155168841930806,4,4.5
Eastern Mediterranean Route ,0,REG006,"Türkiye,Greece","TUR,GRC",15.36,0.493,0.28,0.021,0,2.5,0.9508480871610746,0.03051875696421939,0.017333168255540425,0.0012999876191655318,0,1,1.75
Central Mediterranean Route,0,REG007,"Algeria,Tunisia,Libya,Italy","DZA,TUN,LBY,ITA",70.278,0.558,0.778,0,0,3.2,0.9813581332998199,0.007791881362322483,0.010863949282951419,0,0,1,2.1
Western Mediterranean Route,0,REG008,"Algeria,Morocco,Spain","DZA,MAR,ESP",95.121,0,0.442,0,0,2.7,0.9953851949519683,0,0.004625269458571398,0,0,1,1.85
Rohingya Regional Crisis,0,REG011,"Bangladesh,Myanmar","BGD,MMR",0,1.8,1.676,1.495,0,4.2,0,0.36202735317779566,0.337087691069992,0.3006838294448914,0,4,4.1
Southern Africa Regional Food Security Crisis,0,REG012,"Lesotho,Madagascar,Malawi,Namibia,Eswatini,Zambia,Zimbabwe,Tanzania","LSO,MDG,MWI,NAM,SWZ,ZMB,ZWE,TZA",21.44,51.569,16.393,0.093,0,5,0.23956377938678824,0.576215696790918,0.18317019755072853,0.0010391525878251542,0,3,4
Nagorno-Karabakh Conflict,0,REG013,"Armenia,Azerbaijan","ARM,AZE",1.081,0.295,0.098,0,0,1.7,0.7333785617367707,0.20013568521031208,0.06648575305291723,0,0,3,2.35
Eastern Africa Regional Drought Crisis,Drought,REG014,"Ethiopia,Somalia,Kenya","ETH,SOM,KEN",46.211,37.451,19.902,3.079,0.04,5,0.4331617970998191,0.3510493705651322,0.1865526841202441,0.02886120562788823,0.0003749425869163784,3,4
Turkiye / Syria earthquake,Earthquake,REG015,"Türkiye,Syria","TUR,SYR",9.1,14.723,3.177,0,0,4.2,0.337037037037037,0.5452962962962963,0.11766666666666667,0,0,3,3.6
Displacement from Ukraine conflict in Romania,"Conflict,Displacement",ROU002,Romania,ROU,5.049,0,0.137,0,0,1.9,0.9735827227150019,0,0.026417277284998073,0,0,1,1.45
Displacement from Ukraine conflict in Russia,"Conflict,Displacement",RUS002,Russia,RUS,0,0,1.275,x,x,3.5,0,0,1,x,x,3,3.25
Burundi and DRC refugees in Rwanda,Displacement,RWA002,Rwanda,RWA,2.249,0,0.133,0,0,1.9,0.9441645675902602,0,0.05583543240973971,0,0,3,2.45
Complex crisis in Sudan,"Displacement,Violence,Floods",SDN001,Sudan,SDN,0,25.1,17.4,7.2,0.1,5,0,0.5040160642570282,0.3493975903614458,0.14457831325301204,0.002008032128514056,4,4.5
Refugees in Sudan,Displacement,SDN005,Sudan,SDN,0,13.626,1.144,0,0,3.4,0,0.9225457007447528,0.07745429925524712,0,0,3,3.2
Violence in Darfur and Kordofan regions,Violence,SDN008,Sudan,SDN,0,5.63,11.364,0.779,0,5,0,0.31677263264502337,0.6393968379001856,0.043830529454790976,0,3,4
Drought in Senegal,Drought,SEN002,Senegal,SEN,12.251,4.361,1.206,0.057,0,3.5,0.6853322891027075,0.243958379950772,0.0674647572163795,0.0031886328037592305,0,3,3.25
Complex crisis in El Salvador,"Displacement,Violence,Floods,Drought",SLV001,El Salvador,SLV,5.185,0,0.446,0.669,0,3.4,0.823015873015873,0,0.0707936507936508,0.1061904761904762,0,4,3.7
Complex crisis in Somalia,"Conflict,Displacement,Floods,Drought",SOM001,Somalia,SOM,0,8.788,4.056,2.535,1.521,4.8,0,0.52,0.24,0.15,0.09,5,4.9
Mixed Migration Flows in Somalia,Displacement,SOM002,Somalia,SOM,2.658,0,0.036,0,0,0.9,0.9866369710467706,0,0.013363028953229399,0,0,1,0.95
Complex crisis in South Sudan,"Conflict,Floods,Displacement",SSD001,South Sudan,SSD,0,3.37,1.41,7.896,0.094,5,0,0.2637551850982234,0.11035454332002817,0.6179854425921578,0.007356969554668545,4,4.5
Displacement from Ukraine conflict in Slovakia,"Displacement,Conflict",SVK002,Slovakia,SVK,1.571,0,0.103,0,0,1.7,0.9390316796174537,0,0.06156604901374776,0,0,3,2.35
Food Security Crisis in Eswatini,Drought,SWZ001,Eswatini,SWZ,0.477,0.438,0.222,0.037,0,2.4,0.40630323679727426,0.3730834752981261,0.1890971039182283,0.03151618398637138,0,3,2.7
