Crisis,TYPE OF CRISIS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
0,,,,,sq. Km,Number,Number,Number,Number,,Number,Number,Number,Number,million USD,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,
Complex crisis in Haiti,Complex crisis,HTI001,Haiti,HTI,27166,10900000,6300000,53000,x,x,225,#N/A,#N/A,#N/A,x,600000,2300000,3083000,905000,0,2,#N/A,#N/A,0,1,0,0,0,0,2,0,3
Papua Conflict,Conflict,IDN002,Indonesia,IDN,416060,3594000,3594000,x,x,x,41,#N/A,#N/A,#N/A,x,x,x,x,x,x,4,#N/A,#N/A,0,2,2,0,0,1,2,0,2
Sulawesi Earthquake,Earthquake,IDN006,Indonesia,IDN,10738,884000,95000,95000,#N/A,#N/A,105,#N/A,#N/A,#N/A,#N/A,790000,0,95000,0,0,0,#N/A,#N/A,0,0,0,0,0,0,0,0,3
Country Level,Multiple crises country,IDN007,Indonesia,IDN,426798,4478000,3688000,95000,#N/A,#N/A,146,#N/A,#N/A,#N/A,#N/A,790000,3594000,95000,0,0,0,#N/A,#N/A,0,2,2,0,0,1,2,0,3
Conflict in Jammu and Kashmir,Conflict,IND002,India,IND,222236,12541000,x,x,x,x,213,#N/A,#N/A,#N/A,x,12541000,x,x,x,x,x,#N/A,#N/A,1,1,1,0,1,2,1,1,2
Afghan Refugees in Iran,International displacement,IRN004,Iran,IRN,239561,24823000,2951000,2951000,x,x,0,#N/A,#N/A,#N/A,x,21872000,0,951000,2000000,0,2,#N/A,#N/A,2,2,2,0,2,2,1,1,2
Multiple crises in Iraq,Multiple crises country,IRQ001,Iraq,IRQ,435051.992,39310000,6130000,8401000,x,x,213,#N/A,#N/A,#N/A,133900,33180000,1750000,3110000,1095000,175000,5,#N/A,#N/A,1,2,2,0,2,3,0,3,2
Conflict  in Iraq,Conflict,IRQ002,Iraq,IRQ,435052,6130000,5620000,8156000,x,x,213,#N/A,#N/A,#N/A,133900,510000,1520000,2911000,1025000,164000,5,#N/A,#N/A,1,2,2,0,2,3,0,3,2
Syrian and Palestinian refugees in iraq,International displacement,IRQ003,Iraq,IRQ,40643,5134000,474000,242000,x,x,0,#N/A,#N/A,#N/A,x,4661000,0,309000,145000,19000,5,#N/A,#N/A,1,1,0,0,0,2,0,3,1
Mixed migration flows in Italy,International displacement,ITA002,Italy,ITA,41054,7120000,x,x,x,x,238,#N/A,#N/A,#N/A,x,7120000,x,x,x,x,2,#N/A,#N/A,1,1,1,0,1,1,0,0,0
Syrian refugees in Jordan,International displacement,JOR002,Jordan,JOR,40463,8708000,1917000,1397000,x,x,0,#N/A,#N/A,#N/A,x,6790000,609000,785000,523000,0,2,#N/A,#N/A,1,1,0,0,2,1,2,0,2
Multiple crisis in Kenya ,Multiple crises country,KEN001,Kenya,KEN,569140,51393000,11222000,523000,0,113000,139,#N/A,#N/A,#N/A,x,40200000,9714000,1367000,113000,0,3,#N/A,#N/A,1,1,0,0,0,2,0,1,2
Refugee situation in Kenya,International displacement,KEN002,Kenya,KEN,123000,5216000,523000,523000,0,x,x,#N/A,#N/A,#N/A,x,4721000,0,495000,0,0,2,#N/A,#N/A,0,0,0,0,0,0,0,1,0
Drought in Kenya,Drought,KEN003,Kenya,KEN,569140,51393000,10698000,x,0,113000,x,#N/A,#N/A,#N/A,x,40695000,9714000,872000,113000,0,3,#N/A,#N/A,0,0,0,0,0,0,0,1,0
Flooding and Landslides in Kenya,Flood,KEN005,Kenya,KEN,471098,42513000,233000,16000,x,x,237,#N/A,#N/A,#N/A,x,42280000,117000,116000,0,0,x,#N/A,#N/A,0,1,1,0,0,0,0,1,3
Syrian refugees in Lebanon,International displacement,LBN002,Lebanon,LBN,10201.2,6856000,3502000,1527000,x,0,0,#N/A,#N/A,#N/A,x,3354000,1566000,332000,1604000,0,2,#N/A,#N/A,1,2,2,0,2,2,0,3,1
Socioeconomic crisis in Lebanon,Political and economic crisis,LBN004,Lebanon,LBN,10201.2,6856000,4239000,x,x,x,31,#N/A,#N/A,#N/A,x,2616000,473000,2192000,1575000,0,3,#N/A,#N/A,1,2,2,0,2,2,0,3,1
Complex crisis in Libya,Multiple crises country,LBY001,Libya,LBY,1759540,6871000,1800000,1466000,x,x,729,#N/A,#N/A,#N/A,x,5071000,774000,108000,558000,360000,5,#N/A,#N/A,1,3,3,3,2,3,3,1,3
Mixed migration flows in Libya,International displacement,LBY002,Libya,LBY,1759540,6871000,585000,585000,x,x,564,#N/A,#N/A,#N/A,x,6286000,261000,190000,131000,3000,2,#N/A,#N/A,1,3,3,0,2,3,3,1,3
Drought in Lesotho,Drought,LSO002,Lesotho,LSO,30400,1467000,1062000,x,0,0,0,#N/A,#N/A,#N/A,x,405000,480000,482000,100000,0,1,#N/A,#N/A,0,0,0,0,0,2,0,0,1
Mixed migration flows in Morocco,International displacement,MAR002,Morocco,MAR,446300,35587000,x,x,x,x,87,#N/A,#N/A,#N/A,0,x,x,x,x,x,1,#N/A,#N/A,0,0,1,0,0,1,0,1,0
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,81967,3909000,2967000,x,0,x,x,#N/A,#N/A,#N/A,x,942000,1618000,1067000,282000,0,1,#N/A,#N/A,0,0,0,0,0,2,0,0,0
Multiple crisis in Mexico,Multiple crises country,MEX001,Mexico,MEX,1635481,92033000,x,584000,x,45472,3714,#N/A,#N/A,#N/A,x,x,x,x,x,x,5,#N/A,#N/A,x,1,1,0,0,1,1,x,x
Criminal Violence in Mexico,Other type of violence,MEX002,Mexico,MEX,1078234,70024000,x,351000,x,x,3454,#N/A,#N/A,#N/A,x,x,x,x,x,x,4,#N/A,#N/A,x,1,1,0,x,1,x,x,x
Mixed Migration in Mexico,International displacement,MEX003,Mexico,MEX,1437306,70840000,275000,275000,x,x,233,#N/A,#N/A,#N/A,x,x,x,x,x,x,3,#N/A,#N/A,x,1,1,0,1,1,1,x,x
Hurricane Eta and Iota in Southern Mexico,Tropical cyclone,MEX004,Mexico,MEX,170284,14678000,169000,17000,x,x,27,#N/A,#N/A,#N/A,x,14510000,152000,17000,0,0,3,#N/A,#N/A,0,2,0,2,2,0,2,0,1
Complex crisis in Mali,Complex crisis,MLI001,Mali,MLI,1220190,19802000,8200000,457000,x,44056,1026,#N/A,#N/A,#N/A,x,11606000,3900000,3818000,482000,0,5,#N/A,#N/A,0,2,2,3,2,2,3,1,3
Multiple crises in Myanmar,Multiple crises country,MMR001,Myanmar,MMR,289700,10395000,5124000,1446000,x,x,236,#N/A,#N/A,#N/A,x,5271000,4149000,365000,610000,0,3,#N/A,#N/A,2,3,2,0,3,3,2,1,3
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,44857,3882000,1563000,1340000,x,x,184,#N/A,#N/A,#N/A,x,2318000,809000,250000,504000,0,4,#N/A,#N/A,2,3,2,0,3,3,2,1,3
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,244843.1,6513000,3560000,106000,x,x,52,#N/A,#N/A,#N/A,x,2953000,3340000,115000,106000,0,3,#N/A,#N/A,2,2,2,0,2,3,1,1,2
Complex crisis in Mozambique,Complex crisis,MOZ001,Mozambique,MOZ,344602,20042000,12617000,625000,26,277460,1297,#N/A,#N/A,#N/A,773,7424000,8508000,3704000,406000,0,3,#N/A,#N/A,1,2,2,0,1,2,3,1,1
Cabo Delgado Islamist Insurgency,Other type of violence,MOZ004,Mozambique,MOZ,78778,1899000,1296000,1000,x,0,1262,#N/A,#N/A,#N/A,x,602000,101000,1055000,141000,0,63423,#N/A,#N/A,0,1,0,0,0,2,1,1,1
Food Security Crisis in Mozambique,Food Security,MOZ006,Mozambique,MOZ,344602,18143000,11321000,94000,0,0,x,#N/A,#N/A,#N/A,#N/A,6822000,8407000,2649000,265000,0,3,#N/A,#N/A,0,0,0,1,0,0,1,0,1
Refugees from Mali in Mauritania,International displacement,MRT002,Mauritania,MRT,75,72000,61000,61000,0,x,x,#N/A,#N/A,#N/A,x,11000,0,61000,0,0,2,#N/A,#N/A,0,0,0,0,0,0,0,1,3
Food Security in Mauritania,Drought,MRT003,Mauritania,MRT,1030700,4145000,1513000,x,x,x,x,#N/A,#N/A,#N/A,x,2632000,1036000,457000,20000,0,3,#N/A,#N/A,0,0,0,0,0,0,0,1,3
Complex crisis in Malawi,Complex crisis,MWI002,Malawi,MWI,94276,17678000,8908000,0,0,0,41,#N/A,#N/A,#N/A,x,8769000,6266000,2509000,133000,0,1,#N/A,#N/A,0,0,0,0,0,2,0,0,0
Food Security Crisis in Namibia,Food Security,NAM002,Namibia,NAM,823,2256000,1091000,0,0,0,x,#N/A,#N/A,#N/A,#N/A,1165000,651000,426000,14000,0,1,#N/A,#N/A,1,0,0,0,0,2,0,0,0
Multiple crises in Niger,Multiple crises country,NER001,Niger,NER,1267000,23800000,3882000,590000,x,x,326,#N/A,#N/A,#N/A,x,19918000,60000,3648000,173000,0,5,#N/A,#N/A,0,2,0,2,0,2,3,1,3
Boko Haram in Niger,Conflict,NER002,Niger,NER,156906,949000,293000,266000,141012,x,122,#N/A,#N/A,#N/A,x,656000,1000,272000,20000,0,5,#N/A,#N/A,0,2,0,0,0,2,2,1,3
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,210600,8400000,1356000,215000,x,x,123,#N/A,#N/A,#N/A,x,7044000,9000,1310000,36000,0,5,#N/A,#N/A,0,2,0,2,0,2,3,1,3
Nigerian Refugees,International displacement,NER004,Niger,NER,8616,1328000,704000,87000,x,x,6,#N/A,#N/A,#N/A,0,624000,0,662000,42000,0,2,#N/A,#N/A,0,1,0,0,0,0,2,1,3
Floods in Niger,Flood,NER005,Niger,NER,1267000,23800000,516000,x,x,x,69,#N/A,#N/A,#N/A,x,23061000,0,516000,0,0,5,#N/A,#N/A,0,2,0,2,0,2,3,1,3
Complex crisis in Nigeria,Complex crisis,NGA001,Nigeria,NGA,909890,71033000,7927000,4649000,x,x,4458,#N/A,#N/A,#N/A,x,63106000,1936000,3108000,2884000,0,5,#N/A,#N/A,1,2,3,2,2,2,2,1,2
Middle belt conflict,Conflict,NGA003,Nigeria,NGA,181664,15100000,397000,397000,x,x,389,#N/A,#N/A,#N/A,x,14704000,0,0,397000,0,5,#N/A,#N/A,0,0,0,0,0,2,0,1,0
Boko Haram crisis in Nigeria,Conflict,NGA004,Nigeria,NGA,157918,7900000,7150000,3872000,x,x,2103,#N/A,#N/A,#N/A,x,751000,1936000,2331000,2884000,0,4,#N/A,#N/A,1,2,3,2,2,2,2,1,2
Northwest Banditry,Other type of violence,NGA007,Nigeria,NGA,237708,30376000,317000,317000,x,x,1966,#N/A,#N/A,#N/A,49,30058000,0,317000,0,0,5,#N/A,#N/A,0,0,1,0,0,2,1,1,0
Cameroonian Refugees in Nigeria,International displacement,NGA008,Nigeria,NGA,115769,17657000,62000,62000,x,x,x,#N/A,#N/A,#N/A,x,17595000,0,62000,0,0,2139,#N/A,#N/A,0,0,0,0,0,2,0,1,0
Socioeconomic crisis in Nicaragua,Political and economic crisis,NIC001,Nicaragua,NIC,120339.54,6444000,417000,102000,x,17631,3,#N/A,#N/A,#N/A,1214,x,x,x,0,0,1,#N/A,#N/A,x,x,1,0,1,1,0,0,2
Hurricane Eta and Iota in Nicaragua,Tropical cyclone,NIC002,Nicaragua,NIC,92703,2661000,1800000,73000,x,x,23,#N/A,#N/A,#N/A,x,861000,1727000,73000,0,0,3,#N/A,#N/A,1,2,2,0,2,0,0,0,3
Complex crisis in Pakistan,Complex crisis,PAK001,Pakistan,PAK,770880,209594000,64359000,204000,x,x,733,#N/A,#N/A,#N/A,x,145236000,61320000,2021000,1018000,0,5,#N/A,#N/A,2,0,2,0,0,2,1,1,3
Kashmir conflict in Pakistan,Conflict,PAK004,Pakistan,PAK,13297,4450000,x,x,x,x,21,#N/A,#N/A,#N/A,x,x,x,x,x,x,3,#N/A,#N/A,2,0,2,0,0,2,1,1,3
Venezuela displacement in Peru,International displacement,PER002,Peru,PER,178440,16328000,1368000,1100000,x,x,3,#N/A,#N/A,#N/A,x,0,0,1310000,0,0,2,#N/A,#N/A,0,1,0,0,0,1,0,0,2
Multiple crises in the Philippines,Multiple crises country,PHL001,Philippines,PHL,424484,88754000,8785000,254000,x,x,370,#N/A,#N/A,#N/A,x,79969000,8531000,1134000,0,0,4,#N/A,#N/A,0,1,0,0,0,2,1,1,3
Mindanao conflict,Conflict,PHL003,Philippines,PHL,138354,24136000,150000,150000,x,x,272,#N/A,#N/A,#N/A,x,23985000,0,150000,0,0,4,#N/A,#N/A,0,1,0,0,0,2,1,1,3
Mindanao Earthquake,Earthquake,PHL004,Philippines,PHL,138354,10134000,79000,79000,563,x,0,#N/A,#N/A,#N/A,x,10056000,0,79000,0,0,3,#N/A,#N/A,0,0,0,0,0,1,1,1,3
Typhoon Goni (Rolly) and Typhoon Vamco (Ulysses),Tropical cyclone,PHL009,Philippines,PHL,147776,54484000,8556000,25000,#N/A,#N/A,98,#N/A,#N/A,#N/A,#N/A,45928000,7651000,905000,0,0,2,#N/A,#N/A,0,0,0,0,0,0,0,0,3
