,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human,,,
Syrian refugees in Jordan,International displacement,JOR002,Jordan,JOR,2.7,0.4557670646542014,2.2,2.45,3.1,0.8058486026281695,4,3.55,3,2.9,0.21095544327055582,1,1.95,4.5,0.7169297768100164,5,4.8,0,0,0,0,3.2,2.6,,,
Multiple crisis in Kenya ,Multiple crises country,KEN001,Kenya,KEN,4.5,0.9123238570474751,4.6,4.55,4.1,0.31112216144538374,1.5,2.8,3.8,3.3,0.17119516959687445,0.8,2.05,3.9,0.18188105117565698,5,4.5,0,0,0,0,2.9,2.5,,,
Refugee situation in Kenya,International displacement,KEN002,Kenya,KEN,2.6,0.06719612046245212,0.2,1.4000000000000001,0.1,0.019982687809639577,0.1,0.1,0.8,2,0.4847926267281106,2.4,2.2,3.9,1,5,4.5,0,0,0,0,2.9,2.6,,,
Drought in Kenya,Drought,KEN003,Kenya,KEN,4.5,0.9123238570474751,4.6,4.55,4.1,0.30959353187100574,1.5,2.8,3.8,3.1,0.14074955383700177,0.7,1.9,0,0,0,0,0,0,0,0,0,1,,,
Syrian refugees in Lebanon,International displacement,LBN002,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.8,1,5,3.9,3.6,3.4,0.5022710622710622,2.5,2.95,4.5,0.4457409568261377,5,4.8,0,0,0,0,3.2,3.1,,,
Socioeconomic crisis in Lebanon,Political and economic crisis,LBN004,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.8,1,5,3.9,3.6,3.5,0.5523809523809524,2.7,3.1,x,x,x,x,2.5,1.5119363395225465e-05,0.8,1.7,1.7,2.5,,,
Complex crisis in Libya,Multiple crises country,LBY001,Libya,LBY,5,1,5,5,2.9,1,5,3.95,4.6,2.9,0.24324324324324326,1.2,2.05,4.5,0.8455555555555555,5,4.8,4.2,0.0004994444444444444,5,4.6,4.7,3.7,,,
Mixed migration flows in Libya,International displacement,LBY002,Libya,LBY,5,1,5,5,2.9,1,5,3.95,4.6,2.2,0.08567567567567567,0.4,1.3,4,1,5,4.5,4.2,0.0013391167192429022,5,4.6,4.6,3.4,,,
Drought in Lesotho,Drought,LSO002,Lesotho,LSO,2.5,0.9998353096179183,5,3.75,0.6,0.7023809523809523,3.5,2.05,3,2.4,0.591864406779661,2.9,2.65,x,x,x,x,0,0,0,0,0,1.5,,,
Mixed migration flows in Morocco,International displacement,MAR002,Morocco,MAR,4.4,1,5,4.7,5,0.9757348102654091,4.9,4.95,4.8,x,x,x,x,x,x,x,x,3.2,x,x,3.2,3.2,3.2,,,
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,3.2,0.14086283946373324,0.6,1.9000000000000001,1.4,0.10447819314641744,0.5,0.95,1.4,2.7,0.5139768915393217,2.5,2.6,0,0,0,0,2.4,3.4807831762146484e-05,1.7,2.1,1.2,2,,,
Multiple crisis in Mexico,Multiple crises country,MEX001,Mexico,MEX,5,1.0105069574834744,5,5,5,1,5,5,5,1.7,0.002583979328165375,0,0.85,2.7,0.2554517133956386,5,3.9,3.5,0.0009376947040498442,5,4.3,4.1,2.8,,,
Criminal Violence in Mexico,Other type of violence,MEX002,Mexico,MEX,5,1.0105069574834744,5,5,5,1.038196205333784,5,5,5,1.8,0.002768042675929659,0,0.9,3.6,1,5,4.3,5,0.009675070028011204,5,5,4.7,3.4,,,
Mixed Migration in Mexico,International displacement,MEX003,Mexico,MEX,5,1.0105069574834744,5,5,5,1,5,5,5,1.7,0.002583979328165375,0,0.85,2.7,0.2554517133956386,5,3.9,3.5,0.0009376947040498442,5,4.3,4.1,2.8,,,
Complex crisis in Mali,Complex crisis,MLI001,Mali,MLI,5,1,5,5,4.4,1,5,4.7,4.9,4.3,0.5740613665326929,2.8,3.55,4.4,0.09733606557377049,3.2,3.8,4.2,7.564890710382514e-05,3.8,4,3.9,3.7,,,
Multiple crises in Myanmar,Multiple crises country,MMR001,Myanmar,MMR,4.7,0.9838702762295584,4.9,4.800000000000001,5,0.8389356814701379,4.2,4.6,4.7,3.7,0.12125222470679506,0.6,2.15,4.6,0.31708694015807304,5,4.8,5,0.0011204365826119685,5,5,4.9,3.9,,,
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,2.8,0.06868530654743676,0.2,1.5,2,0.07431087289433384,0.3,1.15,1.3,2.8,0.4026275115919629,2,2.4,4.5,0.8611644273832374,5,4.8,2.9,7.165706973768394e-05,3.6,3.3,4.2,3.4,,,
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,4,0.37490506522937467,1.8,2.9,2.7,0.12467457886676876,0.6,1.6500000000000001,2.3,3.4,0.546599109473361,2.7,3.05,2.9,0.030056179775280897,1,2,2.7,2.3595505617977527e-05,1.2,2,2,2.6,,,
Post-coup Violence in Myanmar,Conflict,MMR004,Myanmar,MMR,4.2,0.540279904452747,2.7,3.45,5,0.6399502297090353,3.2,4.1,3.8,3,0.05982471358918369,0.3,1.65,3.2,0.0895,3,3.1,4.2,0.00043,5,4.6,4,3,,,
Cabo Delgado Islamist Insurgency,Other type of violence,MOZ004,Mozambique,MOZ,4.1,0.3568440194308095,1.7,2.9,3.4,0.35696465696465696,1.8,2.6,2.8,3.1,0.22646088138225587,1.1,2.1,4.1,0.3193313330475782,5,4.6,4,0.0002614659237033862,5,4.5,4.6,3.6,,,
Refugees from Mali in Mauritania,International displacement,MRT002,Mauritania,MRT,0,7.276608130396817e-05,0,0,0,0.02281460134486071,0.1,0.05,0,0.7,0.8947368421052632,4.5,2.6,2.8,1,5,3.9,0,0,0,0,2.4,2.5,,,
Food Security in Mauritania,Drought,MRT003,Mauritania,MRT,5,1,5,5,2.1,1,5,3.55,4.4,3.6,1.0883765609990395,5,4.3,x,x,x,x,0,0,0,0,0,2.8,,,
