,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
IRN004,1052,1052,337,337,276,337,337,337,337,337,1052,65,65,65,65,65,65,65,65,65,375.2,,
IRQ001,184,0,0,0,0,0,0,0,0,0,1372,65,65,65,65,65,65,65,65,65,143.7,,
IRQ002,184,0,0,0,0,0,0,0,0,0,1455,65,65,65,65,65,65,65,65,65,152,,
IRQ003,184,0,0,0,62,0,0,0,0,0,1811,65,65,65,65,65,65,65,65,65,193.8,,
ITA002,549,2,2,2,2,2,2,2,2,2,549,79,79,79,79,79,79,79,79,79,64.4,,
JOR002,154,0,0,0,0,0,0,0,0,0,1307,65,65,65,65,65,65,65,65,65,137.2,,
KEN001,195,40,40,63,1,40,40,40,40,40,63,65,65,65,65,65,65,65,65,65,43.2,,
KEN002,195,63,63,63,586,63,63,63,63,63,63,65,65,65,65,65,65,65,65,65,115.5,,
KEN003,195,40,40,63,1,40,40,40,40,40,40,65,65,65,65,65,65,65,65,65,40.9,,
LAO003,93,93,93,93,93,93,93,93,93,93,93,65,65,65,65,65,65,65,65,65,90.2,,
LBN002,210,45,45,154,0,45,45,45,45,45,1335,70,70,70,70,70,70,70,70,70,182.9,,
LBN004,210,45,45,0,0,45,45,45,45,45,1372,70,70,70,70,70,70,70,70,70,171.2,,
LBY001,128,2,2,2,2,2,2,2,2,2,127,73,73,73,73,73,73,73,73,73,21.6,,
LBY002,128,2,2,2,2,2,2,2,2,2,549,73,73,73,73,73,73,73,73,73,63.8,,
LBY003,128,2,2,2,2,2,2,2,2,2,128,73,73,73,73,73,73,73,73,73,21.7,,
LKA001,98,98,98,98,35,98,98,98,98,98,98,65,65,65,65,65,65,65,65,65,88.4,,
LKA002,98,98,98,98,35,98,98,98,98,98,196,65,65,65,65,65,65,65,65,65,98.2,,
LKA003,98,98,98,98,98,98,98,98,98,98,98,65,65,65,65,65,65,65,65,65,94.7,,
LTU002,1,1,1,1,1,1,1,1,1,1,1,84,84,84,84,84,84,84,84,84,9.3,,
LVA002,1,1,1,1,1,1,1,1,1,1,1,84,84,84,84,84,84,84,84,84,9.3,,
MAR001,127,2,2,2,2,2,2,2,2,2,127,76,76,76,76,76,76,76,76,76,21.9,,
MAR002,549,2,2,2,2,2,2,2,2,2,549,76,76,76,76,76,76,76,76,76,64.1,,
MAR003,2,2,2,2,2,2,2,2,2,2,127,76,76,76,76,76,76,76,76,76,21.9,,
