,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Complex crisis in Guatemala,"Violence,Socio-political,Other seasonal event",GTM001,Guatemala,GTM,3.4,1,5,4.2,4.1,1,5,4.55,4.4,3.7,0.28901734104046245,1.4,2.55,3.4,0.0484,1.6,2.5,4,0.0001292,5,4.5,3.7,3.2
Complex crisis in Honduras,"Violence,Socio-political,Other seasonal event",HND001,Honduras,HND,3.4,1,5,4.2,3.3,1,5,4.15,4.2,3.3,0.3333333333333333,1.6,2.45,3.4,0.0771875,2.6,3,4.1,0.0002284375,5,4.6,3.9,3.3
Complex crisis in Haiti,"Earthquake,Violence,Socio-political,Other seasonal event",HTI001,Haiti,HTI,2.4,1,5,3.7,3.5,1,5,4.25,4,4,0.6578947368421053,3.3,3.65,3.1,0.021066666666666668,0.7,1.9,4.7,0.00027866666666666665,5,4.9,3.8,3.7
Nippes Earthquake ,Earthquake,HTI002,Haiti,HTI,1.8,0.46629172714078376,2.3,2.05,2.7,0.5639473684210526,2.8,2.75,2.4,2.2,0.10732617825478301,0.5,1.35,1.8,0.02463768115942029,0.8,1.3,4.8,0.0032579710144927535,5,4.9,3.7,2.7
Displacement from Ukraine conflict in Hungary,"Conflict,Displacement",HUN002,Hungary,HUN,1.3,0.06556942450016569,0.2,0.75,0,0.05982230997038499,0.3,0.15,0.5,0.4,0.08745874587458746,0.4,0.4,2.5,1,5,3.8,0,0,0,0,2.3,1.4
Papua Conflict,"Socio-political,Violence",IDN002,Indonesia,IDN,4.4,0.23294214410704528,1.1,2.75,2.5,0.020124864458778816,0.1,1.3,2.1,3.7,1,5,4.35,2.9,0.018389113644722323,0.6,1.8,2.5,1.0114012504597279e-05,0.5,1.5,1.7,3.3
Country Level,"Earthquake,Socio-political,Violence",IDN007,Indonesia,IDN,4.4,0.2402992983986266,1.1,2.75,4.5,0.08252378679042088,0.4,2.45,2.6,3.9,0.32458854657159514,1.6,2.75,3.3,0.029704338214976513,1,2.2,2.5,7.5987841945288756e-06,0.4,1.5,1.9,2.3
Earthquake in West Java province,Earthquake,IDN008,Indonesia,IDN,1.9,0.007357154291581336,0,0.95,4.1,0.06239892233164208,0.3,2.1999999999999997,1.6,2.9,0.10675523397188778,0.5,1.7,2.9,0.06388888888888888,2.1,2.5,0,0,0,0,1.4,1.6
Conflict in Jammu and Kashmir,Socio-political,IND002,India,IND,3.9,0.07474665258527037,0.3,2.1,3.9,0.010486413246761056,0,1.95,2,x,x,x,x,3.6,x,x,3.6,2.6,x,x,2.6,3.1,3.1
Afghan Refugees in Iran,Displacement,IRN004,Iran,IRN,4,0.1470818291215403,0.6,2.3,4.6,0.27806965463934846,1.4,3,2.7,3.6,0.18035692704346776,0.9,2.25,5,1,5,5,x,x,x,x,5,4
