,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Crisis,Crisis ID,Trend,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00
Lebanon,Refugee situation in Lebanon,LBN001,-,-,2.4,2.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lebanon,Syrian refugees in Lebanon,LBN002,Increasing,-,2.4,2.4,2.9,2.8,2.8,2.8,2.8,2.8,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3.2,3.1,3.2,3.2,3.2,3.2,3.2,3.4,3.4,3.5,3.5
Lebanon,Palestinians in Lebanon,LBN003,-,-,1.4,1.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lebanon,Socioeconomic crisis in Lebanon,LBN004,Increasing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.3,3.3,3.3,3.3,3.4,3.5,3.5,3.5,3.5,3.5,3.6,3.7,3.7
Lebanon,Explosion in Beirut,LBN005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.2,3.2,3.2,3.2,3.2,3.2,-,-,-
Libya,Complex crisis in Libya,LBY001,Decreasing,-,3.9,3.7,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,4.2,4.2,4.2,4.2,4.2,4.1,4.1,4.2,4.2,4.2,4.2,4,4
Libya,Mixed migration flows in Libya,LBY002,Decreasing,-,2.6,2.6,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.6,3.1,3.1,3.1,3,3,3,3,3,3,3,3,2.6,2.6
Lesotho,Drought in Lesotho,LSO002,Stable,2.2,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.2,2.2,2.2,2.2,2.2,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Morocco,Mixed migration flows in Morocco,MAR002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,x
Madagascar,Complex situation in Madagascar,MDG001,-,-,2.8,2.8,2.9,2.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Madagascar,Drought in Madagascar,MDG002,Increasing,-,3,3,2.9,2.9,2.9,2.8,2.8,2.6,2.4,2.4,2.4,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.6,2.6,2.5,2.5,2.5,3,3,3,3
Madagascar,Measles in Madagascar,MDG003,-,-,1.7,1.8,2.3,2.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Madagascar,Floods in Madagascar,MDG004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.1,1.1,-,-,-,-
