Crisis ID,GlideNumber,SeverityGlideNumber,Country,Crisis,ISO3 code,Region,Type of crisis,First country,Website name,Crisis description,Related crisis,Starting date,Duration (days)
REG007,,,"Algeria,Tunisia,Libya,Italy",Central Mediterranean Route,"DZA,TUN,LBY,ITA","Africa,Africa,Africa,Europe",Regional crisis,Algeria,Central Mediterranean Route,,,,
REG008,,,"Algeria,Morocco,Spain",Western Mediterranean Route,"DZA,MAR,ESP","Africa,Africa,Europe",Regional crisis,Algeria,Western Mediterranean Route,,,,
REG011,,,"Bangladesh,Myanmar",Rohingya Regional Crisis,"BGD,MMR","Asia,Asia",Regional crisis,Bangladesh,Rohingya Regional Crisis,,,,
REG012,,,"Lesotho,Madagascar,Malawi,Mozambique,Namibia,Eswatini,Zambia,Zimbabwe",Southern Africa Regional Food Security Crisis,"LSO,MDG,MWI,MOZ,NAM,SWZ,ZMB,ZWE","Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa",Regional crisis,Lesotho,Southern Africa Regional Food Security Crisis,,,,
REG013,,,"Armenia,Azerbaijan",Nagorno-Karabakh Conflict,"ARM,AZE","Middle east,Middle east",Regional crisis,Armenia,Regional Nagorno-Karabakh Conflict,,,,
RWA002,,,Rwanda,Burundi and DRC refugees in Rwanda,RWA,Africa,International displacement,Rwanda,Refugees,,,,
SDN001,,,Sudan,Complex crisis in Sudan,SDN,Africa,Multiple crises country,Sudan,Complex crisis,,,,
SDN005,,,Sudan,Refugees in Sudan,SDN,Africa,International displacement,Sudan,Refugees,,,,
SDN006,,,Sudan,Floods in Sudan ,SDN,Africa,Flood,Sudan,Floods,,,,
SDN007,,,Sudan,Refugees from Ethiopia,SDN,Africa,International displacement,Sudan,Refugee influx from Tigray,,,,
SDN008,,,Sudan,Violence West-Darfur,SDN,Africa,Other type of violence,Sudan,West-Darfur Violence,,,,
SEN002,,,Senegal,Drought in Senegal,SEN,Africa,Drought,Senegal,Drought,,,,
SLV001,,,El Salvador,Complex crisis in El Salvador,SLV,Americas,Complex crisis,El Salvador,Complex crisis,,,,
SOM001,,,Somalia,Complex crisis in Somalia,SOM,Africa,Complex crisis,Somalia,Complex crisis,,,,
SOM002,,,Somalia,Mixed Migration Flows in Somalia,SOM,Africa,International displacement,Somalia,Mixed Migration,,,,
SOM004,,,Somalia,Floods in Somalia,SOM,Africa,Flood,Somalia,Floods,,,,
SSD001,,,South Sudan,Complex crisis in South Sudan,SSD,Africa,Complex crisis,South Sudan,Complex crisis,,,,
SWZ001,,,Eswatini,Food Security Crisis in Eswatini,SWZ,Africa,Food Security,Eswatini,Food Security Crisis,,,,
SYR001,,,Syria,Syrian conflict,SYR,Middle east,Complex crisis,Syria,Conflict,,,,
TCD001,,,Chad,Complex crisis in Chad,TCD,Africa,Multiple crises country,Chad,Complex crisis,,,,
TCD003,,,Chad,Boko Haram in Chad,TCD,Africa,Conflict,Chad,Boko Haram ,,,,
TCD004,,,Chad,CAR refugees in Chad,TCD,Africa,International displacement,Chad,CAR refugees,,,,
TCD005,,,Chad,Darfur refugees in Chad,TCD,Africa,International displacement,Chad,Darfur refugees,,,,
TCD006,,,Chad,Tibesti Conflict in Chad,TCD,Africa,Conflict,Chad,Tibesti conflict,,,,
THA001,,,Thailand,Multiple situations in Thailand,THA,Asia,Multiple crises country,Thailand,Country level,,,,
THA002,,,Thailand,Conflict in southern Thailand ,THA,Asia,Conflict,Thailand,Conflict,,,,
