Crisis,Crisis ID,Country,Indicator,Figure,Source and Date,Reliability,Reliability Score,Link,Justification,Helper,Date of entry,Type of entry
Conflict in Palestine,PSE002,Palestine,Buildings destroyed,11422,Shelter cluster Nov 2018,Medium,2,https://www.sheltercluster.org/sites/default/files/docs/one_page_factsheet_nov_2018_0.pdf,"The total of houses destroyed in Gaza by the 2014 war, as well as housing demolitions in the West Bank and East Jerusalem as of November 2018.",PSE002Buildings destroyed,2019-02-07,Humanitarian development
Conflict in Palestine,PSE002,Palestine,Crisis affected groups,4,,Medium,2,,"There are IDP's, refugees, host and non-host groups in Gaza, the West Bank and East Jerusalem.",PSE002Crisis affected groups,2019-02-07,Humanitarian development
Conflict in Palestine,PSE002,Palestine,Illness cases reported,x,,x,x,,A total of the number of Palestinian injuries resulting directly from conflict between June and December 2018.,PSE002Illness cases reported,2019-02-07,Humanitarian development
Conflict in Palestine,PSE002,Palestine,People facing limited access constraints,x,,x,x,,,PSE002People facing limited access constraints,2019-02-07,Humanitarian development
Syrian Refugee Crisis in Egypt,EGY002,Egypt,People facing limited access constraints,x,,x,x,,,EGY002People facing limited access constraints,2019-02-11,Humanitarian development
Syrian Refugee Crisis in Egypt,EGY002,Egypt,People facing restricted access constraints,x,,x,x,,,EGY002People facing restricted access constraints,2019-02-11,Humanitarian development
Complex crisis in CAR,CAF001,CAR,Buildings damaged,x,,x,x,,No information currently available,CAF001Buildings damaged,2019-02-12,Humanitarian development
Complex crisis in CAR,CAF001,CAR,Buildings destroyed,x,,x,x,,No information currently available,CAF001Buildings destroyed,2019-02-12,Humanitarian development
Complex crisis in CAR,CAF001,CAR,Economic Losses,x,,x,x,,No information currently available,CAF001Economic Losses,2019-02-12,Humanitarian development
Complex crisis in CAR,CAF001,CAR,Injuries reported,x,,x,x,,No information currently available,CAF001Injuries reported,2019-02-12,Humanitarian development
Complex crisis in CAR,CAF001,CAR,Landmass affected,623000,WB 2017,High,1,https://databank.worldbank.org/data/views/reports/reportwidget.aspx?Report_Name=CountryProfile&Id=b450fd57&tbar=y&dd=y&inf=n&zm=n&country=CAF,The entire national territory is affected by the complex crisis,CAF001Landmass affected,2019-02-12,Humanitarian development
Complex crisis in CAR,CAF001,CAR,People facing limited access constraints,x,,x,x,,No information currently available,CAF001People facing limited access constraints,2019-02-12,Humanitarian development
Complex crisis in CAR,CAF001,CAR,People facing restricted access constraints,x,,x,x,,No information currently available,CAF001People facing restricted access constraints,2019-02-12,Humanitarian development
Multiple crises in Niger,NER001,Niger,Buildings damaged,x,,x,x,,No information currently available,NER001Buildings damaged,2019-02-12,Humanitarian development
Multiple crises in Niger,NER001,Niger,Buildings destroyed,x,,x,x,,No information currently available,NER001Buildings destroyed,2019-02-12,Humanitarian development
Multiple crises in Niger,NER001,Niger,Economic Losses,x,,x,x,,No information currently available,NER001Economic Losses,2019-02-12,Humanitarian development
Multiple crises in Niger,NER001,Niger,Illness cases reported,x,,x,x,,No information currently available,NER001Illness cases reported,2019-02-12,Humanitarian development
Multiple crises in Niger,NER001,Niger,Injuries reported,x,,x,x,,No information currently available,NER001Injuries reported,2019-02-12,Humanitarian development
Multiple crises in Niger,NER001,Niger,People facing limited access constraints,x,,x,x,,No information currently available,NER001People facing limited access constraints,2019-02-12,Humanitarian development
Multiple crises in Niger,NER001,Niger,People facing restricted access constraints,x,,x,x,,No information currently available,NER001People facing restricted access constraints,2019-02-12,Humanitarian development
Boko Haram in Niger,NER002,Niger,Economic Losses,x,,x,x,,No information currently available,NER002Economic Losses,2019-02-12,Humanitarian development
Boko Haram in Niger,NER002,Niger,Illness cases reported,x,,x,x,,No information currently available,NER002Illness cases reported,2019-02-12,Humanitarian development
Boko Haram in Niger,NER002,Niger,Landmass affected,156906,Government of Niger 2016,High,1,http://www.stat-niger.org/statistique/file/DSEDS/TBS_2016.pdf,The whole territory of the state of Diffa is affected by the consequences of the Boko Haram crisis,NER002Landmass affected,2019-02-12,Humanitarian development
Boko Haram in Niger,NER002,Niger,People facing limited access constraints,x,,x,x,,No information currently available,NER002People facing limited access constraints,2019-02-12,Humanitarian development
Boko Haram in Niger,NER002,Niger,People facing restricted access constraints,x,,x,x,,No information currently available,NER002People facing restricted access constraints,2019-02-12,Humanitarian development
Mali/Burkina Faso conflict,NER003,Niger,Buildings damaged,x,,Medium,2,,No information currently available,NER003Buildings damaged,2019-02-12,Humanitarian development
Mali/Burkina Faso conflict,NER003,Niger,Buildings destroyed,x,,x,x,,No information currently available,NER003Buildings destroyed,2019-02-12,Humanitarian development
Mali/Burkina Faso conflict,NER003,Niger,Crisis affected groups,5,OCHA 01/2019,Medium,2,https://reliefweb.int/sites/reliefweb.int/files/resources/ner_hno_2019.pdf,"Refugees, returnees, IDPs, host and non host populations affected by the conflict",NER003Crisis affected groups,2019-02-12,Humanitarian development
Mali/Burkina Faso conflict,NER003,Niger,Economic Losses,x,,Medium,2,,No information currently available,NER003Economic Losses,2019-02-12,Humanitarian development
Mali/Burkina Faso conflict,NER003,Niger,Illness cases reported,x,,Medium,2,,No information currently available,NER003Illness cases reported,2019-02-12,Humanitarian development
Mali/Burkina Faso conflict,NER003,Niger,Injuries reported,x,,Medium,2,,No information currently available,NER003Injuries reported,2019-02-12,Humanitarian development
Mali/Burkina Faso conflict,NER003,Niger,Landmass affected,210600,"Government of Niger 2016, OCHA 31/12/2018, UNHCR 31/12/2018",Medium,2,https://data.humdata.org/dataset/niger-administrative-level-0-3-population-statistics https://data2.unhcr.org/en/documents/download/67565 https://data.humdata.org/dataset/refugees-originating-ner,"Liptako-Gourma regions of Niger, bordering Mali and Burkina Faso : Tahoua and Tillaberi excluding the city of Niamey",NER003Landmass affected,2019-02-12,Humanitarian development
Mali/Burkina Faso conflict,NER003,Niger,People facing limited access constraints,x,,Medium,2,,No information currently available,NER003People facing limited access constraints,2019-02-12,Humanitarian development
