,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
REG006,31,31,31,31,31,31,31,31,31,31,31,42,42,42,42,42,42,42,42,42,32.1,,
REG007,2,2,2,62,2,2,2,2,2,2,703,44,44,44,44,44,44,44,44,44,82.3,,
REG008,2,2,2,34,2,2,2,2,2,2,703,44,44,44,44,44,44,44,44,44,79.5,,
REG011,64,34,34,34,34,34,34,34,34,34,34,44,44,44,44,44,44,44,44,44,35,,
REG012,0,0,0,0,0,0,0,0,0,0,0,42,42,42,42,42,42,42,42,42,4.2,,
REG013,38,38,38,38,31,31,31,31,31,31,31,42,42,42,42,42,42,42,42,42,33.5,,
REG014,2,2,2,2,2,2,2,2,2,2,882,43,43,43,43,43,43,43,43,43,94.1,,
REG015,399,399,399,244,244,244,244,244,244,244,399,42,42,42,42,42,42,42,42,42,254.8,,
ROU002,6,6,6,6,6,6,6,6,6,6,6,43,43,43,43,43,43,43,43,43,9.7,,
RUS002,6,6,6,6,6,6,6,6,6,6,6,43,43,43,43,43,43,43,43,43,9.7,,
RWA002,2,2,2,2,2,2,2,2,2,2,2,41,41,41,41,41,41,41,41,41,5.9,,
SDN001,2,2,2,2,2,2,2,2,2,2,2,48,48,48,48,48,48,48,48,48,6.6,,
SDN005,2,2,2,2,2,2,2,2,2,2,2,48,48,48,48,48,48,48,48,48,6.6,,
SEN002,1,1,1,635,700,1,1,1,1,1,635,29,29,29,29,29,29,29,29,29,200.5,,
SLV001,4,4,4,4,4,4,4,4,4,4,4,43,43,43,43,43,43,43,43,43,7.9,,
SOM001,2,2,2,2,104,2,2,2,2,2,2,49,49,49,49,48,49,49,49,49,16.9,,
SOM002,2,2,2,2,2,2,2,2,2,2,2,49,49,49,49,49,49,49,49,49,6.7,,
SSD001,2,2,2,2,2,2,2,2,2,2,2,49,49,49,49,49,49,49,49,49,6.7,,
SVK002,6,6,6,6,6,6,6,6,6,6,6,43,43,43,43,43,43,43,43,43,9.7,,
SWZ001,0,0,0,0,0,0,0,0,0,0,61,48,48,48,48,48,48,48,48,48,10.9,,
SYR001,67,67,67,67,31,67,67,67,67,67,103,44,44,44,44,44,44,44,44,44,64.7,,
SYR002,103,103,103,103,103,103,103,103,103,103,67,44,44,44,44,44,44,44,44,44,93.5,,
TCD001,104,75,75,1,1,75,75,75,75,75,1,38,38,38,38,38,38,38,38,38,49.1,,
TCD003,392,75,75,1,1,75,75,75,75,75,1,38,38,38,38,38,38,38,38,38,49.1,,
TCD004,392,75,75,1,1,75,75,75,75,75,1,38,38,38,38,38,38,38,38,25,49.1,,
TCD005,392,75,75,1,1,75,75,75,75,75,1,38,38,38,38,38,38,38,38,38,49.1,,
TGO002,111,111,111,110,110,110,110,110,110,110,110,38,38,38,38,38,38,38,38,38,102.9,,
THA003,65,6,6,6,6,34,34,6,34,34,34,44,44,44,44,44,44,44,44,44,23.8,,
TLS003,6,6,6,6,6,6,6,6,6,6,6,44,44,44,44,44,44,44,44,44,9.8,,
TTO002,0,0,0,0,0,0,0,0,0,0,0,43,43,43,43,43,43,43,43,43,4.3,,
