,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Empowerment,BTI - Democracy Status,Trust in society,Ethnic Fractionalisation,size of excluded ethnic groups,Ethnic fractionalisation,Gender Inequality,Income Gini coefficient,Inequality,Social cohesion,Conflict Intensity,Total killed in all crisis,Safety and security,Corruption Perception,Rule of Law (WGI),Rule of Law (BTI),Freedom in the World,Rule of Law,Society and safety,# of different types of affected population groups,Diversity of groups affected,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Access of Humanitarian Actors to Affected Populations,Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Access of People in need to Aid,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Physical and Security Constraints,Humanitarian access,Operating environment
Venezuela displacement in Ecuador,Displacement,ECU002,Ecuador,ECU,1.8,1.7,1.75,1.6,3.1,2.35,2.6,2.6,2.6,2.233333333333333,3,0,1.5,3.3,3.1,1.8,1.7,2.5,2.1,3,3,0,0,0,0,0,0,2,2,1,0,3,3,2,2.5
Refugees in Egypt,"Displacement,Conflict",EGY004,Egypt,EGY,3.9,3.3,3.5999999999999996,0.8,0.9,0.8500000000000001,3,0.8,1.9,2.1166666666666667,3,1.3,2.15,3.3,2.9,3.5,4.1,3.5,2.6,2,2,1,0,0,0,1,0,3,3,0,3,0,3,2,2
Complex crisis in Eritrea,"Socio-political,Displacement",ERI001,Eritrea,ERI,5,4,4.5,3.1,0,1.55,x,x,x,3.025,5,0,2.5,4,4.1,4.4,4.9,4.4,3.3,5,5,1,1,2,0,2,0,2,2,0,2,2,3,2,3.5
Mixed migration flows in Spain,Displacement,ESP002,Spain,ESP,1.1,x,1.1,2.5,3,2.75,0.5,1.2,0.85,1.5666666666666667,1,3.2,2.1,2,1.5,x,0.5,1.3,1.7,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1.5
Displacement from Russia-Ukraine conflict in Estonia,"Conflict,Displacement",EST002,Estonia,EST,0.4,0.1,0.25,2.4,2.9,2.65,0.6,0.7,0.6499999999999999,1.1833333333333333,0,0,0,1.2,1.2,0,0.3,0.7,0.6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Complex crisis in Ethiopia,"Displacement,Floods,Conflict",ETH001,Ethiopia,ETH,3.9,3.1,3.5,3.8,2.7,3.25,3.4,1.3,2.35,3.033333333333333,5,5,5,3.2,3,3.4,4,3.4,3.8,4,4,2,3,2,2,4,2,2,4,3,2,3,5,4,4
International Displacement,Displacement,ETH003,Ethiopia,ETH,3.9,3.1,3.5,3.8,2.7,3.25,3.4,1.3,2.35,3.033333333333333,5,5,5,3.2,3,3.4,4,3.4,3.8,2,2,2,3,2,2,4,1,2,3,3,2,3,5,4,3
Northern Ethiopia Conflict,"Conflict,Displacement",ETH004,Ethiopia,ETH,3.9,3.1,3.5,3.8,2.7,3.25,3.4,1.3,2.35,3.033333333333333,5,5,5,3.2,3,3.4,4,3.4,3.8,4,4,2,3,2,2,4,1,2,3,2,2,3,5,4,4
Drought in Ethiopia,Drought,ETH005,Ethiopia,ETH,3.9,3.1,3.5,3.8,2.7,3.25,3.4,1.3,2.35,3.033333333333333,5,5,5,3.2,3,3.4,4,3.4,3.8,4,4,2,2,2,2,4,1,2,3,3,2,3,5,4,4
Mixed migration flows in Greece,Displacement,GRC002,Greece,GRC,1.8,x,1.8,0.4,0.3,0.35,0.8,1,0.9,1.0166666666666666,3,1,2,2.6,2.3,x,0.8,1.9,1.6,1,1,1,1,1,0,2,2,2,4,0,0,0,0,2,1.5
