,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
PSE004,4,4,4,4,4,4,4,4,4,4,4,80,80,80,80,80,80,80,80,80,11.6,,
REG001,422,422,422,3,3,422,422,422,422,422,3,69,69,69,69,69,69,69,69,69,261,,
REG002,733,733,733,733,733,733,733,733,733,901,733,74,74,74,74,74,74,74,74,74,683.9,,
REG004,62,62,62,62,62,62,62,62,62,62,1929,73,73,73,73,73,73,73,73,73,249.8,,
REG006,62,62,62,62,62,62,62,62,62,62,62,73,73,73,73,73,73,73,73,73,63.1,,
REG007,4,4,4,4,4,4,4,4,4,4,734,75,75,75,75,75,75,75,75,75,84.1,,
REG008,4,4,4,4,4,4,4,4,4,4,734,75,75,75,75,75,75,75,75,75,84.1,,
REG011,6,6,6,6,6,6,6,6,6,6,6,75,75,75,75,75,75,75,75,75,12.9,,
REG012,7,7,7,7,7,7,7,7,7,7,7,73,73,73,73,73,73,73,73,73,13.6,,
REG013,69,69,69,69,62,62,62,62,62,62,62,73,73,73,73,73,73,73,73,73,64.5,,
REG014,4,4,4,4,4,4,4,4,4,4,913,74,74,74,74,74,74,74,74,74,101.9,,
REG015,430,430,430,275,275,275,275,275,275,275,430,73,73,73,73,73,73,73,73,73,285.8,,
ROU002,9,9,9,9,9,9,9,9,9,9,9,74,74,74,74,74,74,74,74,74,15.5,,
RUS002,9,9,9,9,9,9,9,9,9,9,9,74,74,74,74,74,74,74,74,74,15.5,,
RWA002,4,4,4,4,4,4,4,4,4,4,4,72,72,72,72,72,72,72,72,72,10.8,,
SDN001,5,5,5,5,5,5,5,5,5,5,5,79,79,79,79,79,79,79,79,79,12.4,,
SDN005,5,5,5,5,5,5,5,5,5,5,5,79,79,79,79,79,79,79,79,79,12.4,,
SEN002,4,4,4,666,731,4,4,4,4,4,666,60,60,60,60,60,60,60,60,60,214.7,,
SLV001,5,5,5,5,5,5,5,5,5,5,5,74,74,74,74,74,74,74,74,74,11.9,,
SOM001,4,4,4,4,135,4,4,4,4,4,4,80,80,80,80,79,80,80,80,80,24.7,,
SOM002,4,4,4,4,4,4,4,4,4,4,33,80,80,80,80,80,80,80,80,80,14.5,,
SSD001,4,4,4,4,4,4,4,4,4,4,4,80,80,80,80,80,80,80,80,80,11.6,,
