,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the total population affected,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Mixed migration flows in Libya,Displacement,LBY002,Libya,LBY,5,1,5,5,2.9,1,5,3.95,4.6,2.3,0.10702205384927614,0.5,1.4,4.1,1,5,4.6,4.2,0.001099873577749684,5,4.6,4.6,3.4
Storm Daniel and floods in Libya,"Floods,Other seasonal event",LBY003,Libya,LBY,3.1,0.038548143264716915,0.1,1.6,1,0.27195237450953863,1.3,1.15,1.4,2.4,0.43980099502487563,2.2,2.3,2.4,0.05090497737556561,1.7,2.1,0,0,0,0,1.2,1.8
Refugees from Sudan in Libya,Conflict,LBY004,Libya,LBY,4.9,0.4936983529786194,2.4,3.6500000000000004,1.6,0.399810580435665,2,1.8,2.8,1.3,0.06598984771573604,0.3,0.8,3.3,1,5,4.2,1.4,5.128205128205128e-05,2.6,2,3.3,2.2
2024 Floods and Monsoon Rain,Floods,LKA004,Sri Lanka,LKA,1.9,0.2096023278370514,1,1.45,3.4,0.46290329899714117,2.3,2.8499999999999996,2.2,1.5,0.02489951965493579,0.1,0.8,0,0,0,0,2.2,0.0001299212598425197,5,3.6,2.2,1.6
Food security crisis in Lesotho,Drought,LSO004,Lesotho,LSO,2.5,0.9998353096179183,5,3.75,0.6,0.6428876548483554,3.2,1.9000000000000001,3,2.4,0.5581395348837209,2.8,2.5999999999999996,x,x,x,x,0,0,0,0,0,1.5
Displacement from Russia-Ukraine conflict in Lithuania,"Conflict,Displacement",LTU002,Lithuania,LTU,3,1,5,4,1.5,1,5,3.25,3.7,0.2,0.015299026425591099,0,0.1,2.3,1,5,3.7,0,0,0,0,2.3,1.3
Displacement from Russia-Ukraine conflict in Latvia,"Conflict,Displacement",LVA002,Latvia,LVA,3,1,5,4,0.9,1,5,2.95,3.5,0.3,0.023896103896103898,0.1,0.2,2.4,1,5,3.7,0,0,0,0,2.3,1.4
Multiple crises in Morocco,"Displacement,Earthquake",MAR001,Morocco,MAR,4.4,1,5,4.7,5,1,5,5,4.9,3.2,0.0739108768064626,0.3,1.75,3.9,0.18381831085876507,5,4.5,3.2,6.0681334279630944e-05,3,3.1,3.9,3
Mixed migration flows in Morocco,Displacement,MAR002,Morocco,MAR,4.4,1,5,4.7,5,1,5,5,4.9,0,0.0004721063813045873,0,0,1.8,1,5,3.4,3.1,0.008666666666666666,5,4.1,3.8,2.3
Al Haouz Earthquake in Morocco,Earthquake,MAR003,Morocco,MAR,2.9,0.11946224512659646,0.5,1.7,2.7,0.17310567314501535,0.8,1.75,1.7,3.2,0.42424242424242425,2.1,2.6500000000000004,3.9,0.17857142857142858,5,4.5,0,0,0,0,2.9,2.8
DIsplacement from Russia-Ukraine conflict in Moldova,"Displacement,Conflict",MDA002,Moldova,MDA,2.5,1,5,3.75,1.4,1,5,3.2,3.5,1,0.04727954971857411,0.2,0.6,3,1,5,4,0,0,0,0,2.5,1.6
Multiple crisis in Madagascar,"Drought,Cyclone",MDG001,Madagascar,MDG,4,0.409762805087659,2,3,3.9,0.47986889881430544,2.4,3.15,3.1,3.9,0.4466318467925539,2.2,3.05,2.1,0.0046476761619190406,0.2,1.2,1.8,2.848575712143928e-06,0.1,1,1.1,2.2
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,3.6,0.2573942935716741,1.2,2.4,3.4,0.3300022492850487,1.6,2.5,2.5,3.8,0.5973709834469328,3,3.4,1.3,0.0013039934800325999,0,0.7,x,x,x,x,0.7,2.3
Cyclone Gamane in Madagascar,"Cyclone,Floods",MDG009,Madagascar,MDG,3.2,0.15236851151598488,0.7,1.9500000000000002,2.2,0.14989878217280936,0.7,1.4500000000000002,1.7,2,0.11468381564844587,0.5,1.25,1.9,0.04299065420560748,1.4,1.7,1.8,3.551401869158878e-05,1.8,1.8,1.8,1.5
Multiple crisis in Mexico,"Violence,Displacement",MEX001,Mexico,MEX,5,1,5,5,5,1,5,5,5,2.1,0.004815535198895721,0,1.05,3.9,0.8648208469055375,5,4.5,5,0.006793159609120521,5,5,4.8,3.5
Criminal Violence in Mexico,"Violence,Displacement",MEX002,Mexico,MEX,5,1,5,5,5,1,5,5,5,1.8,0.0030273560045175054,0,0.9,3.7,1.0155440414507773,5,4.4,5,0.010808290155440414,5,5,4.7,3.4
Mixed Migration in Mexico,Displacement,MEX003,Mexico,MEX,5,0.5966979603384861,2.9,3.95,5,0.4542994729577111,2.2,3.6,3.8,1.4,0.003936124298662063,0,0.7,3.1,0.6096491228070176,5,4.1,1.4,4.3859649122807014e-05,2.2,1.8,3.2,2.1
Complex crisis in Mali,Conflict,MLI001,Mali,MLI,5,1.0163908899433696,5,5,4.5,0.9911923519518456,5,4.75,4.9,3.9,0.31703505246706853,1.6,2.75,4.6,0.23309859154929577,5,4.8,4.8,0.00032380281690140843,5,4.9,4.9,4.1
Multiple crises in Myanmar,"Socio-political,Conflict,Violence",MMR001,Myanmar,MMR,4.7,1.0366295371320882,5,4.85,5,1,5,5,4.9,5,1,5,5,5,0.08665117941386705,2.9,4,5,0.00015534310221586848,5,5,4.6,4.8
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,2.6,0.056350069713637825,0.2,1.4000000000000001,1.8,0.06204431736954968,0.3,1.05,1.2,3.4,1,5,4.2,4.5,0.38421658986175117,5,4.8,4.9,0.0007353110599078341,5,5,4.9,4.6
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,3.6,0.22921384466882191,1.1,2.35,2.3,0.08708005718370264,0.4,1.3499999999999999,1.9,3.6,1,5,4.3,3.2,0.03303919556741227,1.1,2.2,4.3,0.00019864559819413093,5,4.7,3.7,4
Post-coup conflict in Myanmar,"Violence,Socio-political,Conflict",MMR004,Myanmar,MMR,4.7,1.0366295371320882,5,4.85,5,1,5,5,4.9,5,1,5,5,5,0.05795210864903502,1.9,3.5,5,9.238741958541816e-05,4.6,4.8,4.3,4.7
2024 Monsoon Floods,Floods,MMR006,Myanmar,MMR,4.7,1.0366295371320882,5,4.85,5,0.8466047176554682,4.2,4.6,4.7,1.8,0.00829533941236069,0,0.9,2.9,0.27989821882951654,5,4,0.4,5.089058524173028e-06,0.3,0.4,2.6,1.8
Multiple Crises in Mozambique,"Conflict,Displacement,Cyclone",MOZ001,Mozambique,MOZ,4.8,1,5,4.9,5,1,5,5,5,5,1,5,5,4.5,0.03840540308502418,1.3,2.9,3.7,1.0502818876455943e-05,0.5,2.1,2.5,4.1
Cabo Delgado Islamist Insurgency,"Conflict,Displacement",MOZ004,Mozambique,MOZ,4.1,0.3568440194308095,1.7,2.9,3.5,0.3315113184328764,1.6,2.55,2.7,4.3,1,5,4.65,4,0.05032803867403315,1.7,2.9,3.3,1.907803867403315e-05,1,2.2,2.6,3.8
2024 Rainy and Cyclone season,"Floods,Displacement,Cyclone",MOZ011,Mozambique,MOZ,4.8,1,5,4.9,5,1,5,5,5,5,1,5,5,3,0.003605872420799588,0.1,1.6,3.1,4.178233122513808e-06,0.2,1.7,1.7,3.9
Drought in Mozambique,Drought,MOZ012,Mozambique,MOZ,4.5,0.6078354739438948,3,3.75,4.2,0.5138082019288556,2.5,3.35,3.6,4.6,1,5,4.8,0,0,0,0,x,x,x,x,0,3.2
Refugees from Mali in Mauritania,Displacement,MRT002,Mauritania,MRT,3.9,0.19986416998156592,0.9,2.4,1,0.38990560585628975,1.9,1.45,2,1,0.06571146245059288,0.3,0.65,3,1,5,4,1.1,4.511278195488722e-05,2.3,1.7,3.1,2.1
Food Security in Mauritania,"Drought,Floods",MRT003,Mauritania,MRT,5,1,5,5,2.2,0.88268156424581,4.4,3.3000000000000003,4.3,2.7,0.3029244871235268,1.5,2.1,x,x,x,x,1.1,4.322766570605187e-06,0.2,0.7,0.7,1.5
Complex crisis in Malawi,"Drought,Socio-political,Cyclone",MWI002,Malawi,MWI,3.3,0.9978786593126856,5,4.15,4.4,1,5,4.7,4.4,4.1,0.4181378925850214,2.1,3.0999999999999996,2.9,0.012777777777777779,0.4,1.7,4.6,0.00019711111111111112,5,4.8,3.7,3.4
International Refugees in Malaysia,Displacement,MYS001,Malaysia,MYS,1.6,0.028020088266626084,0,0.8,3.5,0.3297513138964738,1.6,2.55,1.8,4.3,1,5,4.65,3.3,0.016917460600124654,0.6,2,0,0,0,0,1.1,3.4
